id,isResult,side,h,a,goals,xG,datetime,forecast,result
19347,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '0', 'a': '4'}","{'h': '0.585905', 'a': '1.54255'}",2022-08-06 13:30:00,"{'w': 0.13945434278405133, 'd': 0.2534795709783478, 'l': 0.6070660861171209}",l
19352,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '2'}","{'h': '2.7843', 'a': '0.749163'}",2022-08-13 13:30:00,"{'w': 0.7959115220959971, 'd': 0.13029215077132486, 'l': 0.07379605984069966}",w
19362,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '2'}","{'h': '0.306368', 'a': '2.04608'}",2022-08-20 13:30:00,"{'w': 0.04533586474430407, 'd': 0.16479520301294573, 'l': 0.7898689270232216}",l
19372,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '1', 'a': '0'}","{'h': '2.00234', 'a': '0.458737'}",2022-08-27 13:30:00,"{'w': 0.7422224205170536, 'd': 0.1836828762601794, 'l': 0.07409469929160066}",l
19385,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '122', 'title': 'Hertha Berlin', 'short_title': 'HER'}","{'h': '0', 'a': '2'}","{'h': '0.311026', 'a': '2.87153'}",2022-09-04 13:30:00,"{'w': 0.022540419776936604, 'd': 0.08766570796530568, 'l': 0.8897934806449964}",l
19387,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '0', 'a': '1'}","{'h': '1.83702', 'a': '1.7824'}",2022-09-09 18:30:00,"{'w': 0.40172198301641704, 'd': 0.21861756526795093, 'l': 0.3796604496146923}",w
19399,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '0'}","{'h': '2.20918', 'a': '1.82063'}",2022-09-17 13:30:00,"{'w': 0.4729036381266797, 'd': 0.20284637641929135, 'l': 0.3242499701646898}",w
19412,True,a,"{'id': '124', 'title': 'Schalke 04', 'short_title': 'SCH'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '2', 'a': '3'}","{'h': '2.0592', 'a': '1.48391'}",2022-10-02 15:30:00,"{'w': 0.5096391349911705, 'd': 0.21270156772649118, 'l': 0.27765929153609653}",w
19420,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '1', 'a': '1'}","{'h': '2.01628', 'a': '2.30655'}",2022-10-08 13:30:00,"{'w': 0.34775210127277323, 'd': 0.19676743815308348, 'l': 0.4554804315432585}",d
19426,True,a,"{'id': '134', 'title': 'FC Cologne', 'short_title': 'COL'}","{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'h': '3', 'a': '2'}","{'h': '1.54576', 'a': '0.207517'}",2022-10-16 13:30:00,"{'w': 0.720154642784595, 'd': 0.23338226389555505, 'l': 0.04646309319592566}",l
19439,True,h,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '3', 'a': '3'}","{'h': '1.91261', 'a': '2.38989'}",2022-10-22 13:30:00,"{'w': 0.3144252015347154, 'd': 0.19439732236002988, 'l': 0.49117743498470345}",d
