id,isResult,side,h,a,goals,xG,datetime,forecast,result
19342,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '6'}","{'h': '0.756176', 'a': '4.56023'}",2022-08-05 18:30:00,"{'w': 0.01989091436243973, 'd': 0.04342202774514929, 'l': 0.9366019745900076}",w
19359,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '2', 'a': '0'}","{'h': '1.4017', 'a': '0.443318'}",2022-08-14 15:30:00,"{'w': 0.6112445798145602, 'd': 0.272567202855883, 'l': 0.1161882172968854}",w
19368,True,a,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '7'}","{'h': '0.747624', 'a': '3.98121'}",2022-08-21 15:30:00,"{'w': 0.0302313406639392, 'd': 0.06254350160236125, 'l': 0.9072062611428173}",w
19375,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '1', 'a': '1'}","{'h': '3.17378', 'a': '0.548057'}",2022-08-27 16:30:00,"{'w': 0.8754254948594986, 'd': 0.08851032449856701, 'l': 0.03606285219326947}",d
19380,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '1'}","{'h': '0.443137', 'a': '1.38204'}",2022-09-03 13:30:00,"{'w': 0.11800471728959161, 'd': 0.2760899837083127, 'l': 0.6059052989751736}",d
19388,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '2', 'a': '2'}","{'h': '2.2976', 'a': '1.18754'}",2022-09-10 13:30:00,"{'w': 0.6225325537622345, 'd': 0.19191057731219688, 'l': 0.1855568454034858}",d
19399,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '1', 'a': '0'}","{'h': '2.20918', 'a': '1.82063'}",2022-09-17 13:30:00,"{'w': 0.4729036381266797, 'd': 0.20284637641929135, 'l': 0.3242499701646898}",l
19405,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '4', 'a': '0'}","{'h': '2.13413', 'a': '0.940717'}",2022-09-30 18:30:00,"{'w': 0.6472415837081034, 'd': 0.19728798698518218, 'l': 0.15547042025839902}",w
19414,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '2', 'a': '2'}","{'h': '1.42928', 'a': '1.22934'}",2022-10-08 16:30:00,"{'w': 0.4168198195616429, 'd': 0.25898010958003614, 'l': 0.32420007081030894}",d
19423,True,h,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '5', 'a': '0'}","{'h': '2.07998', 'a': '0.328313'}",2022-10-16 17:30:00,"{'w': 0.7897024561271757, 'd': 0.16272656583760167, 'l': 0.04757097156389695}",w
