match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
19350,2022-08-07 15:30:00,Bundesliga,2022,Schalke_04,FC Cologne,Away,1,3,0.227735,4.42242,5,32,l
19357,2022-08-13 16:30:00,Bundesliga,2022,Schalke_04,Borussia M.Gladbach,Home,2,2,1.69324,1.41135,12,14,d
19361,2022-08-20 13:30:00,Bundesliga,2022,Schalke_04,Wolfsburg,Away,0,0,1.03296,1.20648,10,18,d
19374,2022-08-27 13:30:00,Bundesliga,2022,Schalke_04,Union Berlin,Home,1,6,1.86616,1.0651,16,12,l
19381,2022-09-03 13:30:00,Bundesliga,2022,Schalke_04,VfB Stuttgart,Away,1,1,2.10477,0.706188,12,13,d
19393,2022-09-10 16:30:00,Bundesliga,2022,Schalke_04,Bochum,Home,3,1,1.4133,1.31293,20,11,w
19397,2022-09-17 13:30:00,Bundesliga,2022,Schalke_04,Borussia Dortmund,Away,0,1,0.0971459,2.5349,3,16,l
19412,2022-10-02 15:30:00,Bundesliga,2022,Schalke_04,Augsburg,Home,2,3,2.0592,1.48391,16,12,l
19415,2022-10-08 13:30:00,Bundesliga,2022,Schalke_04,Bayer Leverkusen,Away,0,4,0.139609,2.06947,2,13,l
19430,2022-10-14 18:30:00,Bundesliga,2022,Schalke_04,Hoffenheim,Home,0,3,0.697562,3.51699,15,17,l
19440,2022-10-23 15:30:00,Bundesliga,2022,Schalke_04,Hertha Berlin,Away,1,2,0.522522,1.05778,9,10,l
19448,2022-10-30 16:30:00,Bundesliga,2022,Schalke_04,Freiburg,Home,0,2,0.841369,2.25332,12,19,l
19456,2022-11-05 17:30:00,Bundesliga,2022,Schalke_04,Werder Bremen,Away,1,2,1.35128,1.33073,19,11,l
19467,2022-11-09 19:30:00,Bundesliga,2022,Schalke_04,Mainz 05,Home,1,0,1.97962,0.60888,14,11,w
19475,2022-11-12 17:30:00,Bundesliga,2022,Schalke_04,Bayern Munich,Home,0,2,0.891772,1.65233,7,21,l
19482,2023-01-21 14:30:00,Bundesliga,2022,Schalke_04,Eintracht Frankfurt,Away,0,3,2.37825,1.68109,19,12,l
19493,2023-01-24 17:30:00,Bundesliga,2022,Schalke_04,RasenBallsport Leipzig,Home,1,6,0.503614,4.23438,9,21,l
19502,2023-01-29 14:30:00,Bundesliga,2022,Schalke_04,FC Cologne,Home,0,0,1.11694,0.329216,17,6,d
19507,2023-02-04 17:30:00,Bundesliga,2022,Schalke_04,Borussia M.Gladbach,Away,0,0,1.18272,1.12913,19,18,d
19520,2023-02-10 19:30:00,Bundesliga,2022,Schalke_04,Wolfsburg,Home,0,0,0.999355,1.39713,20,8,d
19524,2023-02-19 14:30:00,Bundesliga,2022,Schalke_04,Union Berlin,Away,0,0,0.385916,0.827192,8,9,d
19538,2023-02-25 17:30:00,Bundesliga,2022,Schalke_04,VfB Stuttgart,Home,2,1,1.86618,1.66843,12,17,w
19546,2023-03-04 14:30:00,Bundesliga,2022,Schalke_04,Bochum,Away,2,0,0.873349,0.926001,10,8,w
19556,2023-03-11 17:30:00,Bundesliga,2022,Schalke_04,Borussia Dortmund,Home,2,2,1.52455,1.2204,10,19,d
19565,2023-03-18 14:30:00,Bundesliga,2022,Schalke_04,Augsburg,Away,1,1,1.68365,0.395653,15,9,d
19572,2023-04-01 13:30:00,Bundesliga,2022,Schalke_04,Bayer Leverkusen,Home,0,3,0.976664,3.28042,12,18,l
19580,2023-04-09 17:30:00,Bundesliga,2022,Schalke_04,Hoffenheim,Away,0,2,0.561062,2.17705,12,15,l
19592,2023-04-14 18:30:00,Bundesliga,2022,Schalke_04,Hertha Berlin,Home,5,2,2.09935,1.12148,14,11,w
19596,2023-04-23 13:30:00,Bundesliga,2022,Schalke_04,Freiburg,Away,0,4,0.388444,2.63573,9,26,l
19611,2023-04-29 16:30:00,Bundesliga,2022,Schalke_04,Werder Bremen,Home,2,1,1.24953,1.48812,19,10,w
19615,2023-05-05 18:30:00,Bundesliga,2022,Schalke_04,Mainz 05,Away,3,2,3.14666,0.990997,16,9,w
19621,2023-05-13 13:30:00,Bundesliga,2022,Schalke_04,Bayern Munich,Away,0,6,0.33961,5.05599,8,25,l
19637,2023-05-20 13:30:00,Bundesliga,2022,Schalke_04,Eintracht Frankfurt,Home,2,2,1.13388,1.36879,11,6,d
19640,2023-05-27 13:30:00,Bundesliga,2022,Schalke_04,RasenBallsport Leipzig,Away,2,4,1.21648,2.97191,15,19,l
