id,isResult,side,h,a,goals,xG,datetime,forecast,result
27742,True,a,"{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '3'}","{'h': '1.51665', 'a': '3.23588'}",2024-08-23 18:30:00,"{'w': 0.14702876822736013, 'd': 0.14193697432475502, 'l': 0.7110325799162771}",w
27757,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'h': '2', 'a': '3'}","{'h': '3.42266', 'a': '1.50532'}",2024-08-31 16:30:00,"{'w': 0.7385422011162738, 'd': 0.1310873500184514, 'l': 0.1303671733058249}",l
27761,True,a,"{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '4'}","{'h': '1.06356', 'a': '3.41829'}",2024-09-14 13:30:00,"{'w': 0.07739441666373048, 'd': 0.10890349688548061, 'l': 0.8136988601575321}",w
27775,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'h': '4', 'a': '3'}","{'h': '1.71874', 'a': '0.836406'}",2024-09-22 13:30:00,"{'w': 0.5832111440765217, 'd': 0.236506822428376, 'l': 0.18028203297722412}",w
27784,True,a,"{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '1'}","{'h': '1.19457', 'a': '0.0870163'}",2024-09-28 16:30:00,"{'w': 0.6662368420684838, 'd': 0.30721052465469667, 'l': 0.0265526332732188}",d
27794,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '287', 'title': 'Holstein Kiel', 'short_title': 'KIE'}","{'h': '2', 'a': '2'}","{'h': '2.5839', 'a': '1.98438'}",2024-10-05 13:30:00,"{'w': 0.5145477690075954, 'd': 0.1860357655325687, 'l': 0.29941635700130276}",d
27796,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '1'}","{'h': '4.07146', 'a': '1.55158'}",2024-10-19 13:30:00,"{'w': 0.8060118637774736, 'd': 0.10082172238668306, 'l': 0.09314207285192382}",w
27808,True,a,"{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '2'}","{'h': '1.78808', 'a': '1.30852'}",2024-10-26 16:30:00,"{'w': 0.48731574284729984, 'd': 0.23149884323582226, 'l': 0.28118541302550903}",d
27814,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'h': '0', 'a': '0'}","{'h': '2.78287', 'a': '0.223778'}",2024-11-01 19:30:00,"{'w': 0.8980829176772133, 'd': 0.08539644032708142, 'l': 0.016520376403914138}",d
27830,True,a,"{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '1'}","{'h': '0.777554', 'a': '1.40554'}",2024-11-09 14:30:00,"{'w': 0.20738239830551886, 'd': 0.2738794458140924, 'l': 0.5187381558464624}",d
27832,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '280', 'title': 'FC Heidenheim', 'short_title': 'HEI'}","{'h': '5', 'a': '2'}","{'h': '2.02581', 'a': '1.03141'}",2024-11-23 14:30:00,"{'w': 0.6036944140670706, 'd': 0.21018526171806234, 'l': 0.18612031963343587}",w
27848,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '2'}","{'h': '1.11328', 'a': '0.906684'}",2024-11-30 14:30:00,"{'w': 0.40157403942454123, 'd': 0.3043964624801127, 'l': 0.294029498093921}",w
27850,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '288', 'title': 'St. Pauli', 'short_title': 'SPA'}","{'h': '2', 'a': '1'}","{'h': '0.729523', 'a': '2.18395'}",2024-12-07 14:30:00,"{'w': 0.11072214048109591, 'd': 0.1819761345540729, 'l': 0.7073017127528993}",w
27863,True,a,"{'id': '121', 'title': 'Augsburg', 'short_title': 'AUG'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '2'}","{'h': '0.43671', 'a': '1.02095'}",2024-12-14 14:30:00,"{'w': 0.15578289444907492, 'd': 0.3487255590049645, 'l': 0.4954915465455588}",w
27868,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '135', 'title': 'Freiburg', 'short_title': 'FRE'}","{'h': '5', 'a': '1'}","{'h': '3.25968', 'a': '1.34161'}",2024-12-21 17:30:00,"{'w': 0.7460403955271734, 'd': 0.13290107865445674, 'l': 0.12105669419921532}",w
27878,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '3'}","{'h': '1.48663', 'a': '1.8834'}",2025-01-10 19:30:00,"{'w': 0.30609835181914197, 'd': 0.22315329772092699, 'l': 0.47074834863456744}",w
27886,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '125', 'title': 'Mainz 05', 'short_title': 'MAI'}","{'h': '1', 'a': '0'}","{'h': '1.99412', 'a': '0.603471'}",2025-01-14 19:30:00,"{'w': 0.703020284211009, 'd': 0.19489214001052624, 'l': 0.1020875720541783}",w
27895,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '3', 'a': '1'}","{'h': '2.08382', 'a': '0.473935'}",2025-01-18 17:30:00,"{'w': 0.752900548449963, 'd': 0.17509415098083916, 'l': 0.07200529394003544}",w
27904,True,a,"{'id': '136', 'title': 'RasenBallsport Leipzig', 'short_title': 'RBL'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '2', 'a': '2'}","{'h': '0.708246', 'a': '2.57674'}",2025-01-25 14:30:00,"{'w': 0.07995599750490158, 'd': 0.1440420364230794, 'l': 0.7760018647140734}",d
27916,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '3', 'a': '1'}","{'h': '1.35418', 'a': '1.94944'}",2025-02-02 16:30:00,"{'w': 0.26625785881597785, 'd': 0.22002543565110014, 'l': 0.5137167027490118}",w
27927,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '0'}","{'h': '0.895017', 'a': '1.66317'}",2025-02-08 14:30:00,"{'w': 0.20156723986461061, 'd': 0.24342501976304207, 'l': 0.5550077400391829}",d
27931,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '0', 'a': '0'}","{'h': '2.55729', 'a': '0.0720406'}",2025-02-15 17:30:00,"{'w': 0.9080673712143509, 'd': 0.08603921345772868, 'l': 0.005893323212483675}",d
27948,True,a,"{'id': '287', 'title': 'Holstein Kiel', 'short_title': 'KIE'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '0', 'a': '2'}","{'h': '0.494995', 'a': '2.55557'}",2025-02-22 14:30:00,"{'w': 0.05185607192254734, 'd': 0.1290253822747263, 'l': 0.8191184544666751}",w
27951,True,a,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'h': '1', 'a': '4'}","{'h': '1.00046', 'a': '2.37018'}",2025-03-01 17:30:00,"{'w': 0.1432053531174119, 'd': 0.17898089826703514, 'l': 0.6778137135600449}",w
27958,True,h,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '123', 'title': 'Werder Bremen', 'short_title': 'WER'}","{'h': '0', 'a': '2'}","{'h': '1.36325', 'a': '1.67701'}",2025-03-08 14:30:00,"{'w': 0.3126693352836726, 'd': 0.23800343973665375, 'l': 0.44932722458500046}",l
