id,isResult,side,h,a,goals,xG,datetime,forecast,result
27748,True,a,"{'id': '129', 'title': 'Borussia Dortmund', 'short_title': 'DOR'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '0'}","{'h': '1.9263', 'a': '1.15188'}",2024-08-24 16:30:00,"{'w': 0.5540547773271627, 'd': 0.2209703745593027, 'l': 0.2249748457507444}",l
27756,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '120', 'title': 'Hoffenheim', 'short_title': 'HOF'}","{'h': '3', 'a': '1'}","{'h': '2.68507', 'a': '0.832386'}",2024-08-31 13:30:00,"{'w': 0.7652421054713706, 'd': 0.1436680119839887, 'l': 0.09108971251906998}",w
27764,True,a,"{'id': '131', 'title': 'Wolfsburg', 'short_title': 'WOL'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '2'}","{'h': '1.23249', 'a': '2.86858'}",2024-09-14 13:30:00,"{'w': 0.13663963781249922, 'd': 0.15233333349426897, 'l': 0.7110266420115372}",w
27774,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '130', 'title': 'Borussia M.Gladbach', 'short_title': 'BMG'}","{'h': '2', 'a': '0'}","{'h': '2.93252', 'a': '1.19669'}",2024-09-21 16:30:00,"{'w': 0.7276263759084254, 'd': 0.14635399721102385, 'l': 0.1260191195983276}",w
27785,True,a,"{'id': '287', 'title': 'Holstein Kiel', 'short_title': 'KIE'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '4'}","{'h': '1.02971', 'a': '2.43436'}",2024-09-29 13:30:00,"{'w': 0.14233738973076784, 'd': 0.17500983182438748, 'l': 0.6826527291344606}",w
27787,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '117', 'title': 'Bayern Munich', 'short_title': 'BAY'}","{'h': '3', 'a': '3'}","{'h': '1.49515', 'a': '2.83119'}",2024-10-06 15:30:00,"{'w': 0.18194151229098335, 'd': 0.1649818466572613, 'l': 0.6530763121841676}",d
27796,True,a,"{'id': '119', 'title': 'Bayer Leverkusen', 'short_title': 'LEV'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '1'}","{'h': '4.07146', 'a': '1.55158'}",2024-10-19 13:30:00,"{'w': 0.8060118637774736, 'd': 0.10082172238668306, 'l': 0.09314207285192382}",l
27811,True,a,"{'id': '240', 'title': 'Union Berlin', 'short_title': 'UNI'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '1', 'a': '1'}","{'h': '1.86305', 'a': '1.54058'}",2024-10-27 16:30:00,"{'w': 0.45502726050445064, 'd': 0.22342025561710982, 'l': 0.3215524822426667}",d
27817,True,h,"{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'id': '268', 'title': 'Bochum', 'short_title': 'BOC'}","{'h': '7', 'a': '2'}","{'h': '3.83028', 'a': '2.08714'}",2024-11-02 14:30:00,"{'w': 0.6944703151201147, 'd': 0.13223558892338616, 'l': 0.17328192776543366}",w
27823,True,a,"{'id': '133', 'title': 'VfB Stuttgart', 'short_title': 'STU'}","{'id': '132', 'title': 'Eintracht Frankfurt', 'short_title': 'EIN'}","{'h': '2', 'a': '3'}","{'h': '2.81862', 'a': '1.93894'}",2024-11-10 16:30:00,"{'w': 0.5654898396625039, 'd': 0.17526168847052623, 'l': 0.25924815813177393}",w
