match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
19348,2022-08-06 16:30:00,Bundesliga,2022,Bayer Leverkusen,Borussia Dortmund,Away,0,1,1.23566,2.38349,8,15,l,0
19352,2022-08-13 13:30:00,Bundesliga,2022,Bayer Leverkusen,Augsburg,Home,1,2,2.7843,0.749163,24,6,l,0
19365,2022-08-20 13:30:00,Bundesliga,2022,Bayer Leverkusen,Hoffenheim,Home,0,3,1.10143,1.30099,14,10,l,0
19371,2022-08-27 13:30:00,Bundesliga,2022,Bayer Leverkusen,Mainz 05,Away,3,0,1.40426,1.62032,8,18,w,3
19379,2022-09-03 13:30:00,Bundesliga,2022,Bayer Leverkusen,Freiburg,Home,2,3,1.79727,2.35383,15,6,l,0
19392,2022-09-10 13:30:00,Bundesliga,2022,Bayer Leverkusen,Hertha Berlin,Away,2,2,1.76829,2.35137,11,17,d,1
19398,2022-09-17 13:30:00,Bundesliga,2022,Bayer Leverkusen,Werder Bremen,Home,1,1,1.82302,2.02218,19,19,d,1
19405,2022-09-30 18:30:00,Bundesliga,2022,Bayer Leverkusen,Bayern Munich,Away,0,4,0.940717,2.13413,10,20,l,0
19415,2022-10-08 13:30:00,Bundesliga,2022,Bayer Leverkusen,Schalke 04,Home,4,0,2.06947,0.139609,13,2,w,3
19427,2022-10-15 13:30:00,Bundesliga,2022,Bayer Leverkusen,Eintracht Frankfurt,Away,1,5,0.503272,4.35761,5,19,l,0
19433,2022-10-22 13:30:00,Bundesliga,2022,Bayer Leverkusen,Wolfsburg,Home,2,2,2.36747,1.15093,14,9,d,1
19442,2022-10-29 13:30:00,Bundesliga,2022,Bayer Leverkusen,RasenBallsport Leipzig,Away,0,2,0.141987,1.63234,4,10,l,0
19458,2022-11-06 14:30:00,Bundesliga,2022,Bayer Leverkusen,Union Berlin,Home,5,0,1.7807,0.231839,11,7,w,3
19462,2022-11-09 17:30:00,Bundesliga,2022,Bayer Leverkusen,FC Cologne,Away,2,1,1.04474,1.38128,10,19,w,3
19468,2022-11-12 14:30:00,Bundesliga,2022,Bayer Leverkusen,VfB Stuttgart,Home,2,0,1.88305,0.277105,12,7,w,3
19481,2023-01-22 16:30:00,Bundesliga,2022,Bayer Leverkusen,Borussia M.Gladbach,Away,3,2,1.68471,0.993895,13,15,w,3
19487,2023-01-25 19:30:00,Bundesliga,2022,Bayer Leverkusen,Bochum,Home,2,0,1.8906,0.821758,11,10,w,3
19496,2023-01-29 16:30:00,Bundesliga,2022,Bayer Leverkusen,Borussia Dortmund,Home,0,2,1.84499,0.977834,22,7,l,0
