match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
19342,2022-08-05 18:30:00,Bundesliga,2022,Bayern Munich,Eintracht Frankfurt,Away,6,1,4.56023,0.756176,23,8,w,3
19359,2022-08-14 15:30:00,Bundesliga,2022,Bayern Munich,Wolfsburg,Home,2,0,1.4017,0.443318,24,8,w,3
19368,2022-08-21 15:30:00,Bundesliga,2022,Bayern Munich,Bochum,Away,7,0,3.98121,0.747624,22,14,w,3
19375,2022-08-27 16:30:00,Bundesliga,2022,Bayern Munich,Borussia M.Gladbach,Home,1,1,3.17378,0.548057,33,5,d,1
19380,2022-09-03 13:30:00,Bundesliga,2022,Bayern Munich,Union Berlin,Away,1,1,1.38204,0.443137,21,7,d,1
19388,2022-09-10 13:30:00,Bundesliga,2022,Bayern Munich,VfB Stuttgart,Home,2,2,2.2976,1.18754,19,7,d,1
19399,2022-09-17 13:30:00,Bundesliga,2022,Bayern Munich,Augsburg,Away,0,1,1.82063,2.20918,19,11,l,0
19405,2022-09-30 18:30:00,Bundesliga,2022,Bayern Munich,Bayer Leverkusen,Home,4,0,2.13413,0.940717,20,10,w,3
19414,2022-10-08 16:30:00,Bundesliga,2022,Bayern Munich,Borussia Dortmund,Away,2,2,1.22934,1.42928,9,12,d,1
19423,2022-10-16 17:30:00,Bundesliga,2022,Bayern Munich,Freiburg,Home,5,0,2.07998,0.328313,17,6,w,3
19436,2022-10-22 13:30:00,Bundesliga,2022,Bayern Munich,Hoffenheim,Away,2,0,3.12799,0.766181,21,7,w,3
19441,2022-10-29 13:30:00,Bundesliga,2022,Bayern Munich,Mainz 05,Home,6,2,4.33442,1.78114,24,14,w,3
19455,2022-11-05 14:30:00,Bundesliga,2022,Bayern Munich,Hertha Berlin,Away,3,2,2.23326,1.09255,14,7,w,3
19459,2022-11-08 19:30:00,Bundesliga,2022,Bayern Munich,Werder Bremen,Home,6,1,5.72728,1.44045,21,6,w,3
19475,2022-11-12 17:30:00,Bundesliga,2022,Bayern Munich,Schalke 04,Away,2,0,1.65233,0.891772,21,7,w,3
19478,2023-01-20 19:30:00,Bundesliga,2022,Bayern Munich,RasenBallsport Leipzig,Away,1,1,0.813529,1.03072,7,10,d,1
19486,2023-01-24 19:30:00,Bundesliga,2022,Bayern Munich,FC Cologne,Home,1,1,1.4893,0.782641,25,3,d,1
19495,2023-01-28 17:30:00,Bundesliga,2022,Bayern Munich,Eintracht Frankfurt,Home,1,1,1.38005,0.882875,14,8,d,1
