match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
19347,2022-08-06 13:30:00,Bundesliga,2022,Freiburg,Augsburg,Away,4,0,1.54255,0.585905,19,11,w,3
19351,2022-08-12 18:30:00,Bundesliga,2022,Freiburg,Borussia Dortmund,Home,1,3,1.0831,0.781529,16,13,l,0
19363,2022-08-20 13:30:00,Bundesliga,2022,Freiburg,VfB Stuttgart,Away,1,0,0.903953,0.766656,9,17,w,3
19369,2022-08-26 18:30:00,Bundesliga,2022,Freiburg,Bochum,Home,1,0,4.40931,1.13013,29,15,w,3
19379,2022-09-03 13:30:00,Bundesliga,2022,Freiburg,Bayer Leverkusen,Away,3,2,2.35383,1.79727,6,15,w,3
19395,2022-09-11 15:30:00,Bundesliga,2022,Freiburg,Borussia M.Gladbach,Home,0,0,0.991055,1.37892,12,14,d,1
19404,2022-09-18 17:30:00,Bundesliga,2022,Freiburg,Hoffenheim,Away,0,0,0.6761,0.74318,14,10,d,1
19407,2022-10-01 13:30:00,Bundesliga,2022,Freiburg,Mainz 05,Home,2,1,1.97161,1.84485,13,15,w,3
19422,2022-10-09 15:30:00,Bundesliga,2022,Freiburg,Hertha Berlin,Away,2,2,1.75899,1.25889,9,13,d,1
19423,2022-10-16 17:30:00,Bundesliga,2022,Freiburg,Bayern Munich,Away,0,5,0.328313,2.07998,6,17,l,0
19434,2022-10-22 13:30:00,Bundesliga,2022,Freiburg,Werder Bremen,Home,2,0,3.33695,0.393506,25,10,w,3
19448,2022-10-30 16:30:00,Bundesliga,2022,Freiburg,Schalke 04,Away,2,0,2.25332,0.841369,19,12,w,3
19450,2022-11-06 16:30:00,Bundesliga,2022,Freiburg,FC Cologne,Home,2,0,1.46258,0.995484,12,6,w,3
19460,2022-11-09 19:30:00,Bundesliga,2022,Freiburg,RasenBallsport Leipzig,Away,1,3,0.148116,3.28873,3,16,l,0
19469,2022-11-13 16:30:00,Bundesliga,2022,Freiburg,Union Berlin,Home,4,1,2.69015,1.65553,7,4,w,3
19483,2023-01-21 14:30:00,Bundesliga,2022,Freiburg,Wolfsburg,Away,0,6,0.808738,2.88084,9,12,l,0
19488,2023-01-25 19:30:00,Bundesliga,2022,Freiburg,Eintracht Frankfurt,Home,1,1,1.78609,0.261869,13,4,d,1
19498,2023-01-28 14:30:00,Bundesliga,2022,Freiburg,Augsburg,Home,3,1,1.92228,2.00438,14,15,w,3
19504,2023-02-04 14:30:00,Bundesliga,2022,Freiburg,Borussia Dortmund,Away,1,5,0.243795,2.10421,6,25,l,0
19515,2023-02-11 14:30:00,Bundesliga,2022,Freiburg,VfB Stuttgart,Home,2,1,2.21054,1.02739,9,15,w,3
19528,2023-02-18 14:30:00,Bundesliga,2022,Freiburg,Bochum,Away,2,0,2.39926,1.40839,18,16,w,3
19533,2023-02-26 14:30:00,Bundesliga,2022,Freiburg,Bayer Leverkusen,Home,1,1,1.288,2.0609,9,18,d,1
19544,2023-03-04 14:30:00,Bundesliga,2022,Freiburg,Borussia M.Gladbach,Away,0,0,0.286316,1.11415,8,9,d,1
19551,2023-03-12 14:30:00,Bundesliga,2022,Freiburg,Hoffenheim,Home,2,1,0.452025,1.16149,9,12,w,3
19561,2023-03-19 18:30:00,Bundesliga,2022,Freiburg,Mainz 05,Away,1,1,1.35257,1.57837,11,10,d,1
19568,2023-04-01 13:30:00,Bundesliga,2022,Freiburg,Hertha Berlin,Home,1,1,0.862445,2.08511,16,10,d,1
19578,2023-04-08 13:30:00,Bundesliga,2022,Freiburg,Bayern Munich,Home,0,1,1.0909,3.09211,10,22,l,0
19593,2023-04-16 13:30:00,Bundesliga,2022,Freiburg,Werder Bremen,Away,2,1,0.473775,1.43107,7,13,w,3
19596,2023-04-23 13:30:00,Bundesliga,2022,Freiburg,Schalke 04,Home,4,0,2.63573,0.388444,26,9,w,3
19606,2023-04-29 13:30:00,Bundesliga,2022,Freiburg,FC Cologne,Away,1,0,1.3678,1.47854,13,19,w,3
19614,2023-05-06 13:30:00,Bundesliga,2022,Freiburg,RasenBallsport Leipzig,Home,0,1,0.150751,1.89448,3,13,l,0
19624,2023-05-13 13:30:00,Bundesliga,2022,Freiburg,Union Berlin,Away,2,4,2.08886,1.44733,11,10,l,0
19632,2023-05-19 18:30:00,Bundesliga,2022,Freiburg,Wolfsburg,Home,2,0,1.44647,0.658973,16,9,w,3
19644,2023-05-27 13:30:00,Bundesliga,2022,Freiburg,Eintracht Frankfurt,Away,1,2,1.46472,2.04195,14,15,l,0
23068,2023-08-19 13:30:00,Bundesliga,2023,Freiburg,Hoffenheim,Away,2,1,3.24821,1.67186,18,23,w,3
23075,2023-08-26 13:30:00,Bundesliga,2023,Freiburg,Werder Bremen,Home,1,0,1.71877,0.696983,23,15,w,3
23088,2023-09-02 13:30:00,Bundesliga,2023,Freiburg,VfB Stuttgart,Away,0,5,1.50372,2.09598,13,13,l,0
23094,2023-09-16 13:30:00,Bundesliga,2023,Freiburg,Borussia Dortmund,Home,2,4,1.14667,3.37255,15,15,l,0
23109,2023-09-24 15:30:00,Bundesliga,2023,Freiburg,Eintracht Frankfurt,Away,0,0,0.407479,0.754063,7,12,d,1
23118,2023-10-01 15:30:00,Bundesliga,2023,Freiburg,Augsburg,Home,2,0,1.2721,1.00081,7,13,w,3
23126,2023-10-08 15:30:00,Bundesliga,2023,Freiburg,Bayern Munich,Away,0,3,0.0704987,2.37438,2,21,l,0
23130,2023-10-21 13:30:00,Bundesliga,2023,Freiburg,Bochum,Home,2,1,2.5274,1.37705,17,13,w,3
23139,2023-10-29 16:30:00,Bundesliga,2023,Freiburg,Bayer Leverkusen,Away,1,2,1.02333,1.60773,10,18,l,0
23148,2023-11-04 14:30:00,Bundesliga,2023,Freiburg,Borussia M.Gladbach,Home,3,3,3.3903,1.92375,16,10,d,1
23156,2023-11-12 19:30:00,Bundesliga,2023,Freiburg,RasenBallsport Leipzig,Away,1,3,0.398988,1.90144,9,15,l,0
23166,2023-11-25 14:30:00,Bundesliga,2023,Freiburg,Darmstadt,Home,1,1,1.34505,0.34181,15,7,d,1
23176,2023-12-03 14:30:00,Bundesliga,2023,Freiburg,Mainz 05,Away,1,0,1.34097,2.86869,13,20,w,3
23185,2023-12-09 14:30:00,Bundesliga,2023,Freiburg,Wolfsburg,Away,1,0,0.511263,1.32934,4,10,w,3
23193,2023-12-17 14:30:00,Bundesliga,2023,Freiburg,FC Cologne,Home,2,0,3.46957,1.24601,22,7,w,3
23208,2023-12-20 19:30:00,Bundesliga,2023,Freiburg,FC Heidenheim,Away,2,3,1.59052,1.75628,12,15,l,0
23211,2024-01-13 14:30:00,Bundesliga,2023,Freiburg,Union Berlin,Home,0,0,2.1675,0.424997,13,9,d,1
23220,2024-01-20 14:30:00,Bundesliga,2023,Freiburg,Hoffenheim,Home,3,2,2.47971,1.76349,18,16,w,3
23233,2024-01-27 14:30:00,Bundesliga,2023,Freiburg,Werder Bremen,Away,1,3,1.33739,2.33032,7,14,l,0
23238,2024-02-03 14:30:00,Bundesliga,2023,Freiburg,VfB Stuttgart,Home,1,3,1.15964,2.73728,6,17,l,0
23246,2024-02-09 19:30:00,Bundesliga,2023,Freiburg,Borussia Dortmund,Away,0,3,0.230074,3.21996,6,17,l,0
23255,2024-02-18 14:30:00,Bundesliga,2023,Freiburg,Eintracht Frankfurt,Home,3,3,2.77236,1.35483,13,10,d,1
23264,2024-02-25 18:30:00,Bundesliga,2023,Freiburg,Augsburg,Away,1,2,1.42649,2.40818,5,19,l,0
23273,2024-03-01 19:30:00,Bundesliga,2023,Freiburg,Bayern Munich,Home,2,2,1.53977,2.4424,17,20,d,1
23287,2024-03-10 14:30:00,Bundesliga,2023,Freiburg,Bochum,Away,2,1,1.43573,1.28237,9,24,w,3
23292,2024-03-17 14:30:00,Bundesliga,2023,Freiburg,Bayer Leverkusen,Home,2,3,0.916618,2.50336,11,19,l,0
23303,2024-03-30 14:30:00,Bundesliga,2023,Freiburg,Borussia M.Gladbach,Away,3,0,2.08769,1.84419,14,19,w,3
23310,2024-04-06 13:30:00,Bundesliga,2023,Freiburg,RasenBallsport Leipzig,Home,1,4,1.55898,2.88698,13,14,l,0
23325,2024-04-14 13:30:00,Bundesliga,2023,Freiburg,Darmstadt,Away,1,0,1.34437,0.962275,9,17,w,3
23328,2024-04-21 17:30:00,Bundesliga,2023,Freiburg,Mainz 05,Home,1,1,1.25572,1.47938,6,16,d,1
23337,2024-04-27 13:30:00,Bundesliga,2023,Freiburg,Wolfsburg,Home,1,2,1.86256,0.583145,15,13,l,0
23348,2024-05-04 16:30:00,Bundesliga,2023,Freiburg,FC Cologne,Away,0,0,1.12733,1.08936,4,19,d,1
23355,2024-05-11 13:30:00,Bundesliga,2023,Freiburg,FC Heidenheim,Home,1,1,1.8695,0.634464,20,8,d,1
23363,2024-05-18 13:30:00,Bundesliga,2023,Freiburg,Union Berlin,Away,1,2,0.963773,2.28943,13,13,l,0
27745,2024-08-24 13:30:00,Bundesliga,2024,Freiburg,VfB Stuttgart,Home,3,1,3.0149,0.374185,16,9,w,3
27759,2024-09-01 15:30:00,Bundesliga,2024,Freiburg,Bayern Munich,Away,0,2,0.970892,1.62797,9,12,l,0
27762,2024-09-14 13:30:00,Bundesliga,2024,Freiburg,Bochum,Home,2,1,3.95617,1.10732,26,13,w,3
27772,2024-09-21 13:30:00,Bundesliga,2024,Freiburg,FC Heidenheim,Away,3,0,1.23884,0.379656,15,7,w,3
27779,2024-09-28 13:30:00,Bundesliga,2024,Freiburg,St. Pauli,Home,0,3,1.10172,1.40925,9,10,l,0
27789,2024-10-05 13:30:00,Bundesliga,2024,Freiburg,Werder Bremen,Away,1,0,1.58065,0.879674,15,12,w,3
27800,2024-10-19 13:30:00,Bundesliga,2024,Freiburg,Augsburg,Home,3,1,1.07588,0.868723,15,9,w,3
27806,2024-10-26 13:30:00,Bundesliga,2024,Freiburg,RasenBallsport Leipzig,Away,1,3,1.75887,2.69047,15,12,l,0
27819,2024-11-03 14:30:00,Bundesliga,2024,Freiburg,Mainz 05,Home,0,0,0.463898,0.903716,10,9,d,1
27829,2024-11-08 19:30:00,Bundesliga,2024,Freiburg,Union Berlin,Away,0,0,2.66619,0.801684,14,12,d,1
27835,2024-11-23 14:30:00,Bundesliga,2024,Freiburg,Borussia Dortmund,Away,0,4,1.1957,1.49974,7,19,l,0
27845,2024-11-30 14:30:00,Bundesliga,2024,Freiburg,Borussia M.Gladbach,Home,3,1,2.15426,1.27811,17,15,w,3
27852,2024-12-08 16:30:00,Bundesliga,2024,Freiburg,Hoffenheim,Away,1,1,1.53138,1.49449,11,15,d,1
27862,2024-12-13 19:30:00,Bundesliga,2024,Freiburg,Wolfsburg,Home,3,2,2.96777,1.85123,18,20,w,3
27868,2024-12-21 17:30:00,Bundesliga,2024,Freiburg,Bayer Leverkusen,Away,1,5,1.34161,3.25968,8,20,l,0
27881,2025-01-11 14:30:00,Bundesliga,2024,Freiburg,Holstein Kiel,Home,3,2,0.750017,1.66855,14,15,w,3
27889,2025-01-14 19:30:00,Bundesliga,2024,Freiburg,Eintracht Frankfurt,Away,1,4,0.587762,2.82238,7,23,l,0
