team,final_elo,played,wins,draws,losses
Bayern Munich,1868.37,109,76,18,15
Borussia Dortmund,1739.42,109,61,22,26
Bayer Leverkusen,1699.2,109,65,28,16
RasenBallsport Leipzig,1630.65,109,57,27,25
VfB Stuttgart,1594.75,109,49,24,36
Eintracht Frankfurt,1587.39,109,44,35,30
Freiburg,1559.3,109,46,27,36
Werder Bremen,1533.75,109,37,26,46
Union Berlin,1527.56,109,40,26,43
Hoffenheim,1521.56,109,33,25,51
Hamburger SV,1486.53,7,2,2,3
FC Cologne,1477.2,75,18,26,31
Schalke 04,1456.68,34,7,10,17
Holstein Kiel,1435.04,34,6,7,21
Mainz 05,1424.04,109,34,35,40
Augsburg,1422.65,109,32,27,50
Bochum,1407.85,102,22,25,55
FC Heidenheim,1390.36,75,19,18,38
Wolfsburg,1388.3,109,35,29,45
Hertha Berlin,1387.9,34,7,8,19
St. Pauli,1374.36,41,10,9,22
Borussia M.Gladbach,1348.03,109,31,32,46
Darmstadt,1239.12,34,3,8,23
