id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8868,Liam Delap,37,2671,12,11.930982023477554,2,2.784454360604286,68,20,11,0,F S,Ipswich,10,10.40864434838295,14.707014501094818,3.1533351335674524
12752,Sammie Szmodics,20,1025,4,4.5141482055187225,0,0.19445249065756798,21,5,2,0,M S,Ipswich,4,4.5141482055187225,5.369531828910112,0.7284961454570293
8563,George Hirst,26,609,3,2.7488116063177586,1,0.403658552095294,14,4,3,0,F S,Ipswich,3,2.7488116063177586,4.23221287317574,1.2429697029292583
10348,Omari Hutchinson,31,2620,3,3.5237994957715273,2,3.373567247763276,45,31,5,0,M S,Ipswich,3,3.5237994957715273,10.518985860049725,4.673843790777028
9406,Nathan Broadhead,18,677,2,1.8282658252865076,0,0.8385746516287327,13,7,1,0,M S,Ipswich,2,1.8282658252865076,4.232192199677229,2.159004925750196
9415,Jaden Philogene-Bidace,10,478,2,2.196989931166172,0,0.2442980818450451,12,5,1,0,D M S,Ipswich,2,2.196989931166172,1.3359068632125854,0.21263843216001987
11058,Julio Enciso,13,892,2,1.763539433479309,3,1.9059842694550753,32,13,3,0,M S,Ipswich,2,1.763539433479309,4.314734801650047,1.8303621960803866
6424,Ben Johnson,23,1327,1,1.4644898548722267,2,2.1658401750028133,7,11,3,1,D M S,Ipswich,1,1.4644898548722267,4.204577220603824,1.2919913660734892
8919,Leif Davis,33,2760,1,0.798027765005827,2,6.061805084347725,16,61,5,1,D S,Ipswich,1,0.798027765005827,7.2669062577188015,4.0115239061415195
10301,Jens Cajuste,30,2019,1,0.6125177554786205,1,0.6245124880224466,12,13,2,0,M S,Ipswich,1,0.6125177554786205,5.957525156438351,5.012046929448843
12745,Jacob Greaves,25,2208,1,1.4357987744733691,0,0.22600556816905737,10,6,5,0,D,Ipswich,1,1.4357987744733691,3.7184569966048002,3.5594952162355185
12748,Sam Morsy,33,2767,1,0.29577674996107817,1,1.4169819168746471,13,24,9,0,M S,Ipswich,1,0.29577674996107817,9.255466464906931,8.384842346422374
12750,Conor Chaplin,22,851,1,1.434986375272274,1,0.7888719039037824,16,8,2,0,F M S,Ipswich,1,1.434986375272274,3.172867614775896,1.4127340912818909
12754,Jack Taylor,32,777,1,0.5857022814452648,0,0.7670453414320946,19,5,4,0,M S,Ipswich,1,0.5857022814452648,2.7209306256845593,2.4428652273491025
934,Axel Tuanzebe,22,1731,0,0.35375541262328625,1,0.6262782029807568,4,5,3,1,D S,Ipswich,0,0.35375541262328625,3.9006014950573444,3.3178643696010113
1038,Alex Palmer,13,1170,0,0,0,0.021070318296551704,0,1,2,0,GK,Ipswich,0,0,2.139107011258602,2.139107011258602
7027,Arijanet Muric,18,1620,0,0,0,0,0,0,1,0,GK,Ipswich,0,0,2.3349773976951838,2.3349773976951838
7689,Ben Godfrey,3,165,0,0,0,0,0,0,1,0,D S,Ipswich,0,0,0.225624181330204,0.225624181330204
8719,Kalvin Phillips,19,1247,0,0.4593092957511544,0,0.3231524731963873,11,5,4,1,M S,Ipswich,0,0.4593092957511544,2.4181056451052427,2.1468016486614943
8756,Dara O&#039;Shea,35,3129,0,1.5649987170472741,2,0.7030826602131128,22,3,6,0,D,Ipswich,0,1.5649987170472741,8.610395619645715,7.782098321244121
8905,Conor Townsend,6,326,0,0.043418992310762405,1,0.8038922008126974,1,4,1,0,D S,Ipswich,0,0.043418992310762405,1.1632227841764688,0.4409727454185486
9251,Christian Walton,7,630,0,0,0,0.01685086265206337,0,1,0,0,GK,Ipswich,0,0,0.18078524991869926,0.1639343872666359
11719,Chiedozie Ogbene,5,237,0,0,0,0.07338971272110939,0,2,0,0,M S,Ipswich,0,0,0.08639794308692217,0.013008230365812778
12746,Luke Woolfenden,15,1170,0,0.0580514557659626,0,0,1,0,2,0,D S,Ipswich,0,0.0580514557659626,1.306849337182939,1.306849337182939
12747,Massimo Luongo,11,185,0,0,0,0,0,0,0,0,M S,Ipswich,0,0,0,0
12749,Wes Burns,18,962,0,0.41338271275162697,1,2.2046328485012054,7,10,1,0,M S,Ipswich,0,0.41338271275162697,3.0202110949903727,0.9018877614289522
12751,Ali Al-Hamadi,11,98,0,0.5323996320366859,0,0.07849547080695629,4,2,3,0,S,Ipswich,0,0.5323996320366859,0.6907828329131007,0.24549709539860487
12753,Marcus Harness,2,37,0,0,0,0,0,0,0,0,S,Ipswich,0,0,0,0
12755,Cameron Burgess,18,1538,0,0.9312757514417171,2,0.376679259352386,10,7,0,0,D S,Ipswich,0,0.9312757514417171,4.114149808883667,3.429916113615036
12947,George Edmundson,1,1,0,0,0,0,0,0,0,0,S,Ipswich,0,0,0,0
13019,Jack Clarke,32,1151,0,1.3016396705061197,4,2.666540065780282,17,28,2,0,M S,Ipswich,0,1.3016396705061197,5.49640105292201,1.9239521846175194
13133,Harry Clarke,7,378,0,0.056514352560043335,0,0.06540583074092865,1,1,1,1,D S,Ipswich,0,0.056514352560043335,1.269033445045352,1.269033445045352
