id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
8260,Erling Haaland,31,2749,22,23.95459282770753,3,3.5812273556366563,109,29,2,0,F,Manchester City,19,20.909917432814837,22.845245644450188,3.5353690683841705
6055,Phil Foden,28,1770,7,6.184084575623274,2,5.382284659892321,54,44,2,0,F M S,Manchester City,7,6.184084575623274,13.734636969864368,5.446543112397194
8393,Omar Marmoush,16,1195,7,5.649778325110674,0,2.676836894825101,49,15,0,0,F M S,Manchester City,7,5.649778325110674,9.663014598190784,2.601844636723399
2254,Mateo Kovacic,31,2220,6,1.8060728069394827,2,3.685476559214294,45,33,5,1,M S,Manchester City,6,1.8060728069394827,16.83304774388671,13.353065870702267
9790,Josko Gvardiol,37,3277,5,4.607429768890142,0,2.0648905243724585,40,26,2,0,D S,Manchester City,5,4.607429768890142,22.938383139669895,18.74818231165409
447,Kevin De Bruyne,28,1706,4,5.544451447203755,7,8.934372447431087,57,57,2,0,F M S,Manchester City,4,5.544451447203755,18.807611417025328,8.703332384116948
3635,Bernardo Silva,33,2660,4,4.793662561103702,4,4.999884040094912,32,53,7,0,M S,Manchester City,4,4.793662561103702,19.424771897494793,13.023904200643301
8981,Jéremy Doku,29,1518,3,1.8944458104670048,6,4.646427006460726,29,32,1,0,F M S,Manchester City,3,1.8944458104670048,10.565225437283516,5.7006776463240385
10126,James McAtee,15,341,3,2.566829100251198,0,0.8544101417064667,12,3,1,0,M S,Manchester City,3,2.566829100251198,3.394278069958091,0.7336818743497133
586,John Stones,11,539,2,0.6664973199367523,0,0.0837758481502533,2,2,1,0,D S,Manchester City,2,0.6664973199367523,2.6725111044943333,2.6725111044943333
11592,Nico O&#039;Reilly,9,526,2,1.0966674238443375,0,0.26054514944553375,8,4,0,0,D S,Manchester City,2,1.0966674238443375,2.7525365091860294,1.6519679110497236
314,Ilkay Gündogan,33,2231,1,3.426698351278901,6,3.6678730603307486,27,42,1,0,M S,Manchester City,1,3.426698351278901,19.306594289839268,14.603720467537642
675,Jack Grealish,20,689,1,1.2711530942469835,1,1.9155478971078992,15,24,3,0,M S,Manchester City,1,1.2711530942469835,6.737229811958969,4.150039034895599
9802,Nico González,11,767,1,0.8193094208836555,0,0.08155591785907745,9,1,3,0,M S,Manchester City,1,0.8193094208836555,6.620623365044594,6.3495680540800095
10847,Rico Lewis,28,1903,1,1.6414977870881557,2,0.34641725569963455,10,7,3,1,D M S,Manchester City,1,1.6414977870881557,14.292443186044693,12.876099944114685
11000,Matheus Nunes,26,1673,1,1.189816527068615,6,3.9489037338644266,9,23,4,0,D M S,Manchester City,1,1.189816527068615,10.188475765287876,7.719313248991966
11735,Sávio,29,1801,1,5.246914088726044,8,6.9446608647704124,55,45,3,0,F M S,Manchester City,1,5.246914088726044,16.14704818278551,5.930092327296734
579,Nathan Aké,10,684,0,0.24186671525239944,0,0.016024935990571976,3,1,0,0,D S,Manchester City,0,0.24186671525239944,3.5274377912282944,3.38953398168087
638,Kyle Walker,15,968,0,0.1098661832511425,0,0.7247695401310921,5,7,3,0,D S,Manchester City,0,0.1098661832511425,6.8929938822984695,6.746879652142525
2496,Rodri,3,64,0,0,0,0.052060868591070175,0,1,0,0,M S,Manchester City,0,0,1.4455500841140747,1.4455500841140747
6054,Ederson,26,2324,0,0,4,1.1925887912511826,0,4,4,0,GK,Manchester City,0,0,5.953033002093434,4.961667595431209
6490,Manuel Akanji,26,2017,0,1.0098738074302673,0,0.42468701861798763,15,9,3,0,D S,Manchester City,0,1.0098738074302673,13.879725754261017,13.611297756433487
8786,Stefan Ortega Moreno,13,1096,0,0,0,0,0,0,1,0,GK S,Manchester City,0,0,2.8627792466431856,2.8627792466431856
8961,Rúben Dias,27,2262,0,1.335742843337357,0,0.21338675543665886,21,5,4,0,D S,Manchester City,0,1.335742843337357,14.734221961349249,14.567276891320944
11242,Divin Mubama,1,26,0,0.06255101412534714,0,0,1,0,0,0,S,Manchester City,0,0.06255101412534714,0,0
11763,Abduqodir Khusanov,6,506,0,0.015545766800642014,0,0.10573065932840109,1,2,1,0,D,Manchester City,0,0.015545766800642014,2.7786731719970703,2.763522148132324
11903,Oscar Bobb,3,9,0,0,0,0.09015875309705734,0,1,0,0,S,Manchester City,0,0,0.09015875309705734,0
13185,Jahmai Simpson-Pusey,2,94,0,0,0,0,0,0,1,0,D S,Manchester City,0,0,1.0117364432662725,1.0117364432662725
13380,Vitor Reis,1,1,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0
13649,Claudio Echeverri,1,4,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0
