match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
26604,2024-08-17 14:00:00,EPL,2024,Arsenal,Wolverhampton Wanderers,Home,2,0,1.6283,0.575835,18,9,w
26618,2024-08-24 16:30:00,EPL,2024,Arsenal,Aston Villa,Away,2,0,1.41399,1.31664,9,11,w
26622,2024-08-31 11:30:00,EPL,2024,Arsenal,Brighton,Home,1,1,2.41798,1.81748,11,22,d
26640,2024-09-15 13:00:00,EPL,2024,Arsenal,Tottenham,Away,1,0,1.1209,0.792595,7,15,w
26651,2024-09-22 15:30:00,EPL,2024,Arsenal,Manchester City,Away,2,2,1.28411,2.75588,5,33,d
26655,2024-09-28 14:00:00,EPL,2024,Arsenal,Leicester,Home,4,2,6.05305,0.337909,36,6,w
26666,2024-10-05 14:00:00,EPL,2024,Arsenal,Southampton,Home,3,1,3.25165,1.27313,29,8,w
26680,2024-10-19 16:30:00,EPL,2024,Arsenal,Bournemouth,Away,0,2,0.740758,2.18419,6,13,l
26691,2024-10-27 16:30:00,EPL,2024,Arsenal,Liverpool,Home,2,2,1.0883,1.35346,9,9,d
26694,2024-11-02 12:30:00,EPL,2024,Arsenal,Newcastle United,Away,0,1,0.911305,0.859715,10,9,l
26705,2024-11-10 16:30:00,EPL,2024,Arsenal,Chelsea,Away,1,1,1.9605,1.24067,13,17,d
26714,2024-11-23 15:00:00,EPL,2024,Arsenal,Nottingham Forest,Home,3,0,1.66016,0.403136,19,7,w
26730,2024-11-30 17:30:00,EPL,2024,Arsenal,West Ham,Away,5,2,3.99935,1.23539,16,12,w
26733,2024-12-04 20:15:00,EPL,2024,Arsenal,Manchester United,Home,2,0,2.96684,0.256083,14,5,w
26749,2024-12-08 14:00:00,EPL,2024,Arsenal,Fulham,Away,1,1,2.4333,0.150988,12,2,d
26755,2024-12-14 15:00:00,EPL,2024,Arsenal,Everton,Home,0,0,1.30865,0.132166,13,2,d
26765,2024-12-21 17:30:00,EPL,2024,Arsenal,Crystal Palace,Away,5,1,3.05434,1.6052,14,15,w
26773,2024-12-27 20:15:00,EPL,2024,Arsenal,Ipswich,Home,1,0,2.16462,0.0783327,13,3,w
26783,2025-01-01 17:30:00,EPL,2024,Arsenal,Brentford,Away,3,1,1.99848,0.272604,14,5,w
26794,2025-01-04 17:30:00,EPL,2024,Arsenal,Brighton,Away,1,1,1.81142,1.76513,9,11,d
26802,2025-01-15 20:00:00,EPL,2024,Arsenal,Tottenham,Home,2,1,2.25501,0.777071,14,11,w
26812,2025-01-18 17:30:00,EPL,2024,Arsenal,Aston Villa,Home,2,2,1.64458,1.20602,17,8,d
26831,2025-01-25 15:00:00,EPL,2024,Arsenal,Wolverhampton Wanderers,Away,1,0,0.887358,0.514724,9,9,w
26833,2025-02-02 16:30:00,EPL,2024,Arsenal,Manchester City,Home,5,1,1.53202,0.743191,12,7,w
26846,2025-02-15 12:30:00,EPL,2024,Arsenal,Leicester,Away,2,0,1.75,0.233209,11,6,w
26853,2025-02-22 15:00:00,EPL,2024,Arsenal,West Ham,Home,0,1,1.37264,1.02684,20,5,l
26864,2025-02-26 19:30:00,EPL,2024,Arsenal,Nottingham Forest,Away,0,0,1.31766,0.508611,13,6,d
26877,2025-03-09 16:30:00,EPL,2024,Arsenal,Manchester United,Away,1,1,1.82996,1.31107,17,10,d
26883,2025-03-16 13:30:00,EPL,2024,Arsenal,Chelsea,Home,1,0,0.695725,0.286036,12,8,w
26892,2025-04-01 19:45:00,EPL,2024,Arsenal,Fulham,Home,2,1,2.30189,1.44206,17,9,w
26905,2025-04-05 11:30:00,EPL,2024,Arsenal,Everton,Away,1,1,1.4031,1.22875,14,5,d
26913,2025-04-12 16:30:00,EPL,2024,Arsenal,Brentford,Home,1,1,0.767369,0.588583,14,3,d
26927,2025-04-20 13:00:00,EPL,2024,Arsenal,Ipswich,Away,4,0,2.81362,0.192879,24,4,w
26933,2025-04-23 19:00:00,EPL,2024,Arsenal,Crystal Palace,Home,2,2,1.92149,2.50515,12,15,d
26945,2025-05-03 16:30:00,EPL,2024,Arsenal,Bournemouth,Home,1,2,2.05484,1.41783,13,9,l
26952,2025-05-11 15:30:00,EPL,2024,Arsenal,Liverpool,Away,2,2,2.18795,2.74682,15,14,d
26962,2025-05-18 15:30:00,EPL,2024,Arsenal,Newcastle United,Home,1,0,1.15958,2.24634,12,14,w
26977,2025-05-25 15:00:00,EPL,2024,Arsenal,Southampton,Away,2,1,2.40711,0.598144,23,7,w
