id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
11966,Noah Okafor,5,314,2,1.161027655005455,0,0.7157847434282303,6,4,2,0,F S,Leeds,2,1.161027655005455,2.31185644865036,0.4843902252614498
5555,Dominic Calvert-Lewin,6,445,1,1.3225019611418247,0,0.6421448700129986,13,7,0,0,F S,Leeds,1,1.3225019611418247,2.331392079591751,0.48825598508119583
6377,Joe Rodon,8,720,1,0.5494792312383652,0,0.018941394984722137,7,1,0,0,D,Leeds,1,0.5494792312383652,0.7877877317368984,0.7877877317368984
6544,Lukas Nmecha,8,168,1,1.5993803814053535,0,0,5,0,0,0,F S,Leeds,0,0.8382115215063095,1.2124674394726753,0.374255895614624
7078,Sean Longstaff,8,566,1,0.32174988836050034,1,1.4678334202617407,8,17,0,0,M S,Leeds,1,0.32174988836050034,1.5371857658028603,0.7850855141878128
9910,Anton Stach,8,685,1,0.8617945052683353,1,1.2261624485254288,14,13,1,0,M,Leeds,1,0.8617945052683353,2.321663372218609,0.8260103389620781
780,Karl Darlow,5,450,0,0,0,0,0,0,0,0,GK,Leeds,0,0,0.2601579315960407,0.2601579315960407
902,Sam Byram,1,4,0,0,0,0,0,0,0,0,S,Leeds,0,0,0,0
5595,Daniel James,5,246,0,0.45565418899059296,0,0.3027481660246849,5,4,0,0,F S,Leeds,0,0.45565418899059296,0.8083846345543861,0.06474091112613678
6369,Ethan Ampadu,6,520,0,0.04661200474947691,0,0.010916526429355145,2,1,2,0,M,Leeds,0,0.04661200474947691,1.3510783202946186,1.2935498356819153
7753,James Justin,3,11,0,0,0,0,0,0,0,0,S,Leeds,0,0,0,0
8000,Ilia Gruev,4,193,0,0,0,0,0,0,0,0,M S,Leeds,0,0,0.1876790001988411,0.1876790001988411
8717,Pascal Struijk,8,720,0,0.5395675823092461,0,0.03986091446131468,8,2,1,0,D,Leeds,0,0.5395675823092461,0.6754201082512736,0.5155079253017902
8720,Jack Harrison,7,184,0,0.3694974035024643,0,0.3380284607410431,4,1,0,0,F S,Leeds,0,0.3694974035024643,0.857118814252317,0.16853430774062872
9205,Jayden Bogle,8,712,0,0.5191428326070309,0,0.13644638285040855,7,2,2,0,D,Leeds,0,0.5191428326070309,1.8152373805642128,1.1596481129527092
9944,Gabriel Gudmundsson,8,707,0,0.11876989156007767,0,1.1915175206959248,3,8,1,0,D,Leeds,0,0.11876989156007767,1.970164880156517,0.7930871620774269
10751,Brenden Aaronson,8,464,0,1.5874869376420975,0,0.9422185011208057,9,7,1,0,F S,Leeds,0,1.5874869376420975,2.815667651593685,0.42676926776766777
11155,Wilfried Gnonto,4,201,0,0.16809068247675896,0,0.051310401409864426,5,1,1,0,F S,Leeds,0,0.16809068247675896,0.4461477920413017,0.268769346177578
12369,Lucas Perri,3,270,0,0,0,0,0,0,0,0,GK,Leeds,0,0,0.09029436856508255,0.09029436856508255
13834,Ao Tanaka,6,183,0,0.1117604449391365,0,0.15304486081004143,2,4,0,0,M S,Leeds,0,0.1117604449391365,0.49891987070441246,0.26847579702734947
13835,Joël Piroe,4,162,0,0.7303813099861145,0,0,6,0,0,0,F S,Leeds,0,0.7303813099861145,0.8037411347031593,0.07335985451936722
