id,isResult,side,h,a,goals,xG,datetime
28866,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-10-25 14:00:00
28877,False,a,"{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-01 13:00:00
28879,False,a,"{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-08 13:00:00
28896,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-22 13:00:00
28902,False,a,"{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-11-29 13:00:00
28916,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-03 18:00:00
28925,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-06 13:00:00
28936,False,a,"{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-13 13:00:00
28945,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-20 13:00:00
28954,False,a,"{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-27 13:00:00
28960,False,a,"{'id': '92', 'title': 'Burnley', 'short_title': 'BUR'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2025-12-30 18:00:00
28968,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-03 13:00:00
28986,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '245', 'title': 'Leeds', 'short_title': 'LED'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-07 18:00:00
28997,False,a,"{'id': '229', 'title': 'Wolverhampton Wanderers', 'short_title': 'WOL'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-17 13:00:00
29006,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '71', 'title': 'Aston Villa', 'short_title': 'AVL'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-24 13:00:00
29014,False,a,"{'id': '87', 'title': 'Liverpool', 'short_title': 'LIV'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-01-31 13:00:00
29026,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '244', 'title': 'Brentford', 'short_title': 'BRE'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-07 13:00:00
29036,False,a,"{'id': '82', 'title': 'Tottenham', 'short_title': 'TOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-11 18:00:00
29043,False,a,"{'id': '88', 'title': 'Manchester City', 'short_title': 'MCI'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-21 13:00:00
29056,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '72', 'title': 'Everton', 'short_title': 'EVE'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-02-28 13:00:00
29065,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '89', 'title': 'Manchester United', 'short_title': 'MUN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-04 18:00:00
29071,False,a,"{'id': '80', 'title': 'Chelsea', 'short_title': 'CHE'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-14 13:00:00
29085,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '77', 'title': 'Sunderland', 'short_title': 'SUN'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-03-21 13:00:00
29096,False,a,"{'id': '78', 'title': 'Crystal Palace', 'short_title': 'CRY'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-11 13:00:00
29105,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '73', 'title': 'Bournemouth', 'short_title': 'BOU'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-18 13:00:00
29109,False,a,"{'id': '83', 'title': 'Arsenal', 'short_title': 'ARS'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-04-25 13:00:00
29126,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '220', 'title': 'Brighton', 'short_title': 'BRI'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-02 13:00:00
29134,False,a,"{'id': '249', 'title': 'Nottingham Forest', 'short_title': 'NOT'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-09 13:00:00
29146,False,h,"{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'id': '81', 'title': 'West Ham', 'short_title': 'WHU'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-17 13:00:00
29151,False,a,"{'id': '228', 'title': 'Fulham', 'short_title': 'FLH'}","{'id': '86', 'title': 'Newcastle United', 'short_title': 'NEW'}","{'h': None, 'a': None}","{'h': None, 'a': None}",2026-05-24 14:00:00
