match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
18209,2022-08-07 13:00:00,EPL,2022,Manchester United,Brighton,Home,1,2,1.42103,1.7289,17,16,l,0
18218,2022-08-13 16:30:00,EPL,2022,Manchester United,Brentford,Away,0,4,0.896038,1.38785,15,13,l,0
18231,2022-08-22 19:00:00,EPL,2022,Manchester United,Liverpool,Home,2,1,2.01764,1.52301,12,17,w,3
18232,2022-08-27 11:30:00,EPL,2022,Manchester United,Southampton,Away,1,0,1.34359,1.35887,11,17,w,3
18251,2022-09-01 19:00:00,EPL,2022,Manchester United,Leicester,Away,1,0,1.09969,0.615266,9,10,w,3
18261,2022-09-04 15:30:00,EPL,2022,Manchester United,Arsenal,Home,3,1,2.02904,1.42238,10,16,w,3
18289,2022-10-02 13:00:00,EPL,2022,Manchester United,Manchester City,Away,3,6,1.71335,3.01103,12,22,l,0
18297,2022-10-09 18:00:00,EPL,2022,Manchester United,Everton,Away,2,1,1.82612,0.365844,12,10,w,3
18308,2022-10-16 13:00:00,EPL,2022,Manchester United,Newcastle United,Home,0,0,1.41606,0.78815,15,9,d,1
18321,2022-10-19 19:15:00,EPL,2022,Manchester United,Tottenham,Home,2,0,1.70973,0.658526,28,9,w,3
18323,2022-10-22 15:30:00,EPL,2022,Manchester United,Chelsea,Away,1,1,0.730935,1.20238,13,6,d,1
18340,2022-10-30 16:15:00,EPL,2022,Manchester United,West Ham,Home,1,0,1.7514,1.00033,16,13,w,3
18342,2022-11-06 14:00:00,EPL,2022,Manchester United,Aston Villa,Away,1,3,0.517189,0.578563,8,7,l,0
18354,2022-11-13 16:30:00,EPL,2022,Manchester United,Fulham,Away,2,1,3.37664,1.70218,14,14,w,3
18370,2022-12-27 20:00:00,EPL,2022,Manchester United,Nottingham Forest,Home,3,0,2.13668,0.477076,17,8,w,3
18381,2022-12-31 12:30:00,EPL,2022,Manchester United,Wolverhampton Wanderers,Away,1,0,2.44728,0.587672,16,10,w,3
18390,2023-01-03 20:00:00,EPL,2022,Manchester United,Bournemouth,Home,3,0,2.97383,0.679022,18,7,w,3
18397,2023-01-14 12:30:00,EPL,2022,Manchester United,Manchester City,Home,2,1,1.98228,0.73695,8,5,w,3
18270,2023-01-18 15:30:00,EPL,2022,Manchester United,Crystal Palace,Away,1,1,1.39437,0.413339,15,10,d,1
18402,2023-01-22 16:30:00,EPL,2022,Manchester United,Arsenal,Away,2,3,0.272246,2.90273,6,25,l,0
18417,2023-02-04 15:00:00,EPL,2022,Manchester United,Crystal Palace,Home,2,1,2.07035,1.3798,14,10,w,3
18279,2023-02-08 19:00:00,EPL,2022,Manchester United,Leeds,Home,2,2,2.00007,0.554798,25,8,d,1
18426,2023-02-12 14:00:00,EPL,2022,Manchester United,Leeds,Away,2,0,1.30375,1.89163,11,16,w,3
18437,2023-02-19 14:00:00,EPL,2022,Manchester United,Leicester,Home,3,0,4.24663,1.39678,26,19,w,3
18457,2023-03-05 16:30:00,EPL,2022,Manchester United,Liverpool,Away,0,7,0.837542,3.44269,8,18,l,0
18468,2023-03-12 14:00:00,EPL,2022,Manchester United,Southampton,Home,0,0,0.910911,1.18053,10,17,d,1
18489,2023-04-02 15:30:00,EPL,2022,Manchester United,Newcastle United,Away,0,2,0.334127,3.33162,6,22,l,0
18448,2023-04-05 19:00:00,EPL,2022,Manchester United,Brentford,Home,1,0,1.1445,0.64499,18,6,w,3
18498,2023-04-08 11:30:00,EPL,2022,Manchester United,Everton,Home,2,0,4.38578,0.949183,29,15,w,3
18507,2023-04-16 15:30:00,EPL,2022,Manchester United,Nottingham Forest,Away,2,0,3.33747,1.05289,22,6,w,3
18525,2023-04-27 19:15:00,EPL,2022,Manchester United,Tottenham,Away,2,2,1.96508,2.37239,17,18,d,1
18540,2023-04-30 13:00:00,EPL,2022,Manchester United,Aston Villa,Home,1,0,1.3056,0.434738,14,7,w,3
18475,2023-05-04 19:00:00,EPL,2022,Manchester United,Brighton,Away,0,1,1.32105,2.09953,16,22,l,0
18550,2023-05-07 18:00:00,EPL,2022,Manchester United,West Ham,Away,0,1,1.1942,1.76618,19,15,l,0
18560,2023-05-13 14:00:00,EPL,2022,Manchester United,Wolverhampton Wanderers,Home,2,0,3.10118,0.268789,27,5,w,3
18562,2023-05-20 14:00:00,EPL,2022,Manchester United,Bournemouth,Away,1,0,1.71783,0.815723,20,10,w,3
18520,2023-05-25 19:00:00,EPL,2022,Manchester United,Chelsea,Home,4,1,4.92231,1.68364,18,13,w,3
18580,2023-05-28 15:30:00,EPL,2022,Manchester United,Fulham,Home,2,1,2.74766,1.88167,21,10,w,3
22284,2023-08-14 19:00:00,EPL,2023,Manchester United,Wolverhampton Wanderers,Home,1,0,1.97087,1.72228,15,23,w,3
22290,2023-08-19 16:30:00,EPL,2023,Manchester United,Tottenham,Away,0,2,2.44604,2.53904,23,17,l,0
22300,2023-08-26 14:00:00,EPL,2023,Manchester United,Nottingham Forest,Home,3,2,3.02803,0.960354,18,9,w,3
21934,2023-09-03 15:30:00,EPL,2023,Manchester United,Arsenal,Away,1,3,0.966109,1.90973,10,17,l,0
21940,2023-09-16 14:00:00,EPL,2023,Manchester United,Brighton,Home,1,3,0.719951,1.93908,14,10,l,0
21950,2023-09-23 19:00:00,EPL,2023,Manchester United,Burnley,Away,1,0,0.840273,0.935444,11,12,w,3
21957,2023-09-30 14:00:00,EPL,2023,Manchester United,Crystal Palace,Home,0,1,1.55408,1.19015,19,8,l,0
21972,2023-10-07 14:00:00,EPL,2023,Manchester United,Brentford,Home,2,1,1.29356,1.02509,21,11,w,3
21983,2023-10-21 19:00:00,EPL,2023,Manchester United,Sheffield United,Away,2,1,1.46187,1.41074,14,12,w,3
21992,2023-10-29 15:30:00,EPL,2023,Manchester United,Manchester City,Home,0,3,0.714628,4.54595,7,21,l,0
21998,2023-11-04 12:30:00,EPL,2023,Manchester United,Fulham,Away,1,0,0.697095,1.18241,12,18,w,3
22012,2023-11-11 15:00:00,EPL,2023,Manchester United,Luton,Home,1,0,2.74105,0.408265,15,10,w,3
22017,2023-11-26 16:30:00,EPL,2023,Manchester United,Everton,Away,3,0,2.07334,2.49764,9,23,w,3
22032,2023-12-02 20:00:00,EPL,2023,Manchester United,Newcastle United,Away,0,1,0.422674,2.90191,8,22,l,0
22044,2023-12-06 20:15:00,EPL,2023,Manchester United,Chelsea,Home,2,1,4.03949,2.3512,28,13,w,3
22051,2023-12-09 15:00:00,EPL,2023,Manchester United,Bournemouth,Home,0,3,1.11296,1.9742,20,10,l,0
22060,2023-12-17 16:30:00,EPL,2023,Manchester United,Liverpool,Away,0,0,0.632715,1.97111,6,34,d,1
22072,2023-12-23 12:30:00,EPL,2023,Manchester United,West Ham,Away,0,2,0.730496,1.51468,11,12,l,0
22082,2023-12-26 20:00:00,EPL,2023,Manchester United,Aston Villa,Home,3,2,1.20104,1.83637,13,10,w,3
22091,2023-12-30 17:30:00,EPL,2023,Manchester United,Nottingham Forest,Away,1,2,0.651905,0.744348,10,8,l,0
22099,2024-01-14 16:30:00,EPL,2023,Manchester United,Tottenham,Home,2,2,0.923233,1.31224,9,16,d,1
22111,2024-02-01 20:15:00,EPL,2023,Manchester United,Wolverhampton Wanderers,Away,4,3,3.22698,2.27609,21,16,w,3
22122,2024-02-04 14:00:00,EPL,2023,Manchester United,West Ham,Home,3,0,0.96721,1.1807,12,22,w,3
22125,2024-02-11 16:30:00,EPL,2023,Manchester United,Aston Villa,Away,2,1,2.44591,2.64675,17,23,w,3
22139,2024-02-18 16:30:00,EPL,2023,Manchester United,Luton,Away,2,1,3.58973,1.57234,21,22,w,3
22152,2024-02-24 15:00:00,EPL,2023,Manchester United,Fulham,Home,1,2,1.96036,1.1385,21,17,l,0
22160,2024-03-03 15:30:00,EPL,2023,Manchester United,Manchester City,Away,1,3,0.153764,2.64173,2,27,l,0
