team,final_elo,played,wins,draws,losses
Arsenal,1739.96,122,80,26,16
Manchester City,1724.61,122,82,21,19
Crystal Palace,1672.8,122,40,40,42
Brighton,1671.72,122,49,36,37
Chelsea,1653.2,122,53,31,38
Bournemouth,1651.87,122,43,29,50
Aston Villa,1630.13,122,60,27,35
Everton,1625.34,122,35,38,49
Liverpool,1616.09,122,73,29,20
Manchester United,1599.16,122,56,22,44
Newcastle United,1568.31,122,59,29,34
Brentford,1556.67,122,44,32,46
Tottenham,1532.99,122,53,19,50
Sunderland,1521.14,8,4,2,2
Fulham,1496.78,122,45,26,51
Nottingham Forest,1406.06,122,38,30,54
West Ham,1405.19,122,37,28,57
Burnley,1393.43,46,7,10,29
Wolverhampton Wanderers,1369.2,122,36,23,63
Leeds,1353.23,46,9,12,25
Leicester,1324.82,76,15,14,47
Luton,1300.94,38,6,8,24
Ipswich,1272.92,38,4,10,24
Sheffield United,1215.01,38,3,7,28
Southampton,1198.43,76,8,13,55
