team,final_elo,played,wins,draws,losses
Arsenal,1629.99,125,82,27,16
Manchester City,1618.07,125,84,21,20
Liverpool,1573.2,125,74,29,22
Chelsea,1568.19,125,55,31,39
Aston Villa,1551.68,125,62,27,36
Crystal Palace,1543.34,125,41,41,43
Brighton,1533.5,125,50,37,38
Brentford,1520.92,125,46,32,47
Sunderland,1520.28,11,5,4,2
Bournemouth,1517.16,125,44,29,52
Newcastle United,1513.74,125,60,29,36
Tottenham,1511.96,125,54,20,51
Manchester United,1509.87,125,57,24,44
Everton,1500.63,125,36,39,50
Luton,1478.88,38,6,8,24
Fulham,1472.52,125,46,26,53
Sheffield United,1466.15,38,3,7,28
Nottingham Forest,1465.75,125,39,31,55
Leeds,1456.44,49,10,12,27
Burnley,1453.93,49,8,10,31
West Ham,1447.62,125,39,28,58
Leicester,1423.32,76,15,14,47
Ipswich,1422.3,38,4,10,24
Wolverhampton Wanderers,1402.97,125,36,23,66
Southampton,1397.58,76,8,13,55
