id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2543,Borja Iglesias,35,2406,15,15.634133275598288,3,2.9218252673745155,63,22,2,1,F S,Real Betis,10,11.174591269344091,15.961690902709961,3.046393381431699
897,Juanmi,22,926,4,4.853912426158786,0,1.2066011186689138,19,4,3,0,M S,Real Betis,4,4.853912426158786,7.613409383222461,2.110602483153343
2571,Sergio Canales,31,2432,4,4.655821478925645,3,5.269131166860461,39,56,2,2,M S,Real Betis,3,3.912543452344835,12.74706557393074,5.691056125797331
770,Ayoze Pérez,19,1413,3,4.819808043539524,1,2.088960354216397,33,13,3,0,F M S,Real Betis,3,4.819808043539524,8.787146365270019,3.4517416898161173
6926,William Carvalho,33,2478,3,3.331784239038825,0,1.4937704876065254,26,22,6,1,M S,Real Betis,3,3.331784239038825,11.703816525638103,7.958751594647765
7286,Juan Miranda,21,1472,3,2.5308494847267866,2,2.913688050583005,21,20,1,1,D S,Real Betis,3,2.5308494847267866,6.685486979782581,3.006819574162364
2361,Willian José,28,694,2,2.6430313661694527,1,1.5757725331932306,21,8,1,0,F S,Real Betis,1,1.8997513130307198,2.613967090845108,0.32172779366374016
3667,Nabil Fekir,15,963,2,2.4910737220197916,2,2.637178413569927,25,23,4,1,M S,Real Betis,1,1.7477963026612997,4.751465296372771,1.970035683363676
8410,Rodrigo Sánchez,30,1625,2,1.6183249522000551,3,2.5980641450732946,15,22,0,0,F M S,Real Betis,2,1.6183249522000551,6.500272762030363,3.2110991198569536
3399,Youssouf Sabaly,23,1686,1,0.45532379392534494,1,1.023790329694748,12,13,2,0,D S,Real Betis,1,0.45532379392534494,4.961864214390516,3.8982204478234053
6164,Andrés Guardado,26,1378,1,0.22991876862943172,1,1.3099555391818285,8,12,7,0,M S,Real Betis,1,0.22991876862943172,5.419102349318564,4.3238704381510615
6759,Juan Cruz,6,168,1,0.3901432901620865,0,0.06118080019950867,5,2,1,0,M S,Real Betis,1,0.3901432901620865,0.47673799097537994,0.025414200499653816
8267,Guido Rodríguez,34,2884,1,1.4510285509750247,0,0.40356705989688635,22,11,8,0,M S,Real Betis,1,1.4510285509750247,7.314742582850158,6.796053310856223
11030,Luiz Henrique,33,1815,1,2.7786805341020226,3,2.830851621925831,42,17,6,0,M S,Real Betis,1,2.7786805341020226,7.999365082941949,3.2894488982856274
1731,Claudio Bravo,12,1080,0,0,0,0,0,0,2,0,GK,Real Betis,0,0,1.1741032022982836,1.1741032022982836
1950,Martín Montoya,6,466,0,0.0403444766998291,0,0.3888237029314041,1,4,1,0,D,Real Betis,0,0.0403444766998291,1.4734594821929932,1.2701837718486786
2143,Germán Pezzella,31,2527,0,0.8582883179187775,0,0.21609876118600368,10,4,4,3,D S,Real Betis,0,0.8582883179187775,4.784965822473168,4.650303253903985
2148,Joaquín,22,437,0,1.2070288117974997,2,1.7245519757270813,8,20,2,0,M S,Real Betis,0,1.2070288117974997,4.602992627769709,2.6242591999471188
2298,Víctor Ruiz,10,546,0,0.04069310054183006,0,0.2758769989013672,1,1,0,0,D S,Real Betis,0,0.04069310054183006,0.5371403936296701,0.5371403936296701
4120,Álex Moreno,15,1350,0,1.5393667835742235,3,1.7275767587125301,13,9,1,0,D,Real Betis,0,1.5393667835742235,5.49163225106895,2.7245662976056337
5109,Rui Silva,26,2340,0,0,0,0,0,0,2,0,GK,Real Betis,0,0,2.800393719226122,2.800393719226122
6177,Luiz Felipe,23,1771,0,0.1663179863244295,0,0.7027819231152534,3,3,3,3,D S,Real Betis,0,0.1663179863244295,3.9643896091729403,3.945097664371133
6427,Aitor Ruibal,26,1448,0,0.5571739580482244,0,2.346844137646258,14,16,4,1,D M S,Real Betis,0,0.5571739580482244,5.178425929509103,2.8682103296741843
6528,Loren Morón,2,9,0,0,0,0,0,0,1,0,S,Real Betis,0,0,0,0
7251,Robert,2,44,0,0,0,0.4652479887008667,0,3,1,0,S,Real Betis,0,0,0.1283169984817505,0.1283169984817505
7355,Paul Akouokou,12,417,0,0.09463205002248287,0,0,3,0,3,0,D M S,Real Betis,0,0.09463205002248287,0.5881002955138683,0.5444467961788177
8142,Edgar González,25,1768,0,1.3315103203058243,0,1.0717839896678925,9,2,4,2,D S,Real Betis,0,1.3315103203058243,5.15752468071878,4.70663938485086
8753,Fran Delgado,1,8,0,0,0,0,0,0,0,0,S,Real Betis,0,0,0,0
11223,Félix Garreta,1,90,0,0,0,0,0,0,0,0,D,Real Betis,0,0,0.02154030092060566,0.02154030092060566
11318,Abner,13,603,0,1.8194233188405633,0,0.14636724162846804,5,2,2,0,D S,Real Betis,0,1.8194233188405633,2.323505156673491,0.5079159941524267
