id,isResult,side,h,a,goals,xG,datetime,forecast,result
18964,True,a,"{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '3'}","{'h': '0.859075', 'a': '1.39509'}",2022-08-13 17:00:00,"{'w': 0.23128869074364072, 'd': 0.27386020153078716, 'l': 0.4948511076949138}",w
18978,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '2'}","{'h': '1.5852', 'a': '1.9825'}",2022-08-21 17:30:00,"{'w': 0.3114881361506913, 'd': 0.21635423200914103, 'l': 0.47215762821708307}",w
18987,True,a,"{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '0'}","{'h': '0.273957', 'a': '1.13195'}",2022-08-28 15:30:00,"{'w': 0.0892844499447762, 'd': 0.3272660019807523, 'l': 0.5834495480727696}",d
18997,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '207', 'title': 'Elche', 'short_title': 'ELC'}","{'h': '4', 'a': '0'}","{'h': '3.5829', 'a': '0.21919'}",2022-09-04 16:30:00,"{'w': 0.9485562152682939, 'd': 0.043613632681080775, 'l': 0.007824540234449194}",w
19003,True,a,"{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '1', 'a': '0'}","{'h': '1.61505', 'a': '2.44235'}",2022-09-11 19:00:00,"{'w': 0.24946158693636025, 'd': 0.19081495727751163, 'l': 0.559723404150299}",l
19019,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '138', 'title': 'Sevilla', 'short_title': 'SEV'}","{'h': '1', 'a': '1'}","{'h': '2.10358', 'a': '0.436539'}",2022-09-18 14:15:00,"{'w': 0.7658454033446088, 'd': 0.16969258742294455, 'l': 0.06446200173411396}",d
19023,True,a,"{'id': '261', 'title': 'Cadiz', 'short_title': 'CAD'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '0', 'a': '0'}","{'h': '1.06071', 'a': '1.43089'}",2022-10-01 12:00:00,"{'w': 0.2797102773792598, 'd': 0.2649352078596156, 'l': 0.4553545147171262}",d
19038,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '1', 'a': '0'}","{'h': '2.37138', 'a': '0.221593'}",2022-10-09 16:30:00,"{'w': 0.85675196560818, 'd': 0.11957697830090921, 'l': 0.023671020807862438}",l
19050,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '2', 'a': '0'}","{'h': '2.15273', 'a': '0.33234'}",2022-10-17 19:00:00,"{'w': 0.8002103205049661, 'd': 0.15447822899483332, 'l': 0.045311440370758446}",w
19053,True,a,"{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '3', 'a': '0'}","{'h': '3.61604', 'a': '0.503294'}",2022-10-20 19:00:00,"{'w': 0.9151485107552239, 'd': 0.062354088524034325, 'l': 0.02249115181800752}",l
19071,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '208', 'title': 'Almeria', 'short_title': 'ALM'}","{'h': '2', 'a': '1'}","{'h': '0.852495', 'a': '1.24152'}",2022-10-23 16:30:00,"{'w': 0.25455193768113277, 'd': 0.29241276302423475, 'l': 0.4530352992884562}",w
19072,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '1', 'a': '0'}","{'h': '2.05689', 'a': '0.221451'}",2022-10-30 17:30:00,"{'w': 0.8138883286603578, 'd': 0.1547129533779281, 'l': 0.03139871236937392}",l
19089,True,h,"{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'h': '0', 'a': '2'}","{'h': '0.429852', 'a': '0.704012'}",2022-11-06 17:30:00,"{'w': 0.19829895128551397, 'd': 0.42678684143252854, 'l': 0.3749142072819555}",l
