id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
7071,Álvaro García,32,2537,6,7.1121873166412115,1,3.6980624217540026,45,40,6,1,F M S,Rayo Vallecano,6,7.1121873166412115,11.993901647627354,1.8538533048704267
9812,Isi Palazón,37,2854,4,6.335625420324504,1,2.2257266398519278,72,36,7,0,F M S,Rayo Vallecano,2,4.849070153199136,10.12043279223144,5.024445602670312
5073,Florian Lejeune,37,3330,3,2.7786948457360268,1,1.1222076853737235,64,9,5,0,D,Rayo Vallecano,3,2.7786948457360268,6.015694395639002,5.366033425554633
7528,Sergio Camello,31,1686,3,4.553138293325901,1,1.6020972728729248,34,20,3,0,F S,Rayo Vallecano,3,4.553138293325901,9.425828685984015,3.8848830573260784
2168,Bebé,19,157,2,1.548812891356647,0,0.26590096205472946,16,3,1,0,S,Rayo Vallecano,1,0.8055352820083499,1.5149233266711235,0.8059836337342858
8107,Jorge De Frutos,36,1499,2,4.203992499038577,0,1.2770522255450487,29,17,1,0,M S,Rayo Vallecano,2,4.203992499038577,7.655280977487564,2.874981191009283
696,Falcao,22,330,1,2.7179346177726984,0,0.47535512410104275,17,4,3,0,F S,Rayo Vallecano,0,1.9746569897979498,1.6436348035931587,0.18408090434968472
4091,Unai López,35,2184,1,0.8788710786029696,2,2.6451427740976214,32,31,8,0,M S,Rayo Vallecano,1,0.8788710786029696,6.50930130854249,4.759890879504383
4229,Raúl de Tomás,25,1295,1,3.9389174664393067,2,1.1559236701577902,39,8,5,0,F S,Rayo Vallecano,0,3.1956398589536548,5.204008745960891,2.344203056767583
8470,Kike Pérez,24,820,1,1.450000587850809,0,0.5529084540903568,13,7,7,0,F M S,Rayo Vallecano,1,1.450000587850809,3.1939980909228325,1.7989067155867815
9811,Óscar Valentín,34,2728,1,2.517518602311611,0,0.7553664008155465,15,11,5,1,M S,Rayo Vallecano,1,2.517518602311611,6.878373552113771,6.031045524403453
9813,Randy Nteka,16,548,1,2.323896234855056,1,1.2020751107484102,15,9,3,0,F S,Rayo Vallecano,0,1.5806185957044363,2.8216016944497824,0.3198093120008707
9815,Pathé Ciss,31,1624,1,1.4027741933241487,0,0.42111292853951454,22,11,10,0,D M S,Rayo Vallecano,1,1.4027741933241487,4.941405242308974,3.482982475310564
11087,Pep Chavarría,22,1149,1,0.9431706629693508,1,1.0317076318897307,11,13,3,1,D M S,Rayo Vallecano,1,0.9431706629693508,4.356292314827442,2.8271502293646336
11105,Abdul Mumin,20,1698,1,0.6516401516273618,0,0.49111843202263117,6,4,5,1,D S,Rayo Vallecano,1,0.6516401516273618,3.1330819092690945,2.766486033797264
2619,Stole Dimitrievski,37,3330,0,0,0,0.051608214154839516,0,2,1,0,GK,Rayo Vallecano,0,0,1.6695769000798464,1.6179686803370714
3208,Óscar Trejo,31,1400,0,0.8453094018623233,0,1.4899287717416883,18,22,4,1,F M S,Rayo Vallecano,0,0.8453094018623233,4.244989138096571,2.539323018863797
4485,José Pozo,2,15,0,0,0,0,0,0,0,0,S,Rayo Vallecano,0,0,0,0
5672,Iván Balliu,33,2878,0,0.959212239831686,1,2.487216589972377,11,24,4,0,D S,Rayo Vallecano,0,0.959212239831686,7.487997930496931,5.4183551874011755
7515,Andrei Ratiu,12,629,0,0.3055592365562916,0,0.7678892202675343,6,6,1,0,D S,Rayo Vallecano,0,0.3055592365562916,2.333376344293356,1.378071442246437
7856,Aridane Hernández,19,1697,0,0.542479895055294,0,0.08530744630843401,5,3,3,0,D,Rayo Vallecano,0,0.542479895055294,3.7125490121543407,3.6912208311259747
8108,Daniel Cárdenas,1,90,0,0,0,0,0,0,0,0,GK,Rayo Vallecano,0,0,0,0
8733,Alfonso Espino,31,2535,0,0.9701855070888996,1,3.3670406583696604,18,28,9,0,D S,Rayo Vallecano,0,0.9701855070888996,7.077559070661664,3.9166309032589197
8735,Salvi Sánchez,1,21,0,0,0,0,0,0,0,0,S,Rayo Vallecano,0,0,0,0
10915,Diego Méndez,1,1,0,0,0,0,0,0,0,0,S,Rayo Vallecano,0,0,0,0
12398,Miguel Crespo,15,491,0,0.09849558584392071,0,1.2121793515980244,2,6,4,0,M S,Rayo Vallecano,0,0.09849558584392071,3.1207608189433813,1.925723498687148
