id,isResult,side,h,a,goals,xG,datetime,forecast,result
26989,True,a,"{'id': '239', 'title': 'Mallorca', 'short_title': 'MAL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '1'}","{'h': '1.30561', 'a': '0.608052'}",2024-08-18 19:30:00,"{'w': 0.5364971293426587, 'd': 0.2900692454479448, 'l': 0.17343362519708}",d
26998,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '231', 'title': 'Real Valladolid', 'short_title': 'VAL'}","{'h': '3', 'a': '0'}","{'h': '2.17954', 'a': '0.378528'}",2024-08-25 15:00:00,"{'w': 0.7928149161793736, 'd': 0.15580773767307754, 'l': 0.05137733425168428}",w
27011,True,a,"{'id': '144', 'title': 'Las Palmas', 'short_title': 'LPL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '1'}","{'h': '0.809213', 'a': '3.28322'}",2024-08-29 19:30:00,"{'w': 0.05700184999801187, 'd': 0.10084013378039698, 'l': 0.8421560197721488}",d
27021,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '153', 'title': 'Real Betis', 'short_title': 'BET'}","{'h': '2', 'a': '0'}","{'h': '2.37168', 'a': '0.831429'}",2024-09-01 19:30:00,"{'w': 0.7163806187816663, 'd': 0.17007583651060812, 'l': 0.11354350936748495}",w
27031,True,a,"{'id': '140', 'title': 'Real Sociedad', 'short_title': 'SOC'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '0', 'a': '2'}","{'h': '1.41828', 'a': '2.2759'}",2024-09-14 19:00:00,"{'w': 0.23335688768578602, 'd': 0.19849460383382714, 'l': 0.5681484876283929}",w
27041,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '141', 'title': 'Espanyol', 'short_title': 'ESP'}","{'h': '4', 'a': '1'}","{'h': '4.89487', 'a': '0.318831'}",2024-09-21 19:00:00,"{'w': 0.9779494174291175, 'd': 0.017881240552805888, 'l': 0.003988227230160976}",w
27051,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '158', 'title': 'Alaves', 'short_title': 'ALA'}","{'h': '3', 'a': '2'}","{'h': '1.79791', 'a': '0.853455'}",2024-09-24 19:00:00,"{'w': 0.5972715734012928, 'd': 0.2281500265806747, 'l': 0.17457839907270598}",w
27053,True,a,"{'id': '143', 'title': 'Atletico Madrid', 'short_title': 'ATL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '1'}","{'h': '1.05477', 'a': '0.660987'}",2024-09-29 19:00:00,"{'w': 0.444375121889515, 'd': 0.3288223509708544, 'l': 0.22680252713899565}",d
27063,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '154', 'title': 'Villarreal', 'short_title': 'VIL'}","{'h': '2', 'a': '0'}","{'h': '0.459582', 'a': '1.4618'}",2024-10-05 19:00:00,"{'w': 0.11492689354395881, 'd': 0.26256730460989036, 'l': 0.6225058017881645}",w
27075,True,a,"{'id': '152', 'title': 'Celta Vigo', 'short_title': 'CEL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '1', 'a': '2'}","{'h': '1.79112', 'a': '1.19816'}",2024-10-19 19:00:00,"{'w': 0.5127806431340508, 'd': 0.2321006661243182, 'l': 0.25511868983907704}",w
27085,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '148', 'title': 'Barcelona', 'short_title': 'BAR'}","{'h': '0', 'a': '4'}","{'h': '1.40359', 'a': '2.51566'}",2024-10-26 19:00:00,"{'w': 0.20076580992777676, 'd': 0.1823319649984941, 'l': 0.6169021501921853}",l
27109,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '157', 'title': 'Osasuna', 'short_title': 'OSA'}","{'h': '4', 'a': '0'}","{'h': '3.27315', 'a': '0.0678926'}",2024-11-09 13:00:00,"{'w': 0.9535130689755996, 'd': 0.04371470093161122, 'l': 0.0027703057224228414}",w
27116,True,a,"{'id': '159', 'title': 'Leganes', 'short_title': 'LEG'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '0', 'a': '3'}","{'h': '0.108948', 'a': '2.73014'}",2024-11-24 17:30:00,"{'w': 0.007763572690608471, 'd': 0.07721015027329463, 'l': 0.9150260677148944}",w
27127,True,h,"{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'id': '142', 'title': 'Getafe', 'short_title': 'GET'}","{'h': '2', 'a': '0'}","{'h': '3.23626', 'a': '0.34657'}",2024-12-01 15:15:00,"{'w': 0.9123040783943575, 'd': 0.06888490896741048, 'l': 0.018809332835250527}",w
27162,True,a,"{'id': '147', 'title': 'Athletic Club', 'short_title': 'ATH'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '2', 'a': '1'}","{'h': '2.08134', 'a': '1.97732'}",2024-12-04 20:00:00,"{'w': 0.41735724368022564, 'd': 0.2051278746563073, 'l': 0.3775148718045752}",l
27137,True,a,"{'id': '223', 'title': 'Girona', 'short_title': 'GIR'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '0', 'a': '3'}","{'h': '0.351337', 'a': '1.16034'}",2024-12-07 20:00:00,"{'w': 0.11187234573636942, 'd': 0.3200363467166416, 'l': 0.5680913075445851}",w
27144,True,a,"{'id': '145', 'title': 'Rayo Vallecano', 'short_title': 'RVL'}","{'id': '150', 'title': 'Real Madrid', 'short_title': 'RMA'}","{'h': '3', 'a': '3'}","{'h': '1.60769', 'a': '1.15429'}",2024-12-14 20:00:00,"{'w': 0.47888047311216236, 'd': 0.24738583932367328, 'l': 0.27373368735106524}",d
