match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
26984,2024-08-16 17:00:00,La_liga,2024,Celta_Vigo,Alaves,Home,2,1,0.793797,1.9391,6,10,w
26992,2024-08-23 17:00:00,La_liga,2024,Celta_Vigo,Valencia,Home,3,1,1.30571,1.1544,7,13,w
27002,2024-08-26 19:30:00,La_liga,2024,Celta_Vigo,Villarreal,Away,3,4,3.79183,4.3817,21,24,l
27018,2024-09-01 15:00:00,La_liga,2024,Celta_Vigo,Osasuna,Away,2,3,1.72329,0.779621,13,11,l
27025,2024-09-15 12:00:00,La_liga,2024,Celta_Vigo,Real Valladolid,Home,3,1,1.99273,0.382657,14,6,w
27032,2024-09-22 14:15:00,La_liga,2024,Celta_Vigo,Athletic Club,Away,1,3,1.21547,0.864304,11,10,l
27048,2024-09-26 19:00:00,La_liga,2024,Celta_Vigo,Atletico Madrid,Home,0,1,1.76126,0.778357,10,8,l
27054,2024-09-29 12:00:00,La_liga,2024,Celta_Vigo,Girona,Home,1,1,0.52399,1.41269,12,9,d
27069,2024-10-05 16:30:00,La_liga,2024,Celta_Vigo,Las Palmas,Away,1,0,0.814163,0.964894,8,24,w
27075,2024-10-19 19:00:00,La_liga,2024,Celta_Vigo,Real Madrid,Home,1,2,1.79112,1.19816,13,10,l
27086,2024-10-27 13:00:00,La_liga,2024,Celta_Vigo,Leganes,Away,0,3,0.767239,1.54881,18,7,l
27094,2024-11-04 20:00:00,La_liga,2024,Celta_Vigo,Getafe,Home,1,0,2.12477,0.424746,10,10,w
27103,2024-11-10 13:00:00,La_liga,2024,Celta_Vigo,Real Betis,Away,2,2,0.941675,1.65065,3,19,d
27117,2024-11-23 20:00:00,La_liga,2024,Celta_Vigo,Barcelona,Home,2,2,2.75981,1.93782,15,9,d
27131,2024-11-30 17:30:00,La_liga,2024,Celta_Vigo,Espanyol,Away,1,3,1.55998,1.50136,16,9,l
27136,2024-12-06 20:00:00,La_liga,2024,Celta_Vigo,Mallorca,Home,2,0,1.19949,1.09038,12,9,w
27145,2024-12-14 17:30:00,La_liga,2024,Celta_Vigo,Sevilla,Away,0,1,0.928845,0.487466,10,8,l
27154,2024-12-21 15:15:00,La_liga,2024,Celta_Vigo,Real Sociedad,Home,2,0,1.22165,0.314488,11,7,w
27169,2025-01-10 20:00:00,La_liga,2024,Celta_Vigo,Rayo Vallecano,Away,1,2,3.25801,1.00439,23,8,l
27175,2025-01-19 13:00:00,La_liga,2024,Celta_Vigo,Athletic Club,Home,1,2,0.40033,2.49675,3,14,l
27186,2025-01-27 20:00:00,La_liga,2024,Celta_Vigo,Alaves,Away,1,1,0.155093,0.891741,5,3,d
27199,2025-02-02 15:15:00,La_liga,2024,Celta_Vigo,Valencia,Away,1,2,0.51501,1.93065,3,8,l
27207,2025-02-08 13:00:00,La_liga,2024,Celta_Vigo,Real Betis,Home,3,2,1.75134,1.51159,14,12,w
27212,2025-02-15 17:30:00,La_liga,2024,Celta_Vigo,Atletico Madrid,Away,1,1,1.45388,0.689105,11,9,d
27223,2025-02-21 20:00:00,La_liga,2024,Celta_Vigo,Osasuna,Home,1,0,2.31891,0.838476,12,18,w
27237,2025-03-01 13:00:00,La_liga,2024,Celta_Vigo,Girona,Away,2,2,1.64758,0.89503,10,9,d
27246,2025-03-08 13:00:00,La_liga,2024,Celta_Vigo,Leganes,Home,2,1,1.07104,0.99815,7,12,w
27257,2025-03-15 13:00:00,La_liga,2024,Celta_Vigo,Real Valladolid,Away,1,0,1.81654,0.839415,10,5,w
27263,2025-03-31 20:00:00,La_liga,2024,Celta_Vigo,Las Palmas,Home,1,1,1.07663,0.52734,19,4,d
27278,2025-04-05 16:30:00,La_liga,2024,Celta_Vigo,Mallorca,Away,2,1,1.12056,0.670008,10,7,w
27282,2025-04-12 16:30:00,La_liga,2024,Celta_Vigo,Espanyol,Home,0,2,0.824366,0.780846,16,5,l
27292,2025-04-19 14:15:00,La_liga,2024,Celta_Vigo,Barcelona,Away,3,4,2.50499,2.56587,11,18,l
27307,2025-04-23 17:00:00,La_liga,2024,Celta_Vigo,Villarreal,Home,3,0,3.19678,0.5946,21,4,w
27317,2025-05-04 12:00:00,La_liga,2024,Celta_Vigo,Real Madrid,Away,2,3,2.13071,3.07408,14,17,l
27326,2025-05-10 14:15:00,La_liga,2024,Celta_Vigo,Sevilla,Home,3,2,0.959531,2.61391,8,19,w
27337,2025-05-13 18:00:00,La_liga,2024,Celta_Vigo,Real Sociedad,Away,1,0,1.29945,3.31324,6,15,w
27344,2025-05-18 17:00:00,La_liga,2024,Celta_Vigo,Rayo Vallecano,Home,1,2,2.4242,0.906857,24,7,l
27359,2025-05-24 19:00:00,La_liga,2024,Celta_Vigo,Getafe,Away,2,1,1.30818,0.35897,15,6,w
