match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
26983,2024-08-15 19:30:00,La_liga,2024,Real_Betis,Girona,Home,1,1,1.80582,1.54726,19,13,d
27000,2024-08-25 17:15:00,La_liga,2024,Real_Betis,Alaves,Away,0,0,1.36012,0.172545,15,5,d
27021,2024-09-01 19:30:00,La_liga,2024,Real_Betis,Real Madrid,Away,0,2,0.831429,2.37168,11,22,l
27024,2024-09-13 19:00:00,La_liga,2024,Real_Betis,Leganes,Home,2,0,1.72201,0.107021,14,3,w
27007,2024-09-18 17:00:00,La_liga,2024,Real_Betis,Getafe,Home,2,1,3.06176,0.864309,17,15,w
27033,2024-09-23 19:00:00,La_liga,2024,Real_Betis,Mallorca,Home,1,2,1.37084,1.4369,16,7,l
27049,2024-09-26 17:00:00,La_liga,2024,Real_Betis,Las Palmas,Away,1,1,2.66646,1.10799,13,8,d
27061,2024-09-29 16:30:00,La_liga,2024,Real_Betis,Espanyol,Home,1,0,1.97922,0.569387,20,8,w
27068,2024-10-06 16:30:00,La_liga,2024,Real_Betis,Sevilla,Away,0,1,0.436615,1.8284,11,14,l
27079,2024-10-19 14:15:00,La_liga,2024,Real_Betis,Osasuna,Away,2,1,2.79181,2.21025,11,19,w
27084,2024-10-27 17:30:00,La_liga,2024,Real_Betis,Atletico Madrid,Home,1,0,2.20384,0.555217,24,11,w
27092,2024-11-03 20:00:00,La_liga,2024,Real_Betis,Athletic Club,Away,1,1,1.54499,4.2033,7,17,d
27103,2024-11-10 13:00:00,La_liga,2024,Real_Betis,Celta Vigo,Home,2,2,1.65065,0.941675,19,3,d
27118,2024-11-23 13:00:00,La_liga,2024,Real_Betis,Valencia,Away,2,4,1.05242,1.67338,7,12,l
27130,2024-12-01 20:00:00,La_liga,2024,Real_Betis,Real Sociedad,Away,0,2,0.366137,0.818081,8,2,l
27139,2024-12-07 15:15:00,La_liga,2024,Real_Betis,Barcelona,Home,2,2,2.76257,1.54117,12,9,d
27148,2024-12-15 17:30:00,La_liga,2024,Real_Betis,Villarreal,Away,2,1,1.6735,1.60957,10,17,w
27153,2024-12-22 20:00:00,La_liga,2024,Real_Betis,Rayo Vallecano,Home,1,1,1.93031,0.878426,14,10,d
27168,2025-01-11 15:15:00,La_liga,2024,Real_Betis,Real Valladolid,Away,0,1,1.03813,1.62446,14,12,l
27181,2025-01-18 17:30:00,La_liga,2024,Real_Betis,Alaves,Home,1,3,0.501492,1.6539,7,9,l
27187,2025-01-25 13:00:00,La_liga,2024,Real_Betis,Mallorca,Away,1,0,0.59491,0.789384,8,16,w
27198,2025-02-02 20:00:00,La_liga,2024,Real_Betis,Athletic Club,Home,2,2,1.31717,1.75905,10,12,d
27207,2025-02-08 13:00:00,La_liga,2024,Real_Betis,Celta Vigo,Away,2,3,1.51159,1.75134,12,14,l
27218,2025-02-16 20:00:00,La_liga,2024,Real_Betis,Real Sociedad,Home,3,0,2.49445,0.20529,24,5,w
27227,2025-02-23 17:30:00,La_liga,2024,Real_Betis,Getafe,Away,2,1,2.34571,0.86267,13,10,w
27233,2025-03-01 17:30:00,La_liga,2024,Real_Betis,Real Madrid,Home,2,1,2.23957,1.05072,18,9,w
27245,2025-03-09 17:30:00,La_liga,2024,Real_Betis,Las Palmas,Home,1,0,2.31412,0.426529,14,8,w
27256,2025-03-16 13:00:00,La_liga,2024,Real_Betis,Leganes,Away,3,2,2.92809,1.57329,21,10,w
27271,2025-03-30 20:00:00,La_liga,2024,Real_Betis,Sevilla,Home,2,1,0.894203,0.867589,11,6,w
27272,2025-04-05 19:00:00,La_liga,2024,Real_Betis,Barcelona,Away,1,1,0.249939,1.46844,6,13,d
27285,2025-04-13 16:30:00,La_liga,2024,Real_Betis,Villarreal,Home,1,2,2.04046,1.32607,24,8,l
27296,2025-04-21 19:00:00,La_liga,2024,Real_Betis,Girona,Away,3,1,2.28252,1.10326,17,11,w
27306,2025-04-24 19:30:00,La_liga,2024,Real_Betis,Real Valladolid,Home,5,1,2.26702,0.839722,16,10,w
27321,2025-05-04 16:30:00,La_liga,2024,Real_Betis,Espanyol,Away,2,1,1.05631,0.873167,20,11,w
27325,2025-05-11 19:00:00,La_liga,2024,Real_Betis,Osasuna,Home,1,1,0.359348,2.2272,10,16,d
27336,2025-05-15 17:00:00,La_liga,2024,Real_Betis,Rayo Vallecano,Away,2,2,1.17134,1.30199,10,20,d
27342,2025-05-18 17:00:00,La_liga,2024,Real_Betis,Atletico Madrid,Away,1,4,0.821908,4.94276,12,20,l
27354,2025-05-23 19:00:00,La_liga,2024,Real_Betis,Valencia,Home,1,1,1.15286,0.647724,14,9,d
