id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2543,Borja Iglesias,9,481,4,3.8783377036452293,0,0.3246221970766783,15,6,1,0,F S,Celta Vigo,3,3.1350600980222225,4.113953221589327,0.9952943436801434
2290,Iago Aspas,7,355,1,1.6754222363233566,0,0.6060182061046362,11,12,1,0,F M S,Celta Vigo,1,1.6754222363233566,3.3958241641521454,1.4674364104866982
10078,Hugo Álvarez,7,336,1,0.05165326967835426,0,0.19922693446278572,1,6,0,0,D F S,Celta Vigo,1,0.05165326967835426,1.3019337356090546,1.1027067601680756
11154,Pablo Durán,8,416,1,0.890649912878871,0,0.037867382168769836,11,1,0,0,F M S,Celta Vigo,1,0.890649912878871,1.1037425994873047,0.23588779009878635
12643,Javier Rueda,7,365,1,0.46578601747751236,2,1.457190627232194,4,4,2,0,D S,Celta Vigo,1,0.46578601747751236,2.3690552450716496,2.0193161703646183
1621,Marcos Alonso,6,475,0,0.10203194059431553,0,0.28308406472206116,4,4,1,0,D S,Celta Vigo,0,0.10203194059431553,2.8351898789405823,2.746187061071396
1830,Ionut Radu,9,810,0,0,0,0,0,0,0,0,GK,Celta Vigo,0,0,1.537615329027176,1.537615329027176
5947,Mihailo Ristic,3,200,0,0.016058174893260002,0,0.04372939094901085,1,1,0,0,D,Celta Vigo,0,0.016058174893260002,0.5017781779170036,0.44199061021208763
6931,Fran Beltrán,5,222,0,0.2045219112187624,0,0.09601030498743057,3,1,0,0,M S,Celta Vigo,0,0.2045219112187624,1.6871072556823492,1.4825853109359741
7655,Carl Starfelt,4,161,0,0.19014017283916473,0,0,2,0,0,1,D S,Celta Vigo,0,0.19014017283916473,1.1719284057617188,1.1719284057617188
8122,Sergio Carreira,6,536,0,0.03929823637008667,0,0.12186131998896599,2,2,0,0,D,Celta Vigo,0,0.03929823637008667,3.39471784979105,3.271193452179432
8549,Ferrán Jutglà,7,376,0,0.9233456179499626,0,0.6614933982491493,12,3,0,0,F M S,Celta Vigo,0,0.9233456179499626,1.9692666456103325,1.1050183922052383
9011,Óscar Mingueza,8,508,0,0.2672766540199518,1,1.9842395186424255,6,11,1,0,D S,Celta Vigo,0,0.2672766540199518,4.157194532454014,2.885342847555876
9243,Ilaix Moriba,9,539,0,0.26326828449964523,1,0.8651539161801338,7,5,1,0,M S,Celta Vigo,0,0.26326828449964523,2.787482228130102,1.7181926257908344
9519,Carlos Domínguez,5,401,0,0.04288867488503456,0,0.032405056059360504,1,1,1,0,D S,Celta Vigo,0,0.04288867488503456,1.8456330671906471,1.8132280111312866
9520,Hugo Sotelo,8,589,0,0.03326086699962616,1,1.2610647361725569,1,14,1,0,M S,Celta Vigo,0,0.03326086699962616,2.941136971116066,2.466930190101266
10143,Bryan Zaragoza,8,314,0,0.43078504130244255,0,0.07908695936203003,10,1,0,0,F S,Celta Vigo,0,0.43078504130244255,2.7125548347830772,2.2240784130990505
10614,Damián Rodríguez,1,90,0,0.06661918014287949,0,0.12111035734415054,3,2,0,0,M,Celta Vigo,0,0.06661918014287949,1.5533621311187744,1.4796807765960693
10870,Williot Swedberg,6,235,0,0.3875354565680027,0,0.14787055552005768,2,1,1,0,F M S,Celta Vigo,0,0.3875354565680027,1.0571207143366337,0.5217147134244442
12180,Javier Rodríguez,8,574,0,0.17420805245637894,0,0.06051796954125166,2,3,1,0,D S,Celta Vigo,0,0.17420805245637894,2.711354471743107,2.6604878678917885
12642,Yoel Lago,4,340,0,0,0,0.02443986013531685,0,1,2,0,D,Celta Vigo,0,0,0.9825319685041904,0.9580921083688736
13361,Jones El Abdellaoui,2,48,0,0.2551420032978058,0,0.051578570157289505,1,2,0,0,S,Celta Vigo,0,0.2551420032978058,0.3731178939342499,0.09658991545438766
13620,Miguel Román,2,161,0,0.4364768695086241,0,0.03200832009315491,2,1,2,0,M,Celta Vigo,0,0.4364768695086241,0.559253141283989,0.12277627736330032
13787,Manuel Fernández,5,334,0,0.04206627048552036,0,0,2,0,0,0,D S,Celta Vigo,0,0.04206627048552036,1.9308704137802124,1.8888041973114014
