match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
18971,2022-08-15 19:30:00,La_liga,2022,Elche,Real Betis,Away,0,3,0.29379,3.99664,4,17,l,0
18980,2022-08-22 18:00:00,La_liga,2022,Elche,Almeria,Home,1,1,0.899007,0.969747,13,12,d,1
18984,2022-08-27 15:30:00,La_liga,2022,Elche,Real Sociedad,Home,0,1,1.23504,1.81171,12,9,l,0
18997,2022-09-04 16:30:00,La_liga,2022,Elche,Villarreal,Away,0,4,0.21919,3.5829,7,18,l,0
19009,2022-09-11 14:15:00,La_liga,2022,Elche,Athletic Club,Home,1,4,0.748083,3.2386,10,16,l,0
19013,2022-09-17 14:15:00,La_liga,2022,Elche,Barcelona,Away,0,3,0.0129931,5.17903,1,25,l,0
19029,2022-10-03 19:00:00,La_liga,2022,Elche,Rayo Vallecano,Away,1,2,0.924633,0.651238,5,15,l,0
19034,2022-10-10 19:00:00,La_liga,2022,Elche,Mallorca,Home,1,1,0.334856,2.69714,7,11,d,1
19047,2022-10-15 14:15:00,La_liga,2022,Elche,Valencia,Away,2,2,1.30317,3.04132,8,20,d,1
19054,2022-10-19 19:00:00,La_liga,2022,Elche,Real Madrid,Home,0,3,1.04972,1.6151,10,10,l,0
19067,2022-10-23 12:00:00,La_liga,2022,Elche,Espanyol,Away,2,2,0.318561,2.18547,9,13,d,1
19073,2022-10-31 20:00:00,La_liga,2022,Elche,Getafe,Home,0,1,1.22713,0.372744,12,8,l,0
19088,2022-11-05 15:15:00,La_liga,2022,Elche,Real Valladolid,Away,1,2,0.198499,2.81292,4,16,l,0
19093,2022-11-08 18:00:00,La_liga,2022,Elche,Girona,Home,1,2,0.914455,2.20883,11,21,l,0
19102,2022-12-29 20:30:00,La_liga,2022,Elche,Atletico Madrid,Away,0,2,0.568911,1.74436,5,18,l,0
19118,2023-01-06 17:30:00,La_liga,2022,Elche,Celta Vigo,Home,0,1,1.14494,1.9713,13,14,l,0
19123,2023-01-16 20:00:00,La_liga,2022,Elche,Cadiz,Away,1,1,0.654686,1.40204,12,16,d,1
19135,2023-01-22 15:15:00,La_liga,2022,Elche,Osasuna,Home,1,1,2.36237,0.607835,13,8,d,1
19149,2023-01-28 17:30:00,La_liga,2022,Elche,Sevilla,Away,0,3,0.340633,3.27297,6,22,l,0
19156,2023-02-04 15:15:00,La_liga,2022,Elche,Villarreal,Home,3,1,2.88986,1.48923,18,14,w,3
19169,2023-02-15 20:00:00,La_liga,2022,Elche,Real Madrid,Away,0,4,0.619125,4.04364,7,26,l,0
19174,2023-02-19 13:00:00,La_liga,2022,Elche,Espanyol,Home,0,1,1.60154,1.35887,19,11,l,0
19190,2023-02-24 20:00:00,La_liga,2022,Elche,Real Betis,Home,2,3,0.883935,4.05176,4,21,l,0
19199,2023-03-04 17:30:00,La_liga,2022,Elche,Mallorca,Away,1,0,0.957134,0.96231,15,14,w,3
19204,2023-03-11 15:15:00,La_liga,2022,Elche,Real Valladolid,Home,1,1,2.80287,0.246865,24,5,d,1
19220,2023-03-19 15:15:00,La_liga,2022,Elche,Real Sociedad,Away,0,2,0.0819691,2.69405,4,17,l,0
19227,2023-04-01 19:00:00,La_liga,2022,Elche,Barcelona,Home,0,4,0.508304,1.61804,15,12,l,0
19239,2023-04-08 12:00:00,La_liga,2022,Elche,Osasuna,Away,1,2,0.657812,1.68972,7,22,l,0
19248,2023-04-16 12:00:00,La_liga,2022,Elche,Girona,Away,0,2,0.577847,1.22906,13,14,l,0
19252,2023-04-23 12:00:00,La_liga,2022,Elche,Valencia,Home,0,2,0.795158,1.05313,8,5,l,0
19265,2023-04-26 20:00:00,La_liga,2022,Elche,Celta Vigo,Away,0,1,1.48138,1.4351,12,15,l,0
19273,2023-04-29 14:15:00,La_liga,2022,Elche,Rayo Vallecano,Home,4,0,3.37969,0.565048,18,14,w,3
19288,2023-05-02 17:30:00,La_liga,2022,Elche,Almeria,Away,1,2,1.01416,1.82539,14,9,l,0
19298,2023-05-14 14:15:00,La_liga,2022,Elche,Atletico Madrid,Home,1,0,2.28487,1.44785,15,13,w,3
19306,2023-05-20 16:30:00,La_liga,2022,Elche,Getafe,Away,1,1,1.34186,1.58846,13,9,d,1
19314,2023-05-24 17:30:00,La_liga,2022,Elche,Sevilla,Home,1,1,1.35854,0.889054,20,9,d,1
19322,2023-05-28 17:00:00,La_liga,2022,Elche,Athletic Club,Away,1,0,0.769369,2.91389,6,28,w,3
19336,2023-06-04 18:00:00,La_liga,2022,Elche,Cadiz,Home,1,1,1.534,2.22255,12,14,d,1
29166,2025-08-18 19:00:00,La_liga,2025,Elche,Real Betis,Home,1,1,0.981494,1.59562,6,12,d,1
29170,2025-08-23 17:30:00,La_liga,2025,Elche,Atletico Madrid,Away,1,1,0.313268,1.68159,6,13,d,1
29179,2025-08-29 17:30:00,La_liga,2025,Elche,Levante,Home,2,0,1.44309,0.969663,16,11,w,3
29189,2025-09-12 19:00:00,La_liga,2025,Elche,Sevilla,Away,2,2,0.781151,0.346397,5,7,d,1
29201,2025-09-21 16:30:00,La_liga,2025,Elche,Real Oviedo,Home,1,0,1.57497,1.10565,15,12,w,3
29214,2025-09-25 17:30:00,La_liga,2025,Elche,Osasuna,Away,1,1,1.05089,1.17524,12,9,d,1
29226,2025-09-28 14:15:00,La_liga,2025,Elche,Celta Vigo,Home,2,1,4.03596,0.821768,17,8,w,3
29228,2025-10-05 12:00:00,La_liga,2025,Elche,Alaves,Away,1,3,0.661537,2.85063,6,25,l,0
29244,2025-10-19 12:00:00,La_liga,2025,Elche,Athletic Club,Home,0,0,0.823916,0.240214,15,4,d,1
