id,isResult,side,h,a,goals,xG,datetime,forecast,result
23375,True,h,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '2', 'a': '4'}","{'h': '1.97981', 'a': '3.40428'}",2023-08-13 13:00:00,"{'w': 0.19866125402607232, 'd': 0.14848793601951826, 'l': 0.6528477335273667}",l
23385,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '2', 'a': '0'}","{'h': '2.41479', 'a': '0.399613'}",2023-08-20 13:00:00,"{'w': 0.8217343767627361, 'd': 0.1333259046491623, 'l': 0.04493967410034555}",l
23395,True,h,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'h': '0', 'a': '1'}","{'h': '0.540615', 'a': '0.791472'}",2023-08-27 13:00:00,"{'w': 0.22870416667321555, 'd': 0.38952491186234656, 'l': 0.38177092146442654}",l
23398,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '2', 'a': '2'}","{'h': '0.64111', 'a': '1.40431'}",2023-09-03 11:00:00,"{'w': 0.17010084231109862, 'd': 0.274741691049547, 'l': 0.5551574666058401}",d
23413,True,h,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '0', 'a': '1'}","{'h': '1.26417', 'a': '0.866302'}",2023-09-17 13:00:00,"{'w': 0.4561807934387171, 'd': 0.2891240263281899, 'l': 0.254695180225163}",l
23421,True,a,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '2', 'a': '1'}","{'h': '1.01727', 'a': '0.716065'}",2023-09-24 13:00:00,"{'w': 0.4177470272586475, 'd': 0.3308287690783167, 'l': 0.2514242036626514}",l
23431,True,h,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '0'}","{'h': '1.16006', 'a': '2.99118'}",2023-09-30 15:00:00,"{'w': 0.11623625155076009, 'd': 0.14061573754830922, 'l': 0.7431473642188284}",d
23448,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '1', 'a': '2'}","{'h': '1.73586', 'a': '1.28994'}",2023-10-22 18:45:00,"{'w': 0.4792257154657988, 'd': 0.23542719338776552, 'l': 0.2853470905446476}",w
23455,True,h,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '0.298709', 'a': '2.15871'}",2023-10-27 19:00:00,"{'w': 0.03996333600241542, 'd': 0.15045706068389275, 'l': 0.8095795928123836}",l
23462,True,a,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '0', 'a': '0'}","{'h': '1.55966', 'a': '1.05162'}",2023-11-05 14:00:00,"{'w': 0.49087043041004436, 'd': 0.2532742039670507, 'l': 0.2558553654823867}",d
