id,isResult,side,h,a,goals,xG,datetime,forecast,result
23376,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '2', 'a': '2'}","{'h': '1.2977', 'a': '1.24958'}",2023-08-13 13:00:00,"{'w': 0.37787310553092457, 'd': 0.2670011704776444, 'l': 0.35512572397338454}",d
23387,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '1', 'a': '2'}","{'h': '0.866995', 'a': '1.60466'}",2023-08-20 13:00:00,"{'w': 0.20264077554208382, 'd': 0.24968637256591633, 'l': 0.5476728516863991}",l
23391,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '2', 'a': '2'}","{'h': '3.49731', 'a': '0.41475'}",2023-08-27 11:00:00,"{'w': 0.9195643401348824, 'd': 0.061386261690143655, 'l': 0.01904517247931048}",d
23404,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'h': '3', 'a': '0'}","{'h': '1.70033', 'a': '0.675614'}",2023-09-03 13:00:00,"{'w': 0.6209441066808289, 'd': 0.23454340265501777, 'l': 0.14451249021592694}",w
23412,True,a,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '0', 'a': '0'}","{'h': '1.83314', 'a': '1.25165'}",2023-09-17 18:45:00,"{'w': 0.5103435471060661, 'd': 0.22864939788288233, 'l': 0.2610070537802816}",d
23421,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'h': '2', 'a': '1'}","{'h': '1.01727', 'a': '0.716065'}",2023-09-24 13:00:00,"{'w': 0.4177470272586475, 'd': 0.3308287690783167, 'l': 0.2514242036626514}",w
23433,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '0', 'a': '2'}","{'h': '1.05835', 'a': '1.38688'}",2023-10-01 13:00:00,"{'w': 0.28681131774254487, 'd': 0.26903286310017877, 'l': 0.4441558191283673}",l
23436,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '3', 'a': '0'}","{'h': '3.00689', 'a': '0.131369'}",2023-10-08 11:00:00,"{'w': 0.9304046142923504, 'd': 0.062252682334549676, 'l': 0.007342013927445618}",l
23451,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '0', 'a': '0'}","{'h': '1.84471', 'a': '1.96292'}",2023-10-20 19:00:00,"{'w': 0.370519528534861, 'd': 0.21233185939052096, 'l': 0.4171486077176834}",d
23458,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '0', 'a': '0'}","{'h': '0.469858', 'a': '0.890469'}",2023-10-29 14:00:00,"{'w': 0.18562235118621984, 'd': 0.3756916314594844, 'l': 0.4386860173542372}",d
23463,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '1', 'a': '2'}","{'h': '2.31734', 'a': '1.21056'}",2023-11-05 14:00:00,"{'w': 0.6212277930748109, 'd': 0.19107295779276537, 'l': 0.18769922287478533}",w
23475,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '0'}","{'h': '1.12627', 'a': '0.968375'}",2023-11-11 20:00:00,"{'w': 0.3911428338072101, 'd': 0.29875279715346587, 'l': 0.31010436903754635}",d
23486,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'h': '0', 'a': '0'}","{'h': '1.75264', 'a': '0.225701'}",2023-11-26 14:00:00,"{'w': 0.7592121767386638, 'd': 0.19865949491971438, 'l': 0.04212832766904939}",d
23495,True,h,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '2'}","{'h': '1.85535', 'a': '1.76208'}",2023-12-03 12:00:00,"{'w': 0.4095684818757997, 'd': 0.21853776209705417, 'l': 0.371893753868295}",l
