id,isResult,side,h,a,goals,xG,datetime,forecast,result
23377,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '1', 'a': '1'}","{'h': '1.12141', 'a': '1.53437'}",2023-08-12 18:00:00,"{'w': 0.277734740742747, 'd': 0.2541884742394284, 'l': 0.46807678490423604}",d
23381,True,a,"{'id': '179', 'title': 'Lorient', 'short_title': 'LOR'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '1'}","{'h': '0.750785', 'a': '2.42649'}",2023-08-20 13:00:00,"{'w': 0.09611652728722486, 'd': 0.16012572073637252, 'l': 0.7437577046599835}",d
23394,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '0'}","{'h': '1.82327', 'a': '0.25547'}",2023-08-27 18:45:00,"{'w': 0.764332477363049, 'd': 0.19049878291721914, 'l': 0.04516873858062904}",d
23402,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '2', 'a': '0'}","{'h': '2.28809', 'a': '0.158524'}",2023-09-03 15:05:00,"{'w': 0.8613805857295675, 'd': 0.12095791982757675, 'l': 0.017661472146695615}",w
23407,True,a,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '2', 'a': '3'}","{'h': '1.21929', 'a': '1.94985'}",2023-09-15 19:00:00,"{'w': 0.23653036701060556, 'd': 0.21965142171804636, 'l': 0.5438182084953378}",w
23417,True,a,"{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '1.80137', 'a': '1.10143'}",2023-09-22 19:00:00,"{'w': 0.5375794140362382, 'd': 0.23123871491783596, 'l': 0.23118187007493848}",w
23430,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '0', 'a': '0'}","{'h': '1.03293', 'a': '0.153004'}",2023-10-01 13:00:00,"{'w': 0.5898291204110278, 'd': 0.3556777337350121, 'l': 0.05449314585348684}",d
23440,True,a,"{'id': '180', 'title': 'Metz', 'short_title': 'MET'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '0.263633', 'a': '1.51523'}",2023-10-07 15:00:00,"{'w': 0.061307340783067085, 'd': 0.24331326808984416, 'l': 0.6953793910325609}",w
23449,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '1', 'a': '0'}","{'h': '0.828728', 'a': '1.00304'}",2023-10-21 19:00:00,"{'w': 0.29097021872125645, 'd': 0.32359146747803, 'l': 0.3854383138003797}",w
23455,True,a,"{'id': '270', 'title': 'Clermont Foot', 'short_title': 'CLE'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '1'}","{'h': '0.298709', 'a': '2.15871'}",2023-10-27 19:00:00,"{'w': 0.03996333600241542, 'd': 0.15045706068389275, 'l': 0.8095795928123836}",w
23468,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '0'}","{'h': '2.28618', 'a': '0.484764'}",2023-11-05 19:45:00,"{'w': 0.7834493603827809, 'd': 0.15374431600258193, 'l': 0.06280630155694016}",w
23477,True,a,"{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '0', 'a': '0'}","{'h': '0.651349', 'a': '0.62039'}",2023-11-10 20:00:00,"{'w': 0.3068357571262976, 'd': 0.4055991598237682, 'l': 0.2875650830499328}",d
23484,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'h': '1', 'a': '0'}","{'h': '1.00133', 'a': '1.27183'}",2023-11-26 12:00:00,"{'w': 0.2919239785442514, 'd': 0.28230252975977327, 'l': 0.42577349168709194}",w
23494,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '1', 'a': '0'}","{'h': '1.18224', 'a': '1.2317'}",2023-12-02 20:00:00,"{'w': 0.35024867450559033, 'd': 0.27557171910366973, 'l': 0.374179606382117}",l
23502,True,h,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '2', 'a': '1'}","{'h': '1.2751', 'a': '1.13313'}",2023-12-10 12:00:00,"{'w': 0.396757456515386, 'd': 0.27519230410553, 'l': 0.3280502393684697}",w
