match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
23374,2023-08-13 13:00:00,Ligue_1,2023,Nantes,Toulouse,Home,1,2,1.07028,2.06035,9,9,l
23383,2023-08-20 11:00:00,Ligue_1,2023,Nantes,Lille,Away,0,2,1.27164,3.239,14,18,l
23396,2023-08-25 19:00:00,Ligue_1,2023,Nantes,Monaco,Home,3,3,0.906833,4.95812,3,27,d
23403,2023-09-01 19:00:00,Ligue_1,2023,Nantes,Marseille,Home,1,1,0.621642,2.77866,10,26,d
23413,2023-09-17 13:00:00,Ligue_1,2023,Nantes,Clermont Foot,Away,1,0,0.866302,1.26417,8,16,w
23420,2023-09-23 15:00:00,Ligue_1,2023,Nantes,Lorient,Home,5,3,2.52906,1.59675,19,10,w
23426,2023-10-01 18:45:00,Ligue_1,2023,Nantes,Rennes,Away,1,3,0.902963,2.3169,10,16,l
23434,2023-10-06 19:00:00,Ligue_1,2023,Nantes,Strasbourg,Away,2,1,2.24185,0.944783,16,11,w
23450,2023-10-22 13:00:00,Ligue_1,2023,Nantes,Montpellier,Home,2,0,1.74936,0.495893,14,11,w
23457,2023-10-28 19:00:00,Ligue_1,2023,Nantes,Lens,Away,0,4,1.21849,4.32919,11,11,l
23469,2023-11-05 14:00:00,Ligue_1,2023,Nantes,Reims,Home,0,1,1.54695,1.7428,17,7,l
23476,2023-11-12 14:00:00,Ligue_1,2023,Nantes,Metz,Away,1,3,1.75389,0.940982,16,9,l
23486,2023-11-26 14:00:00,Ligue_1,2023,Nantes,Le Havre,Home,0,0,1.75264,0.225701,19,6,d
23494,2023-12-02 20:00:00,Ligue_1,2023,Nantes,Nice,Home,1,0,1.18224,1.2317,13,13,w
23497,2023-12-09 20:00:00,Ligue_1,2023,Nantes,Paris Saint Germain,Away,1,2,0.483837,2.15633,10,16,l
23512,2023-12-17 12:00:00,Ligue_1,2023,Nantes,Brest,Home,0,2,1.38959,1.8065,12,14,l
23518,2023-12-20 20:00:00,Ligue_1,2023,Nantes,Lyon,Away,0,1,0.351645,2.1113,7,8,l
23529,2024-01-14 14:00:00,Ligue_1,2023,Nantes,Clermont Foot,Home,1,2,1.63891,1.22157,20,15,l
23540,2024-01-28 14:00:00,Ligue_1,2023,Nantes,Reims,Away,0,0,1.40977,1.21383,7,10,d
23548,2024-02-03 20:00:00,Ligue_1,2023,Nantes,Lens,Home,0,1,0.711906,1.63838,7,12,l
23552,2024-02-11 14:00:00,Ligue_1,2023,Nantes,Toulouse,Away,2,1,0.497993,0.893343,5,16,w
23566,2024-02-17 20:00:00,Ligue_1,2023,Nantes,Paris Saint Germain,Home,0,2,2.13627,1.71895,12,12,l
23574,2024-02-24 16:00:00,Ligue_1,2023,Nantes,Lorient,Away,1,0,0.331772,0.620869,7,6,w
23584,2024-03-03 14:00:00,Ligue_1,2023,Nantes,Metz,Home,0,2,0.962736,2.36445,9,13,l
23589,2024-03-10 19:45:00,Ligue_1,2023,Nantes,Marseille,Away,0,2,0.651156,2.03657,10,12,l
23602,2024-03-16 16:00:00,Ligue_1,2023,Nantes,Strasbourg,Home,1,3,0.709166,1.88754,11,11,l
23610,2024-03-31 14:00:00,Ligue_1,2023,Nantes,Nice,Away,2,1,1.79381,1.21101,13,12,w
23620,2024-04-07 18:45:00,Ligue_1,2023,Nantes,Lyon,Home,1,3,1.10318,2.90994,14,19,l
23630,2024-04-14 11:00:00,Ligue_1,2023,Nantes,Le Havre,Away,1,0,0.756172,1.6031,12,10,w
23638,2024-04-20 15:00:00,Ligue_1,2023,Nantes,Rennes,Home,0,3,0.159376,2.38163,6,14,l
23649,2024-04-26 19:00:00,Ligue_1,2023,Nantes,Montpellier,Away,1,1,1.70799,0.679578,15,8,d
23658,2024-05-04 19:00:00,Ligue_1,2023,Nantes,Brest,Away,0,0,1.33601,0.621067,9,9,d
23665,2024-05-12 19:00:00,Ligue_1,2023,Nantes,Lille,Home,1,2,0.810391,1.40896,9,12,l
23675,2024-05-19 19:00:00,Ligue_1,2023,Nantes,Monaco,Away,0,4,0.885758,1.85296,6,10,l
