id,isResult,side,h,a,goals,xG,datetime,forecast,result
28056,True,a,"{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '3', 'a': '0'}","{'h': '2.57411', 'a': '2.20066'}",2024-08-18 18:45:00,"{'w': 0.4732105004928049, 'd': 0.1856893153702856, 'l': 0.3411000705957853}",l
28058,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '2'}","{'h': '0.0144803', 'a': '2.60916'}",2024-08-24 15:00:00,"{'w': 0.0010780826418320703, 'd': 0.07530491595088216, 'l': 0.9236168827612465}",l
28066,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '4', 'a': '3'}","{'h': '3.22754', 'a': '2.44695'}",2024-08-30 18:45:00,"{'w': 0.5441385291882237, 'd': 0.1634362441961544, 'l': 0.2924235477264453}",w
28078,True,a,"{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '0'}","{'h': '0.623644', 'a': '0.529029'}",2024-09-15 18:45:00,"{'w': 0.3159867377179923, 'd': 0.4288944556023188, 'l': 0.25511880667968856}",d
28084,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'h': '2', 'a': '3'}","{'h': '3.89273', 'a': '0.675578'}",2024-09-22 18:45:00,"{'w': 0.910484341980558, 'd': 0.0618020757998411, 'l': 0.027698948467817775}",l
28099,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '2'}","{'h': '0.716626', 'a': '0.730803'}",2024-09-29 13:00:00,"{'w': 0.3080709305089497, 'd': 0.3754330658836352, 'l': 0.3164960036074087}",w
28102,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'h': '2', 'a': '0'}","{'h': '2.43324', 'a': '0.765938'}",2024-10-06 13:00:00,"{'w': 0.7414198430577724, 'd': 0.16050974321190942, 'l': 0.09807036470865814}",w
28115,True,a,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '4'}","{'h': '0.360268', 'a': '2.76676'}",2024-10-20 13:00:00,"{'w': 0.029485300330559502, 'd': 0.09973030574378779, 'l': 0.8707841468242111}",w
28126,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'h': '2', 'a': '2'}","{'h': '2.21183', 'a': '1.0609'}",2024-10-27 14:00:00,"{'w': 0.6344820409182406, 'd': 0.1948165951203747, 'l': 0.1707013495670382}",d
28136,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.67241', 'a': '1.58011'}",2024-11-01 20:00:00,"{'w': 0.40362710135374885, 'd': 0.23187918832429094, 'l': 0.3644937097962027}",d
28145,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '175', 'title': 'Saint-Etienne', 'short_title': 'SEN'}","{'h': '1', 'a': '0'}","{'h': '2.28647', 'a': '0.703111'}",2024-11-10 19:45:00,"{'w': 0.7316570294230275, 'd': 0.17012141977661155, 'l': 0.09822152870660526}",w
28155,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.17295', 'a': '1.92683'}",2024-11-23 20:00:00,"{'w': 0.22955868908719296, 'd': 0.22112298069991004, 'l': 0.549318327840892}",d
28163,True,h,"{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'h': '4', 'a': '1'}","{'h': '2.88467', 'a': '2.03621'}",2024-12-01 16:00:00,"{'w': 0.5589776417394552, 'd': 0.1733494210647703, 'l': 0.26767251799740827}",w
28168,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '0', 'a': '3'}","{'h': '0.505438', 'a': '2.02701'}",2024-12-07 20:00:00,"{'w': 0.08114843044587186, 'd': 0.18426234817747889, 'l': 0.7345892167599618}",w
