id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
3226,Ousmane Dembélé,29,1747,21,18.535317128524184,7,8.801493115723133,97,61,1,0,F M S,Paris Saint Germain,20,17.77522194944322,32.06679894030094,9.613210080191493
10016,Bradley Barcola,34,2223,14,15.342696774750948,10,9.934232400730252,74,50,2,0,F M S,Paris Saint Germain,14,15.342696774750948,34.758061334490776,14.240355039946735
11767,Gonçalo Ramos,22,1047,10,16.26604363322258,3,3.341807436197996,55,15,1,0,F S,Paris Saint Germain,8,13.985758140683174,18.393224000930786,3.9893672205507755
7313,Lee Kang-In,30,1670,6,4.310670820996165,6,6.810500537976623,41,56,1,0,F M S,Paris Saint Germain,6,4.310670820996165,19.64458440616727,12.531404040753841
10431,Désiré Doué,31,1725,6,6.107718924060464,6,9.995779056102037,55,55,1,0,F M S,Paris Saint Germain,6,6.107718924060464,23.308736577630043,10.87196858227253
8777,Vitinha,29,2020,5,3.7106160493567586,1,2.7980539528653026,27,27,1,0,M S,Paris Saint Germain,3,2.190425810404122,28.018506303429604,26.460083283483982
2447,Fabián,30,1911,4,4.621170435100794,5,4.917103078216314,43,36,1,0,M S,Paris Saint Germain,4,4.621170435100794,27.309957422316074,20.667619924992323
5197,Achraf Hakimi,25,2078,4,4.160572702996433,6,7.463568218052387,32,51,4,0,D S,Paris Saint Germain,4,4.160572702996433,26.46471108496189,20.622446397319436
7453,Khvicha Kvaratskhelia,14,926,4,3.9686633944511414,3,4.7618644423782825,34,25,0,0,F S,Paris Saint Germain,4,3.9686633944511414,13.687047217041254,7.0778207667171955
12734,João Neves,29,1875,3,3.8538658414036036,8,5.1189155131578445,28,33,1,0,D M S,Paris Saint Germain,3,3.8538658414036036,22.41386966779828,16.048299852758646
2117,Marco Asensio,12,634,2,6.554200384765863,4,3.00973679497838,26,17,0,0,F M S,Paris Saint Germain,2,6.554200384765863,13.550443682819605,4.816763836890459
3297,Marquinhos,22,1718,2,1.4838171489536762,0,0.9586863908916712,8,9,3,0,D S,Paris Saint Germain,2,1.4838171489536762,14.349374160170555,13.869366928935051
5743,Randal Kolo Muani,10,338,2,4.3605151660740376,1,1.03192538022995,16,5,0,0,F S,Paris Saint Germain,1,3.6004199869930744,5.772653795778751,1.4992613270878792
9961,Nuno Mendes,24,1681,2,1.7505824957042933,3,6.532824855297804,21,30,3,0,D S,Paris Saint Germain,2,1.7505824957042933,21.817054469138384,17.035902190953493
12345,Senny Mayulu,20,787,2,3.166915876790881,2,2.5530254524201155,25,12,1,0,D M S,Paris Saint Germain,2,3.166915876790881,11.970732416957617,7.211665321141481
10786,Warren Zaïre-Emery,29,2055,1,2.1581704784184694,2,2.0573411509394646,17,18,3,0,D M S,Paris Saint Germain,1,2.1581704784184694,21.90424995869398,18.82626821100712
12346,Beraldo,25,2014,1,1.0557555174455047,0,0.5836429838091135,12,9,6,0,D S,Paris Saint Germain,1,1.0557555174455047,18.617858428508043,18.117379531264305
12733,Ibrahim Mbaye,9,331,1,2.5983832478523254,1,0.8271698653697968,12,3,0,0,F S,Paris Saint Germain,1,2.5983832478523254,4.739302329719067,1.3536161556839943
1116,Gianluigi Donnarumma,24,2091,0,0,0,0,0,0,2,0,GK,Paris Saint Germain,0,0,9.808233046904206,9.808233046904206
1223,Milan Skriniar,5,380,0,0.1080185491591692,0,0.14130732417106628,3,1,1,0,D S,Paris Saint Germain,0,0.1080185491591692,3.6893178522586823,3.6893178522586823
2276,Lucas Hernández,16,869,0,0.0856911912560463,0,0.03986692056059837,3,1,2,0,D S,Paris Saint Germain,0,0.0856911912560463,7.75650717690587,7.74389760568738
3599,Presnel Kimpembe,2,17,0,0,0,0,0,0,0,0,S,Paris Saint Germain,0,0,0,0
5480,Matvey Safonov,10,879,0,0,0,0,0,0,0,0,GK S,Paris Saint Germain,0,0,1.9866365529596806,1.9866365529596806
8548,Arnau Tenas,1,90,0,0,1,0.12975940108299255,0,2,0,0,GK,Paris Saint Germain,0,0,0.5017589330673218,0.3719995319843292
11910,William Pacho,28,2127,0,0.44732397235929966,1,0.43799239583313465,6,3,2,0,D S,Paris Saint Germain,0,0.44732397235929966,19.410272642970085,19.096385285258293
12402,Yoram Zague,4,183,0,0.04930908977985382,0,0.11405080556869507,1,2,0,0,D S,Paris Saint Germain,0,0.04930908977985382,1.2584923692047596,1.0951324738562107
13215,Axel Tape,2,180,0,0.027859536930918694,0,0.03156277909874916,1,1,1,0,D,Paris Saint Germain,0,0.027859536930918694,1.4665319919586182,1.4386724829673767
13594,Noham Kamara,2,68,0,0,0,0,0,0,0,0,S,Paris Saint Germain,0,0,0.6267772912979126,0.6267772912979126
