id,isResult,side,h,a,goals,xG,datetime,forecast,result
28048,True,a,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '4'}","{'h': '0.197023', 'a': '2.9098'}",2024-08-16 18:45:00,"{'w': 0.012711301770873661, 'd': 0.07431304313811034, 'l': 0.9129751940772278}",w
28057,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '6', 'a': '0'}","{'h': '4.93703', 'a': '0.772997'}",2024-08-23 18:45:00,"{'w': 0.949726326529381, 'd': 0.03455760056644241, 'l': 0.015517892660989699}",w
28074,True,a,"{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '3'}","{'h': '1.57562', 'a': '3.24139'}",2024-09-01 18:45:00,"{'w': 0.1549794813055991, 'd': 0.14392982141574281, 'l': 0.7010889850647283}",w
28079,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '3', 'a': '1'}","{'h': '2.91245', 'a': '1.00928'}",2024-09-14 19:00:00,"{'w': 0.7614560932153657, 'd': 0.13768312048910505, 'l': 0.10086032008855121}",w
28086,True,a,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '0.760314', 'a': '1.90277'}",2024-09-21 19:00:00,"{'w': 0.14237630683150596, 'd': 0.2135296539250294, 'l': 0.6440940372368276}",d
28094,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '3', 'a': '1'}","{'h': '3.22405', 'a': '2.02646'}",2024-09-27 19:00:00,"{'w': 0.6169829913464295, 'd': 0.15794146734445916, 'l': 0.22507393148583438}",w
28104,True,a,"{'id': '170', 'title': 'Nice', 'short_title': 'NIC'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '0.326466', 'a': '0.822322'}",2024-10-06 18:45:00,"{'w': 0.13861632167190213, 'd': 0.40801347813732314, 'l': 0.453370200190756}",d
28119,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'h': '4', 'a': '2'}","{'h': '4.66981', 'a': '2.22038'}",2024-10-19 19:00:00,"{'w': 0.7725346885625574, 'd': 0.10238276982436019, 'l': 0.12497265579880285}",w
28127,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '0', 'a': '3'}","{'h': '0.277951', 'a': '4.04221'}",2024-10-27 19:45:00,"{'w': 0.007001921965234409, 'd': 0.03299716636134779, 'l': 0.9599784699692228}",w
28130,True,h,"{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '1', 'a': '0'}","{'h': '2.76932', 'a': '0.803421'}",2024-11-02 16:00:00,"{'w': 0.7829534252546861, 'd': 0.13520021676920838, 'l': 0.0818461080163895}",w
28142,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '2', 'a': '4'}","{'h': '1.21483', 'a': '4.38095'}",2024-11-09 20:00:00,"{'w': 0.050466089447231674, 'd': 0.0717789605821565, 'l': 0.8776999904453474}",w
