id,isResult,side,h,a,goals,xG,datetime,forecast,result
28050,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '160', 'title': 'Lille', 'short_title': 'LIL'}","{'h': '0', 'a': '2'}","{'h': '0.0758907', 'a': '2.31711'}",2024-08-17 17:00:00,"{'w': 0.007846633789113997, 'd': 0.10813985663606612, 'l': 0.8840134833549715}",l
28065,True,a,"{'id': '164', 'title': 'Marseille', 'short_title': 'MAR'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '2', 'a': '2'}","{'h': '2.94016', 'a': '1.01201'}",2024-08-25 18:45:00,"{'w': 0.7647142741456697, 'd': 0.1359179736380659, 'l': 0.0993672284652077}",d
28072,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '163', 'title': 'Rennes', 'short_title': 'REN'}","{'h': '2', 'a': '1'}","{'h': '2.00948', 'a': '1.02619'}",2024-09-01 15:00:00,"{'w': 0.601485538542088, 'd': 0.21152577535227135, 'l': 0.18698868198588411}",w
28081,True,a,"{'id': '168', 'title': 'Nantes', 'short_title': 'NAN'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '2'}","{'h': '1.43325', 'a': '0.549218'}",2024-09-15 15:00:00,"{'w': 0.5888893226072808, 'd': 0.2694406048555035, 'l': 0.1416700724929165}",w
28086,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '161', 'title': 'Paris Saint Germain', 'short_title': 'PSG'}","{'h': '1', 'a': '1'}","{'h': '0.760314', 'a': '1.90277'}",2024-09-21 19:00:00,"{'w': 0.14237630683150596, 'd': 0.2135296539250294, 'l': 0.6440940372368276}",d
28101,True,a,"{'id': '167', 'title': 'Angers', 'short_title': 'ANG'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '3'}","{'h': '1.08284', 'a': '4.18122'}",2024-09-29 15:00:00,"{'w': 0.04748809212597943, 'd': 0.07301073788180996, 'l': 0.879468376988298}",w
28105,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '166', 'title': 'Montpellier', 'short_title': 'MPL'}","{'h': '4', 'a': '2'}","{'h': '3.71514', 'a': '0.874094'}",2024-10-06 15:00:00,"{'w': 0.8713763500033122, 'd': 0.08184979970092926, 'l': 0.046765294856336216}",w
28113,True,a,"{'id': '275', 'title': 'Auxerre', 'short_title': 'AUX'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '2', 'a': '1'}","{'h': '2.86385', 'a': '1.22872'}",2024-10-20 15:00:00,"{'w': 0.7110541347750804, 'd': 0.15247729002317933, 'l': 0.1364681963185696}",l
28122,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '241', 'title': 'Brest', 'short_title': 'BRE'}","{'h': '1', 'a': '2'}","{'h': '1.44911', 'a': '1.64092'}",2024-10-26 17:00:00,"{'w': 0.3395379189201367, 'd': 0.23778935190233835, 'l': 0.4226727288481743}",l
28132,True,a,"{'id': '174', 'title': 'Toulouse', 'short_title': 'TOU'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '1', 'a': '0'}","{'h': '0.910081', 'a': '0.818661'}",2024-11-03 14:00:00,"{'w': 0.35711159068274345, 'd': 0.3365297331562053, 'l': 0.3063586761609543}",l
28143,True,a,"{'id': '282', 'title': 'Le Havre', 'short_title': 'LHV'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '3'}","{'h': '1.51035', 'a': '2.69952'}",2024-11-10 16:00:00,"{'w': 0.19874847173208116, 'd': 0.17348089855913645, 'l': 0.6277704477899084}",w
28155,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '178', 'title': 'Lyon', 'short_title': 'LYO'}","{'h': '1', 'a': '1'}","{'h': '1.17295', 'a': '1.92683'}",2024-11-23 20:00:00,"{'w': 0.22955868908719296, 'd': 0.22112298069991004, 'l': 0.549318327840892}",d
28156,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '210', 'title': 'Lens', 'short_title': 'LEN'}","{'h': '0', 'a': '2'}","{'h': '0.589301', 'a': '1.40788'}",2024-11-29 19:45:00,"{'w': 0.15544970166088085, 'd': 0.27394074162102255, 'l': 0.5706095566833979}",l
28171,True,a,"{'id': '225', 'title': 'Strasbourg', 'short_title': 'STR'}","{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'h': '0', 'a': '0'}","{'h': '1.0949', 'a': '1.28455'}",2024-12-08 16:00:00,"{'w': 0.3156754646502341, 'd': 0.27645749217882915, 'l': 0.40786704316002587}",d
28176,True,h,"{'id': '177', 'title': 'Reims', 'short_title': 'REI'}","{'id': '171', 'title': 'Monaco', 'short_title': 'MON'}","{'h': '0', 'a': '0'}","{'h': '1.52074', 'a': '1.3291'}",2024-12-14 20:00:00,"{'w': 0.41857362777686796, 'd': 0.24896522995040296, 'l': 0.3324611421576801}",d
