match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
28051,2024-08-17 19:00:00,Ligue_1,2024,Saint_Etienne,Monaco,Away,0,1,0.484117,2.78444,11,17,l
28060,2024-08-24 19:00:00,Ligue_1,2024,Saint_Etienne,Le Havre,Home,0,2,1.48827,2.23362,19,14,l
28067,2024-08-31 15:00:00,Ligue_1,2024,Saint_Etienne,Brest,Away,0,4,0.256612,3.60698,6,22,l
28075,2024-09-13 18:30:00,Ligue_1,2024,Saint_Etienne,Lille,Home,1,0,1.1774,2.73176,10,17,w
28085,2024-09-20 18:45:00,Ligue_1,2024,Saint_Etienne,Nice,Away,0,8,0.335532,4.50007,9,18,l
28097,2024-09-29 15:00:00,Ligue_1,2024,Saint_Etienne,Nantes,Away,2,2,1.0242,2.61562,5,16,d
28107,2024-10-05 15:00:00,Ligue_1,2024,Saint_Etienne,Auxerre,Home,3,1,2.45106,0.71964,13,11,w
28117,2024-10-19 17:00:00,Ligue_1,2024,Saint_Etienne,Lens,Home,0,2,0.782727,1.35593,15,13,l
28121,2024-10-26 15:00:00,Ligue_1,2024,Saint_Etienne,Angers,Away,2,4,1.33,3.26778,19,13,l
28137,2024-11-02 20:00:00,Ligue_1,2024,Saint_Etienne,Strasbourg,Home,2,0,2.82745,0.451174,13,9,w
28145,2024-11-10 19:45:00,Ligue_1,2024,Saint_Etienne,Lyon,Away,0,1,0.703111,2.28647,10,17,l
28150,2024-11-23 18:00:00,Ligue_1,2024,Saint_Etienne,Montpellier,Home,1,0,1.27297,0.862794,11,11,w
28157,2024-11-30 16:00:00,Ligue_1,2024,Saint_Etienne,Rennes,Away,0,5,0.168428,3.01812,2,18,l
28167,2024-12-08 19:45:00,Ligue_1,2024,Saint_Etienne,Marseille,Home,0,2,0.166752,2.9851,3,21,l
28178,2024-12-13 19:45:00,Ligue_1,2024,Saint_Etienne,Toulouse,Away,1,2,0.388289,1.73249,3,11,l
28186,2025-01-04 16:00:00,Ligue_1,2024,Saint_Etienne,Reims,Home,3,1,3.18639,1.27612,14,11,w
28199,2025-01-12 19:45:00,Ligue_1,2024,Saint_Etienne,Paris Saint Germain,Away,1,2,0.410024,5.07062,8,25,l
28205,2025-01-19 14:00:00,Ligue_1,2024,Saint_Etienne,Nantes,Home,1,1,0.836137,1.36031,12,8,d
28214,2025-01-24 19:45:00,Ligue_1,2024,Saint_Etienne,Auxerre,Away,1,1,1.1913,0.582829,8,11,d
28222,2025-02-01 20:05:00,Ligue_1,2024,Saint_Etienne,Lille,Away,1,4,2.10343,2.74822,9,29,l
28232,2025-02-08 20:05:00,Ligue_1,2024,Saint_Etienne,Rennes,Home,0,2,0.462142,4.06991,9,21,l
28238,2025-02-15 16:00:00,Ligue_1,2024,Saint_Etienne,Marseille,Away,1,5,1.0312,5.94236,7,28,l
28251,2025-02-22 18:00:00,Ligue_1,2024,Saint_Etienne,Angers,Home,3,3,1.70031,3.1805,19,13,d
28259,2025-03-01 16:00:00,Ligue_1,2024,Saint_Etienne,Nice,Home,1,3,1.01895,2.41374,13,17,l
28264,2025-03-09 16:15:00,Ligue_1,2024,Saint_Etienne,Le Havre,Away,1,1,1.3916,2.15479,12,13,d
28275,2025-03-16 16:15:00,Ligue_1,2024,Saint_Etienne,Montpellier,Away,2,0,1.13788,1.33869,11,13,w
28287,2025-03-29 18:00:00,Ligue_1,2024,Saint_Etienne,Paris Saint Germain,Home,1,6,1.27635,3.96021,11,22,l
28296,2025-04-06 13:00:00,Ligue_1,2024,Saint_Etienne,Lens,Away,0,1,1.69228,2.50421,8,20,l
28305,2025-04-13 13:00:00,Ligue_1,2024,Saint_Etienne,Brest,Home,3,3,1.02329,2.01379,9,14,d
28309,2025-04-20 18:45:00,Ligue_1,2024,Saint_Etienne,Lyon,Home,2,1,1.74645,0.632299,18,14,w
28319,2025-04-26 15:00:00,Ligue_1,2024,Saint_Etienne,Strasbourg,Away,1,3,2.2201,2.8346,17,18,l
28334,2025-05-03 19:05:00,Ligue_1,2024,Saint_Etienne,Monaco,Home,1,3,1.16957,1.84407,11,12,l
28336,2025-05-10 19:00:00,Ligue_1,2024,Saint_Etienne,Reims,Away,2,0,0.71062,1.12267,9,19,w
28352,2025-05-17 19:00:00,Ligue_1,2024,Saint_Etienne,Toulouse,Home,2,3,1.32698,3.82215,18,17,l
