id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2082,Youssef El-Arabi,6,35,1,0.4334036111831665,0,0.053462306037545204,1,2,0,0,S,Nantes,1,0.4334036111831665,0.053462306037545204,0
10581,Junior Mwanga,5,440,1,0.38564589619636536,0,0.12573926523327827,1,5,0,0,D M,Nantes,1,0.38564589619636536,1.7606939803808928,1.2854498755186796
10831,Mostafa Mohamed,7,576,1,1.2308706939220428,0,0.09185039065778255,10,3,1,0,F,Nantes,1,1.2308706939220428,1.386971089988947,0.1625465750694275
12846,Louis Leroux,8,568,1,0.45468971133232117,0,0.09979167394340038,3,4,1,0,D M S,Nantes,1,0.45468971133232117,0.909751158207655,0.7902320995926857
14033,Mayckel Lahdo,4,235,1,0.6212583184242249,0,0.034232039004564285,2,1,1,0,F M S,Nantes,1,0.6212583184242249,1.2646667957305908,0.643408477306366
497,Francis Coquelin,4,152,0,0.05961090140044689,0,0,3,0,1,0,M S,Nantes,0,0.05961090140044689,0.23019273206591606,0.1888121608644724
3269,Anthony Lopes,8,720,0,0.06510544568300247,0,0,1,0,1,0,GK,Nantes,0,0.06510544568300247,0.5270262770354748,0.5270262770354748
3785,Kelvin Adou,8,720,0,0.06820535846054554,0,0.38041861541569233,4,2,2,0,D,Nantes,0,0.06820535846054554,1.5378804467618465,1.1372444964945316
6007,Nicolas Cozza,6,446,0,0.028830695897340775,0,0.01684628799557686,1,1,0,0,D S,Nantes,0,0.028830695897340775,0.3507287632673979,0.30505178309977055
6017,Chidozie Awaziem,8,720,0,0.08506662398576736,0,0.16380947455763817,1,3,4,0,D,Nantes,0,0.08506662398576736,1.591863615438342,1.428054140880704
8028,Uros Radakovic,2,5,0,0,0,0,0,0,0,0,S,Nantes,0,0,0,0
9490,Matthis Abline,8,523,0,2.1879259757697582,1,0.8416475038975477,19,6,0,0,F M S,Nantes,0,1.427830796688795,2.578996455296874,0.9949824959039688
10702,Johann Lepenant,6,537,0,0.20038585178554058,1,0.9831191636621952,6,8,0,0,M,Nantes,0,0.20038585178554058,1.2278645746409893,0.5608304254710674
12387,Dehmaine Assoumani,8,251,0,0.06952574569731951,0,0.6868178956210613,4,4,0,0,M S,Nantes,0,0.06952574569731951,0.6985113518312573,0.05368235893547535
12844,Bahereba Guirassy,6,300,0,0.5928244683891535,1,0.7650269269943237,5,3,0,0,F M S,Nantes,0,0.5928244683891535,1.4655605182051659,0.19504939019680023
13016,Hong Hyun-Seok,6,281,0,0.5409451853483915,0,0.03777095302939415,4,1,0,0,M S,Nantes,0,0.5409451853483915,0.8386293146759272,0.36607144214212894
13825,Tylel Tati,7,610,0,0.012732615694403648,0,0.015462798997759819,1,1,1,0,D,Nantes,0,0.012732615694403648,1.3474764227867126,1.319281056523323
13826,Kwon Hyeok-Kyu,6,306,0,0.08294955641031265,0,0,2,0,0,0,M S,Nantes,0,0.08294955641031265,0.07419471442699432,0.07419471442699432
13827,Yassine Benhattab,7,372,0,0.13369225338101387,0,0.6575568914413452,3,5,0,0,F M S,Nantes,0,0.13369225338101387,0.7912491634488106,0.07578029483556747
13828,Amady Camara,5,108,0,0.5916450191289186,0,0,3,0,0,0,F S,Nantes,0,0.5916450191289186,0.6367722153663635,0.04512717388570309
14034,Bahmed Deuff,2,21,0,0,0,0,0,0,0,0,S,Nantes,0,0,0,0
