id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
10193,Frank Magri,8,655,4,3.16476159542799,0,0.34724944084882736,18,5,2,0,F M,Toulouse,4,2.4046664610505104,1.9911977462470531,0.6732561439275742
6874,Yann Gboho,8,646,3,1.7299139276146889,1,0.7103198077529669,13,12,0,0,F M S,Toulouse,3,1.7299139276146889,3.126523155719042,0.7672033943235874
9220,Charlie Cresswell,8,720,2,1.26433346234262,1,0.27682308107614517,10,4,1,0,D,Toulouse,2,1.26433346234262,1.7130907364189625,1.3965620547533035
12045,Aron Dønnum,8,720,2,2.1898237988352776,2,2.256324214860797,12,16,4,0,D F M,Toulouse,0,0.6696335449814796,2.4548805095255375,0.7634212113916874
14082,Emersonn,4,178,2,1.859986811876297,1,0.16707907989621162,13,2,1,0,F S,Toulouse,2,1.859986811876297,1.5078855603933334,0.41178012639284134
3357,Djibril Sidibe,8,491,1,0.1486181765794754,0,0.23332560434937477,2,3,1,0,D S,Toulouse,1,0.1486181765794754,1.1221436262130737,0.7401998043060303
13757,Alexis Vossah,4,56,1,0.17157774046063423,1,0.3942420482635498,3,1,0,1,S,Toulouse,1,0.17157774046063423,0.31932681053876877,0.16705848276615143
10788,Rasmus Nicolaisen,8,524,0,0.1752171479165554,0,0.03875824064016342,4,1,0,0,D S,Toulouse,0,0.1752171479165554,0.7077315710484982,0.5559226050972939
11291,Warren Kamanzi,8,250,0,0.279546657577157,0,0.38277783803641796,5,5,0,0,D S,Toulouse,0,0.279546657577157,1.0165671966969967,0.3951877076178789
11776,Guillaume Restes,8,720,0,0,0,0.061214763671159744,0,1,2,0,GK,Toulouse,0,0,0.29575929790735245,0.29575929790735245
11777,Cristian Cásseres Jr.,7,553,0,0.9198702331632376,0,0.676911810413003,4,11,1,0,M S,Toulouse,0,0.15977506898343563,1.7267507128417492,1.2014471609145403
12330,Noah Edjouma,5,164,0,0.056429456919431686,0,0.27018313109874725,1,5,0,0,F S,Toulouse,0,0.056429456919431686,0.32661259174346924,0.03192291781306267
12598,Rafik Messali,1,17,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0,0
12841,Dayann Methalie,8,539,0,0.6864244043827057,0,0.6179057657718658,5,3,2,0,D S,Toulouse,0,0.6864244043827057,1.6704258285462856,0.5925288125872612
12842,Mark McKenzie,8,653,0,0,0,0.20028919354081154,0,2,2,0,D S,Toulouse,0,0,1.1915319934487343,0.9912427812814713
13091,Jaydee Canvot,2,180,0,0.10035194456577301,0,0,2,0,1,0,D M,Toulouse,0,0.10035194456577301,0.1547568142414093,0.05440486967563629
13211,Mathis Saka,1,2,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0,0
13755,Mário Sauer,8,386,0,0.1064786072820425,0,0.06551679223775864,5,1,1,0,M S,Toulouse,0,0.1064786072820425,0.45141430851072073,0.33666448667645454
13756,Santiago Hidalgo,7,108,0,0.11048269271850586,2,0.1947316899895668,1,3,1,0,F S,Toulouse,0,0.11048269271850586,0.5220754034817219,0.2732904814183712
13758,Seny Koumbassa,1,3,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0,0
13918,Julián Vignolo,1,4,0,0,0,0,0,0,0,0,S,Toulouse,0,0,0,0
14049,Abu Francis,5,346,0,0.14577287808060646,0,0,4,0,1,0,M S,Toulouse,0,0.14577287808060646,1.313048366457224,1.167275507003069
