match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
19655,2022-08-07 13:00:00,Ligue_1,2022,Brest,Lens,Away,2,3,1.04228,3.31681,6,16,l,0
19667,2022-08-14 18:45:00,Ligue_1,2022,Brest,Marseille,Home,1,1,1.64132,1.30958,17,5,d,1
19669,2022-08-21 13:00:00,Ligue_1,2022,Brest,Angers,Away,3,1,2.2269,1.05295,11,7,w,3
19685,2022-08-28 13:00:00,Ligue_1,2022,Brest,Montpellier,Home,0,7,0.163077,2.2067,6,14,l,0
19696,2022-08-31 19:00:00,Ligue_1,2022,Brest,Rennes,Away,1,3,0.265991,1.44252,7,16,l,0
19705,2022-09-04 13:00:00,Ligue_1,2022,Brest,Strasbourg,Home,1,1,0.726914,2.65304,11,10,d,1
19713,2022-09-10 15:00:00,Ligue_1,2022,Brest,Paris Saint Germain,Away,0,1,1.34439,2.01269,6,14,l,0
19726,2022-09-18 13:00:00,Ligue_1,2022,Brest,Ajaccio,Home,0,1,0.721312,0.511909,8,6,l,0
19729,2022-10-02 13:00:00,Ligue_1,2022,Brest,Auxerre,Away,1,1,0.687048,1.21122,9,11,d,1
19745,2022-10-09 13:00:00,Ligue_1,2022,Brest,Lorient,Home,1,2,0.997609,1.14106,11,14,l,0
19751,2022-10-16 13:00:00,Ligue_1,2022,Brest,Nantes,Away,1,4,0.596967,3.45666,11,17,l,0
19760,2022-10-23 13:00:00,Ligue_1,2022,Brest,Clermont Foot,Away,3,1,2.73014,0.70294,19,14,w,3
19776,2022-10-30 14:00:00,Ligue_1,2022,Brest,Reims,Home,0,0,1.54791,0.982999,12,11,d,1
19783,2022-11-06 14:00:00,Ligue_1,2022,Brest,Nice,Away,0,1,1.08297,0.813513,12,14,l,0
19796,2022-11-13 14:00:00,Ligue_1,2022,Brest,Troyes,Home,2,1,2.21142,0.4443,16,8,w,3
19805,2022-12-28 20:00:00,Ligue_1,2022,Brest,Lyon,Home,2,4,1.1351,3.18501,17,17,l,0
19808,2023-01-01 14:00:00,Ligue_1,2022,Brest,Monaco,Away,0,1,0.984132,1.11357,13,17,l,0
19826,2023-01-11 18:00:00,Ligue_1,2022,Brest,Lille,Home,0,0,0.567145,0.952742,5,11,d,1
19837,2023-01-15 14:00:00,Ligue_1,2022,Brest,Toulouse,Away,1,1,0.754561,1.54762,17,16,d,1
19846,2023-01-29 14:00:00,Ligue_1,2022,Brest,Angers,Home,4,0,1.62079,1.00144,9,8,w,3
19853,2023-02-01 20:00:00,Ligue_1,2022,Brest,Lyon,Away,0,0,0.508973,2.29877,8,28,d,1
19865,2023-02-05 16:05:00,Ligue_1,2022,Brest,Lens,Home,1,1,2.17044,2.26474,16,20,d,1
19873,2023-02-12 14:00:00,Ligue_1,2022,Brest,Montpellier,Away,0,3,0.468613,3.94905,11,16,l,0
19884,2023-02-19 14:00:00,Ligue_1,2022,Brest,Monaco,Home,1,2,0.76754,1.61066,13,10,l,0
19894,2023-02-24 20:00:00,Ligue_1,2022,Brest,Lille,Away,1,2,0.20242,0.77221,3,19,l,0
19903,2023-03-05 14:00:00,Ligue_1,2022,Brest,Strasbourg,Away,1,0,0.585063,0.983616,8,17,w,3
19917,2023-03-11 20:00:00,Ligue_1,2022,Brest,Paris Saint Germain,Home,1,2,0.751032,2.66126,7,17,l,0
19927,2023-03-19 14:00:00,Ligue_1,2022,Brest,Troyes,Away,2,2,1.16022,1.00182,9,15,d,1
19936,2023-04-02 13:00:00,Ligue_1,2022,Brest,Toulouse,Home,3,1,1.47173,1.77942,17,8,w,3
19946,2023-04-09 13:00:00,Ligue_1,2022,Brest,Reims,Away,1,1,1.11133,3.26526,12,23,d,1
19955,2023-04-16 13:00:00,Ligue_1,2022,Brest,Nice,Home,1,0,0.956282,0.656233,14,12,w,3
19958,2023-04-23 13:00:00,Ligue_1,2022,Brest,Ajaccio,Away,0,0,0.451465,0.193609,10,3,d,1
19974,2023-05-03 19:00:00,Ligue_1,2022,Brest,Nantes,Home,2,0,0.794114,0.725944,8,13,w,3
19981,2023-05-07 13:00:00,Ligue_1,2022,Brest,Lorient,Away,1,2,1.42227,1.23052,15,6,l,0
19995,2023-05-14 13:00:00,Ligue_1,2022,Brest,Auxerre,Home,1,0,1.63305,0.73065,15,10,w,3
20005,2023-05-21 13:00:00,Ligue_1,2022,Brest,Clermont Foot,Home,2,1,1.14332,0.36306,10,8,w,3
20013,2023-05-27 19:00:00,Ligue_1,2022,Brest,Marseille,Away,2,1,1.5307,0.968914,15,10,w,3
20025,2023-06-03 17:00:00,Ligue_1,2022,Brest,Rennes,Home,1,2,1.22603,1.57488,14,12,l,0
23378,2023-08-12 18:00:00,Ligue_1,2023,Brest,Lens,Home,3,2,2.91934,0.960002,15,10,w,3
23387,2023-08-20 13:00:00,Ligue_1,2023,Brest,Le Havre,Away,2,1,1.60466,0.866995,10,18,w,3
23392,2023-08-26 17:00:00,Ligue_1,2023,Brest,Marseille,Away,0,2,1.72801,3.50896,18,15,l,0
23406,2023-09-02 15:00:00,Ligue_1,2023,Brest,Rennes,Home,0,0,1.58468,0.248338,13,6,d,1
23414,2023-09-17 13:00:00,Ligue_1,2023,Brest,Reims,Away,2,1,1.56067,1.97443,18,13,w,3
23424,2023-09-23 19:00:00,Ligue_1,2023,Brest,Lyon,Home,1,0,2.54509,0.254128,27,6,w,3
23430,2023-10-01 13:00:00,Ligue_1,2023,Brest,Nice,Away,0,0,0.153004,1.03293,7,12,d,1
23442,2023-10-08 13:00:00,Ligue_1,2023,Brest,Toulouse,Home,1,1,1.61363,1.23903,13,9,d,1
23447,2023-10-22 13:00:00,Ligue_1,2023,Brest,Lille,Away,0,1,0.625269,2.19168,9,6,l,0
23460,2023-10-29 12:00:00,Ligue_1,2023,Brest,Paris Saint Germain,Home,2,3,1.68226,2.09847,20,17,l,0
23466,2023-11-05 16:05:00,Ligue_1,2023,Brest,Monaco,Away,0,2,0.73688,1.11674,15,12,l,0
23487,2023-11-26 14:00:00,Ligue_1,2023,Brest,Montpellier,Away,3,1,2.38593,2.19901,17,18,w,3
23496,2023-12-03 14:00:00,Ligue_1,2023,Brest,Clermont Foot,Home,3,0,1.30229,0.605084,12,10,w,3
23478,2023-12-07 19:30:00,Ligue_1,2023,Brest,Strasbourg,Home,1,1,0.993441,1.26839,13,9,d,1
23504,2023-12-10 14:00:00,Ligue_1,2023,Brest,Metz,Away,1,0,0.219846,0.632144,4,6,w,3
23512,2023-12-17 12:00:00,Ligue_1,2023,Brest,Nantes,Away,2,0,1.8065,1.38959,14,12,w,3
23523,2023-12-20 20:00:00,Ligue_1,2023,Brest,Lorient,Home,4,0,1.59135,0.456656,12,7,w,3
