match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result,points
19648,2022-08-05 19:00:00,Ligue_1,2022,Lyon,Ajaccio,Home,2,1,1.85675,1.13852,11,8,w,3
19673,2022-08-19 19:00:00,Ligue_1,2022,Lyon,Troyes,Home,4,1,3.54595,0.948279,16,4,w,3
19686,2022-08-28 15:05:00,Ligue_1,2022,Lyon,Reims,Away,1,1,1.37054,0.889087,18,8,d,1
19692,2022-08-31 17:00:00,Ligue_1,2022,Lyon,Auxerre,Home,2,1,3.33913,0.411365,20,6,w,3
19704,2022-09-03 17:00:00,Ligue_1,2022,Lyon,Angers,Home,5,0,1.40939,0.685045,16,8,w,3
19661,2022-09-07 19:00:00,Ligue_1,2022,Lyon,Lorient,Away,1,3,2.29822,1.48762,15,11,l,0
19709,2022-09-11 18:45:00,Ligue_1,2022,Lyon,Monaco,Away,1,2,2.28122,1.64905,20,11,l,0
19724,2022-09-18 18:45:00,Ligue_1,2022,Lyon,Paris Saint Germain,Home,0,1,0.892759,1.52633,12,15,l,0
19734,2022-10-02 18:45:00,Ligue_1,2022,Lyon,Lens,Away,0,1,0.0812146,2.993,4,21,l,0
19743,2022-10-07 19:00:00,Ligue_1,2022,Lyon,Toulouse,Home,1,1,1.74178,0.582894,19,5,d,1
19755,2022-10-16 13:00:00,Ligue_1,2022,Lyon,Rennes,Away,2,3,1.54104,1.70448,7,14,l,0
19762,2022-10-22 15:00:00,Ligue_1,2022,Lyon,Montpellier,Away,2,1,2.78494,0.807149,21,10,w,3
19772,2022-10-30 19:45:00,Ligue_1,2022,Lyon,Lille,Home,1,0,1.19346,1.62118,6,15,w,3
19784,2022-11-06 19:45:00,Ligue_1,2022,Lyon,Marseille,Away,0,1,0.632118,1.07268,11,6,l,0
19792,2022-11-11 20:00:00,Ligue_1,2022,Lyon,Nice,Home,1,1,1.15632,1.71081,9,13,d,1
19805,2022-12-28 20:00:00,Ligue_1,2022,Lyon,Brest,Away,4,2,3.18501,1.1351,17,17,w,3
19813,2023-01-01 16:00:00,Ligue_1,2022,Lyon,Clermont Foot,Home,0,1,0.736196,1.2056,13,13,l,0
19822,2023-01-11 18:00:00,Ligue_1,2022,Lyon,Nantes,Away,0,0,0.716341,1.23816,10,13,d,1
19832,2023-01-14 20:00:00,Ligue_1,2022,Lyon,Strasbourg,Home,1,2,2.46849,1.15481,28,8,l,0
19838,2023-01-29 16:05:00,Ligue_1,2022,Lyon,Ajaccio,Away,2,0,2.02729,1.44596,8,16,w,3
19853,2023-02-01 20:00:00,Ligue_1,2022,Lyon,Brest,Home,0,0,2.29877,0.508973,28,8,d,1
