player_id,player_name,season,team,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
2290,Iago Aspas,2025,,FWR,3,234,0,0,0.6186808198690414,0.4884542822837829,8,8,0,0,0,0.6186808198690414,1.2079126238822937,0.4148545041680336
2290,Iago Aspas,2025,,AMC,1,66,0,0,0.0,0.0184801388531923,0,1,1,0,0,0.0,0.0,0.0
2290,Iago Aspas,2025,,Sub,3,55,1,0,1.0567414164543152,0.0990837849676609,3,3,0,0,1,1.0567414164543152,2.187911540269852,1.0525819063186646
2290,Iago Aspas,2024,,FWR,12,977,2,3,2.7763920575380325,2.495377369225025,26,18,0,1,1,1.2898368313908577,6.496434077620506,4.008774101734161
2290,Iago Aspas,2024,,FW,4,302,1,0,1.2695190273225307,0.2952292524278164,8,2,2,0,1,1.2695190273225307,1.6208680272102356,0.1356064528226852
2290,Iago Aspas,2024,,AMC,3,261,2,1,1.2875632122159004,0.6670060530304909,8,5,1,0,1,0.5442855879664421,1.2971874848008156,0.3841549083590507
2290,Iago Aspas,2024,,Sub,11,211,5,1,2.93788293749094,1.3658411148935556,10,13,1,0,2,0.7080500368028879,2.072564771398902,0.68275386095047
2290,Iago Aspas,2023,,FW,22,1866,5,4,6.468907732516527,7.043891733512282,56,61,5,1,4,4.239074770361185,13.256404995918274,6.747045581229031
2290,Iago Aspas,2023,,FWR,7,584,4,4,3.177304442971945,3.5536056980490685,14,19,0,0,2,1.6907491572201252,7.174196682870388,2.1327157765626907
2290,Iago Aspas,2023,,AMC,2,180,0,1,0.6388458460569382,0.9946351945400238,6,5,1,0,0,0.6388458460569382,1.7422897219657898,0.6890884712338448
2290,Iago Aspas,2023,,Sub,4,106,0,1,0.1191715039312839,0.5589384846389294,2,5,0,0,0,0.1191715039312839,1.5069954097270966,1.061275452375412
2290,Iago Aspas,2022,,FW,31,2753,12,3,10.222551729530096,6.3902243450284,72,77,3,0,10,7.992717977613211,19.64722863212228,8.447625475004315
2290,Iago Aspas,2022,,Sub,6,99,0,0,0.4633648321032524,0.1534024775028228,6,4,1,0,0,0.4633648321032524,0.7994351908564568,0.3905668593943119
2290,Iago Aspas,2021,,FW,36,3090,17,5,14.436606615781784,6.394939869642258,88,58,9,0,14,10.720342602580786,19.99722813349217,6.775518755428493
