player_id,player_name,season,team,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
6357,Marco Richter,2023,,AML,3,250,1,0,1.154090166091919,1.1532708182930946,19,7,1,0,1,1.154090166091919,1.962542533874512,0.1428360715508461
6357,Marco Richter,2023,,AMC,3,202,0,0,0.470587644726038,0.0,10,0,0,0,0,0.470587644726038,0.6868061795830727,0.317676842212677
6357,Marco Richter,2023,,Sub,13,150,0,0,0.4374345541000366,0.1096860310062766,9,2,2,0,0,0.4374345541000366,0.5552977621555328,0.1332860561087727
6357,Marco Richter,2023,,MC,1,77,0,0,0.0,0.7163426876068115,0,3,0,0,0,0.0,0.7163426876068115,0.5526232719421387
6357,Marco Richter,2022,,DMR,5,405,2,1,0.7706578969955444,0.892152588814497,6,6,2,0,2,0.7706578969955444,1.6323585826903582,0.7538839131593704
6357,Marco Richter,2022,,AMR,3,260,1,1,0.259651068598032,0.1147038973867893,6,2,1,0,1,0.259651068598032,1.5478054732084274,1.4166779890656471
6357,Marco Richter,2022,,MR,3,257,0,0,0.3611197993159294,0.1046160012483596,10,3,0,0,0,0.3611197993159294,0.6964136734604836,0.4242320135235786
6357,Marco Richter,2022,,ML,3,242,0,1,0.3758310079574585,0.7872966267168522,2,3,2,0,0,0.3758310079574585,0.3307943679392338,0.0
6357,Marco Richter,2022,,FWL,3,214,0,1,0.2178697502240538,0.8256050609052181,8,4,0,0,0,0.2178697502240538,0.590423702262342,0.1015387699007988
6357,Marco Richter,2022,,Sub,8,186,2,1,1.3179565109312534,0.0386261008679866,14,1,2,0,2,1.3179565109312534,1.3307075165212154,0.1677941931411624
6357,Marco Richter,2022,,AMC,2,149,1,0,0.5817949771881104,0.4320519864559173,4,1,1,0,1,0.5817949771881104,1.580694019794464,0.9989020228385924
6357,Marco Richter,2022,,MC,1,74,0,0,0.0,0.0627810657024383,0,1,0,0,0,0.0,0.0958246141672134,0.0330435447394847
6357,Marco Richter,2022,,AML,1,67,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
6357,Marco Richter,2021,,AMR,6,454,2,0,1.8568951897323127,0.5339069161564112,12,4,2,0,2,1.8568951897323127,2.550325557589531,0.2563349045813083
6357,Marco Richter,2021,,MR,5,391,0,1,0.74835398606956,0.8284767679870129,11,5,1,0,0,0.74835398606956,2.6237671822309494,1.9310722509399056
6357,Marco Richter,2021,,AMC,4,303,3,0,0.6834658924490213,0.0428768992424011,7,1,1,0,3,0.6834658924490213,1.3660646099597216,0.7064950168132782
6357,Marco Richter,2021,,Sub,11,286,0,0,0.2847473016008734,0.9289504000917076,9,6,1,0,0,0.2847473016008734,1.064625914208591,0.3309462033212185
6357,Marco Richter,2021,,FWR,2,156,0,0,0.2080308012664318,0.3966290056705475,4,1,1,0,0,0.2080308012664318,0.6880270093679428,0.4799970090389251
6357,Marco Richter,2021,,DMR,1,60,0,0,0.0237373001873493,0.0,1,0,0,0,0,0.0237373001873493,0.0237373001873493,0.0
6357,Marco Richter,2021,,FWL,1,56,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
6357,Marco Richter,2020,,FW,6,433,0,0,1.8845719248056407,0.3062511086463928,19,3,0,0,0,1.8845719248056407,2.037523910403252,0.1661302037537098
6357,Marco Richter,2020,,AMC,4,279,0,0,0.3667161986231804,0.288356103003025,6,5,1,0,0,0.3667161986231804,0.5978448912501335,0.1098676025867462
6357,Marco Richter,2020,,Sub,13,189,1,0,1.074683289974928,0.0754237025976181,6,1,0,0,1,1.074683289974928,1.19071638956666,0.04060909897089
6357,Marco Richter,2020,,ML,2,180,0,0,0.402564600110054,0.2219409942626953,8,3,0,0,0,0.402564600110054,0.8874660134315491,0.3052217066287994
6357,Marco Richter,2020,,FWR,2,167,1,0,0.8097829818725586,0.0258437991142272,9,1,1,1,1,0.8097829818725586,0.8053200244903564,0.0258437991142272
6357,Marco Richter,2020,,AML,1,90,1,1,0.3201340138912201,0.4021660089492798,4,2,0,0,1,0.3201340138912201,0.7906069755554199,0.0794709995388984
6357,Marco Richter,2020,,MR,1,65,0,0,0.1414480060338974,0.0,3,0,0,0,0,0.1414480060338974,0.1414480060338974,0.0339876003563404
6357,Marco Richter,2019,,AMR,11,868,2,1,2.1840658634901047,0.5607697181403637,28,9,0,0,2,2.1840658634901047,4.259817134588957,1.704235877841711
6357,Marco Richter,2019,,AMC,8,688,0,1,0.4413327965885401,0.7597389798611403,15,7,1,0,0,0.4413327965885401,2.199030004441738,1.123063512146473
6357,Marco Richter,2019,,MR,7,611,2,1,1.8152010887861247,0.2639278024435043,17,4,1,0,2,1.8152010887861247,3.5330188274383545,1.746458100154996
6357,Marco Richter,2019,,Sub,5,137,0,0,0.0725775016471743,0.3427720069885254,4,1,0,0,0,0.0725775016471743,0.430806191638112,0.048623900860548
6357,Marco Richter,2018,,ML,3,254,2,1,0.7807568144053221,0.4025009870529175,11,4,0,0,2,0.7807568144053221,1.9419279769063,0.8399945814162493
6357,Marco Richter,2018,,FW,3,232,2,2,0.9512999951839448,0.7633076012134552,12,5,0,0,2,0.9512999951839448,1.6125393435359,0.011562000028789
6357,Marco Richter,2018,,Sub,8,199,0,0,0.5000237114727497,0.1086329966783523,9,2,3,0,0,0.5000237114727497,0.8975476212799549,0.3274902030825615
6357,Marco Richter,2018,,AMR,3,195,0,1,0.6147920042276382,0.0423306003212928,8,1,1,0,0,0.6147920042276382,1.6747799962759018,1.504189781844616
6357,Marco Richter,2018,,FWL,3,176,0,0,0.2487931922078132,0.0,5,0,0,0,0,0.2487931922078132,0.4266509935259819,0.2107606008648872
6357,Marco Richter,2018,,MR,2,152,0,1,0.0573289990425109,0.5173460245132446,2,1,0,0,0,0.0573289990425109,0.9397110044956208,0.4109187014400959
6357,Marco Richter,2018,,AMC,1,90,0,1,0.0928967967629432,0.3671990036964416,3,1,0,0,0,0.0928967967629432,0.6124290227890015,0.1523330062627792
6357,Marco Richter,2018,,MC,1,90,0,0,0.1264449954032898,0.143665999174118,3,2,0,0,0,0.1264449954032898,0.2670280039310455,0.1025530025362968
6357,Marco Richter,2018,,AML,1,46,0,0,0.0584322996437549,0.0,2,0,0,0,0,0.0584322996437549,0.0584322996437549,0.0
