player_id,player_name,season,team,position,games,time,goals,assists,xG,xA,shots,key_passes,yellow,red,npg,npxG,xGChain,xGBuildup
5311,Vincent Sierro,2024,,MC,26,2276,5,1,4.174692803062499,4.092574216425419,29,29,4,0,3,2.6545025166124105,9.624748860485852,6.915877708233893
5311,Vincent Sierro,2024,,DMC,1,90,0,0,0.0465673878788948,0.0233406443148851,1,1,0,0,0,0.0465673878788948,0.9695887565612792,0.9695887565612792
5311,Vincent Sierro,2024,,Sub,2,67,0,0,0.0359986238181591,0.1610251516103744,2,2,0,0,0,0.0359986238181591,0.011229352094233,0.0
5311,Vincent Sierro,2023,,MC,18,1551,5,1,3.1511240983381867,1.3710799077525735,24,20,4,0,2,0.8708386728540063,3.849062039516866,2.953589141368866
5311,Vincent Sierro,2023,,DMC,5,424,0,0,1.1743557192385197,0.1150140054523944,7,4,2,0,0,0.4142605401575565,0.8652877993881702,0.7297162711620331
5311,Vincent Sierro,2023,,AMC,2,180,0,1,0.2692621350288391,0.4345692507922649,3,3,0,0,0,0.2692621350288391,0.6339013576507568,0.4978739619255066
5311,Vincent Sierro,2023,,Sub,5,113,1,0,0.8156867139041424,0.2300838008522987,2,4,2,0,0,0.055591594427824,0.5649839900434017,0.5093923956155777
5311,Vincent Sierro,2022,,DMC,4,309,0,0,0.1065385490655899,0.344110194593668,3,6,1,0,0,0.1065385490655899,0.8012194335460663,0.7003744691610336
5311,Vincent Sierro,2022,,MC,2,180,0,0,0.0856147110462188,0.1380374887958169,3,3,1,0,0,0.0856147110462188,0.1654352992773056,0.0842999406158924
5311,Vincent Sierro,2022,,Sub,8,99,0,0,0.308230996131897,0.0809928104281425,1,2,1,0,0,0.308230996131897,0.2329943068325519,0.2329943068325519
5311,Vincent Sierro,2022,,AMC,1,71,0,0,0.0601085983216762,0.0,1,0,0,0,0,0.0601085983216762,0.6649230122566223,0.6048150062561035
5311,Vincent Sierro,2017,,MC,2,132,0,0,0.1327455975115299,0.0570802018046379,3,1,0,0,0,0.1327455975115299,0.1143158040940761,0.0
5311,Vincent Sierro,2017,,FW,1,81,0,0,0.0626399964094162,0.0619625002145767,1,3,0,0,0,0.0626399964094162,0.1389070004224777,0.0361346006393432
5311,Vincent Sierro,2017,,Sub,1,1,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0
