id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
1209,Ciro Immobile,31,2239,12,14.894521465525031,5,2.36814247071743,77,26,2,0,F S,Lazio,8,11.08803047798574,17.061955170705914,4.235991571098566
1958,Mattia Zaccagni,35,2812,10,8.35121201723814,6,5.7771584670990705,57,36,9,0,F M S,Lazio,9,7.589912839233875,19.419666165485978,7.7913031075149775
1208,Felipe Anderson,38,2986,9,6.816264293156564,2,4.966810274869204,41,47,3,0,F M S,Lazio,9,6.816264293156564,19.7677051872015,9.3158711604774
1543,Sergej Milinkovic-Savic,36,3044,9,7.642115520313382,8,7.669951910153031,64,42,10,0,M S,Lazio,9,7.642115520313382,18.009869592264295,9.168152891099453
1219,Luis Alberto,35,2446,6,4.823557456955314,7,6.157469410449266,47,66,4,0,M S,Lazio,5,3.3009556103497744,16.062379522249103,10.72712817043066
687,Pedro,36,1880,4,3.0722561981528997,3,2.825445529073477,42,23,1,0,F S,Lazio,4,3.0722561981528997,8.645088771358132,4.437204111367464
1119,Alessio Romagnoli,34,2926,2,0.7252986384555697,0,0.3194321133196354,13,2,6,0,D S,Lazio,2,0.7252986384555697,6.62292773462832,6.594446735456586
1423,Matías Vecino,32,1669,2,2.786401204764843,0,0.4745106063783169,26,9,6,0,M S,Lazio,2,2.786401204764843,6.403920682147145,4.3888915199786425
1375,Elseid Hysaj,34,1981,1,0.4519660770893097,1,1.00193031411618,4,12,3,0,D S,Lazio,1,0.4519660770893097,7.701023015193641,6.946240042336285
6902,Toma Basic,25,458,1,1.3812793558463454,0,0.3819729760289192,11,8,2,0,M S,Lazio,1,1.3812793558463454,1.8115047793835402,0.5725897885859013
8429,Luka Romero,6,142,1,0.858429592102766,0,0.036485299468040466,5,2,0,0,F S,Lazio,1,0.858429592102766,0.9074546955525875,0.21506250649690628
8829,Nicolò Casale,29,2439,1,0.5068234950304031,1,0.345090102404356,8,4,6,0,D S,Lazio,1,0.5068234950304031,7.858438242226839,7.858438242226839
10932,Marcos Antônio,16,576,1,0.8832344114780426,1,0.42983430437743664,3,3,2,0,M S,Lazio,1,0.8832344114780426,4.065091667696834,3.1606449764221907
1204,Patric,18,1423,0,0.06850714981555939,0,0.0418150220066309,2,2,1,0,D S,Lazio,0,0.06850714981555939,7.53627740778029,7.53627740778029
1206,Danilo Cataldi,29,1986,0,0.17275079805403948,1,1.0014556162059307,6,16,5,0,M S,Lazio,0,0.17275079805403948,7.759812088683248,7.513631049543619
1542,Stefan Radu,1,1,0,0,0,0,0,0,0,0,S,Lazio,0,0,0,0
4970,Luca Pellegrini,7,167,0,0.1127314642071724,0,0.14145461097359657,3,4,3,0,D S,Lazio,0,0.1127314642071724,0.6133130639791489,0.41745397448539734
6176,Adam Marusic,33,2776,0,0.9903630316257477,2,1.5662768110632896,17,9,8,0,D S,Lazio,0,0.9903630316257477,11.722129197791219,10.488246468827128
6180,Manuel Lazzari,28,1896,0,0.3667462859302759,0,0.6922378353774548,6,10,8,0,D S,Lazio,0,0.3667462859302759,7.964702799916267,7.375273931771517
6982,Ivan Provedel,38,3413,0,0,0,0.030830800533294678,0,1,1,0,GK S,Lazio,0,0,6.038887968286872,6.008057167753577
9071,Matteo Cancellieri,20,203,0,0.32208190113306046,0,0.5077834129333496,6,3,4,0,F S,Lazio,0,0.32208190113306046,0.8203036114573479,0.07639319822192192
9559,Marco Bertini,1,1,0,0,0,0,0,0,0,0,S,Lazio,0,0,0,0
9847,Luís Maximiano,1,5,0,0,0,0,0,0,0,1,GK,Lazio,0,0,0,0
10577,Mario Gila,4,73,0,0,0,0,0,0,0,0,S,Lazio,0,0,1.0836139619350433,1.0836139619350433
