id,isResult,side,h,a,goals,xG,datetime,forecast,result
22306,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '0.871157', 'a': '1.31464'}",2023-08-19 16:30:00,"{'w': 0.24759856561534294, 'd': 0.28299506705969074, 'l': 0.4694063673113813}",l
22315,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '1'}","{'h': '0.760807', 'a': '1.44199'}",2023-08-26 16:30:00,"{'w': 0.197649267600494, 'd': 0.2693036894808754, 'l': 0.5330470428704898}",w
22327,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '0', 'a': '0'}","{'h': '2.07837', 'a': '2.41709'}",2023-09-02 16:30:00,"{'w': 0.34227009036824485, 'd': 0.19213104993606972, 'l': 0.4655988082581324}",d
22339,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '4', 'a': '2'}","{'h': '2.97022', 'a': '1.93433'}",2023-09-17 13:00:00,"{'w': 0.5923728850029174, 'd': 0.16805226025944675, 'l': 0.23957425890158635}",w
22350,True,a,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '1', 'a': '1'}","{'h': '0.834621', 'a': '0.98737'}",2023-09-22 16:30:00,"{'w': 0.2959747978578357, 'd': 0.3250611493255198, 'l': 0.37896405281636997}",d
22364,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '1'}","{'h': '0.976021', 'a': '1.45269'}",2023-09-28 16:30:00,"{'w': 0.2535871803936297, 'd': 0.26507183922388006, 'l': 0.48134098032903083}",d
22369,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '2', 'a': '0'}","{'h': '0.830718', 'a': '0.791935'}",2023-10-01 18:45:00,"{'w': 0.335935433650712, 'd': 0.35020478637050517, 'l': 0.31385977997875003}",l
22377,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '1'}","{'h': '1.91977', 'a': '0.506291'}",2023-10-08 13:00:00,"{'w': 0.7138988075528203, 'd': 0.19756165293617886, 'l': 0.08853953725394163}",w
22386,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '2', 'a': '1'}","{'h': '1.63336', 'a': '1.42786'}",2023-10-22 13:00:00,"{'w': 0.42527422217748867, 'd': 0.23887598746104655, 'l': 0.3358497900582852}",l
22395,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '4', 'a': '3'}","{'h': '4.07472', 'a': '1.29593'}",2023-10-29 11:30:00,"{'w': 0.8427397847771039, 'd': 0.08848011905561708, 'l': 0.06875553509833743}",l
22411,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '2', 'a': '1'}","{'h': '0.80376', 'a': '1.87117'}",2023-11-06 17:30:00,"{'w': 0.15509566964885466, 'd': 0.21868360227613345, 'l': 0.6262207264675402}",w
22424,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '2', 'a': '0'}","{'h': '3.2782', 'a': '0.58612'}",2023-11-12 20:45:00,"{'w': 0.8783012873665677, 'd': 0.08531435544181426, 'l': 0.036382396971093384}",l
22428,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '2', 'a': '1'}","{'h': '0.990501', 'a': '1.82552'}",2023-11-26 14:00:00,"{'w': 0.20236926403258465, 'd': 0.22798891722764633, 'l': 0.5696418175815623}",w
22440,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '3', 'a': '1'}","{'h': '1.01016', 'a': '0.728766'}",2023-12-02 19:45:00,"{'w': 0.4121874252623167, 'd': 0.3309065460913172, 'l': 0.25690602864601686}",l
22448,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '0', 'a': '0'}","{'h': '1.50797', 'a': '1.06355'}",2023-12-10 11:30:00,"{'w': 0.4748334903026935, 'd': 0.2578153397226287, 'l': 0.26735116988541174}",d
22462,True,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '2', 'a': '1'}","{'h': '0.729342', 'a': '1.84133'}",2023-12-16 14:00:00,"{'w': 0.14195548148788514, 'd': 0.21928660925095259, 'l': 0.638757907962564}",l
22466,True,h,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '1', 'a': '2'}","{'h': '0.495508', 'a': '1.27523'}",2023-12-23 11:30:00,"{'w': 0.1441712400306782, 'd': 0.2959903919160606, 'l': 0.559838368044361}",l
22483,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'h': '3', 'a': '1'}","{'h': '1.74892', 'a': '1.13132'}",2023-12-29 19:45:00,"{'w': 0.5183295913797054, 'd': 0.23578157605625757, 'l': 0.2458888319086137}",l
