id,isResult,side,h,a,goals,xG,datetime,forecast,result
22306,True,a,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '0.871157', 'a': '1.31464'}",2023-08-19 16:30:00,"{'w': 0.24759856561534294, 'd': 0.28299506705969074, 'l': 0.4694063673113813}",w
22322,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '0'}","{'h': '3.53489', 'a': '0.145568'}",2023-08-27 18:45:00,"{'w': 0.9550134276138152, 'd': 0.03995180241325285, 'l': 0.00502997858417067}",w
22330,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '1', 'a': '2'}","{'h': '1.04344', 'a': '1.04826'}",2023-09-02 18:45:00,"{'w': 0.3486225874679262, 'd': 0.30027658860474615, 'l': 0.35110082392620134}",l
22337,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '2'}","{'h': '1.33007', 'a': '0.984291'}",2023-09-16 18:45:00,"{'w': 0.446096044454373, 'd': 0.27725255775993074, 'l': 0.276651397769554}",d
22346,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '0'}","{'h': '0.184666', 'a': '1.84847'}",2023-09-24 16:00:00,"{'w': 0.03119931574651586, 'd': 0.1795768366070802, 'l': 0.7892238462793052}",d
22361,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '4', 'a': '1'}","{'h': '3.70921', 'a': '0.82191'}",2023-09-27 18:45:00,"{'w': 0.8783043928070497, 'd': 0.07892487525938893, 'l': 0.04276233326730134}",w
22367,True,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '4'}","{'h': '0.612649', 'a': '2.71689'}",2023-09-30 13:00:00,"{'w': 0.05972010693166984, 'd': 0.12531558495161454, 'l': 0.814964111122736}",w
22384,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '1', 'a': '3'}","{'h': '1.77418', 'a': '1.76863'}",2023-10-08 18:45:00,"{'w': 0.3904811585917739, 'd': 0.2213016839126967, 'l': 0.3882171559444032}",l
22387,True,a,"{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '3'}","{'h': '0.87241', 'a': '2.65531'}",2023-10-21 13:00:00,"{'w': 0.09893186769902283, 'd': 0.14857230629152507, 'l': 0.7524956781363793}",w
22404,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '2'}","{'h': '1.50253', 'a': '2.37489'}",2023-10-29 19:45:00,"{'w': 0.23679642067526993, 'd': 0.19337006866287046, 'l': 0.5698334746203203}",d
22413,True,a,"{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '2'}","{'h': '0.322231', 'a': '1.67658'}",2023-11-04 14:00:00,"{'w': 0.06589157744016333, 'd': 0.21919826239598292, 'l': 0.7149101597927728}",w
22422,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'h': '0', 'a': '1'}","{'h': '1.06052', 'a': '0.38859'}",2023-11-12 11:30:00,"{'w': 0.52356723352158, 'd': 0.34197007254334616, 'l': 0.13446269393438923}",l
22426,True,a,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '2'}","{'h': '0.880466', 'a': '2.51076'}",2023-11-25 17:00:00,"{'w': 0.11073729078277242, 'd': 0.16085676535458185, 'l': 0.7284058708404355}",w
22442,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '3'}","{'h': '0.787314', 'a': '2.58503'}",2023-12-03 19:45:00,"{'w': 0.09101847238468795, 'd': 0.14880895427919721, 'l': 0.7601724677895997}",l
22451,True,a,"{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '0.662608', 'a': '1.00524'}",2023-12-08 19:45:00,"{'w': 0.2356851409761422, 'd': 0.3368497009536271, 'l': 0.42746515806990676}",l
22460,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'h': '2', 'a': '1'}","{'h': '3.03273', 'a': '1.83831'}",2023-12-16 17:00:00,"{'w': 0.6205299047734325, 'd': 0.16308364075220852, 'l': 0.21638568785613582}",w
22474,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '0'}","{'h': '2.06895', 'a': '0.44093'}",2023-12-23 19:45:00,"{'w': 0.7587676586962373, 'd': 0.17415062445465732, 'l': 0.06708171081228026}",l
22484,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'h': '0', 'a': '0'}","{'h': '2.37308', 'a': '1.09674'}",2023-12-29 17:30:00,"{'w': 0.6568316510972146, 'd': 0.18282693090882648, 'l': 0.16034138238473541}",d
22494,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '3', 'a': '0'}","{'h': '2.13004', 'a': '1.14787'}",2024-01-07 14:00:00,"{'w': 0.5982784275646786, 'd': 0.20414875553372852, 'l': 0.1975728080745057}",l
22501,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '264', 'title': 'Salernitana', 'short_title': 'SAL'}","{'h': '2', 'a': '1'}","{'h': '2.73312', 'a': '0.151576'}",2024-01-13 14:00:00,"{'w': 0.9073503155489472, 'd': 0.08152855940520058, 'l': 0.011120912857933363}",w
22520,True,a,"{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '0', 'a': '0'}","{'h': '0.414353', 'a': '0.169707'}",2024-01-28 17:00:00,"{'w': 0.295761171788223, 'd': 0.5975362745011477, 'l': 0.10670255371062964}",d
22525,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '2', 'a': '1'}","{'h': '1.97716', 'a': '1.18484'}",2024-02-04 14:00:00,"{'w': 0.5576238127254328, 'd': 0.21717588541716057, 'l': 0.2252002985256773}",w
22539,True,a,"{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '0'}","{'h': '1.37304', 'a': '0.502118'}",2024-02-11 19:45:00,"{'w': 0.586000776792965, 'd': 0.2787187446526492, 'l': 0.13528047852977051}",l
22546,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '1', 'a': '1'}","{'h': '1.18788', 'a': '0.285006'}",2024-02-17 14:00:00,"{'w': 0.5978125445516089, 'd': 0.3137023350736494, 'l': 0.08848512037141047}",d
22556,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '1'}","{'h': '0.916353', 'a': '1.46253'}",2024-02-25 14:00:00,"{'w': 0.23619436076592934, 'd': 0.26517590941410535, 'l': 0.49862972976149544}",d
22514,True,a,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '6'}","{'h': '0.237572', 'a': '2.7969'}",2024-02-28 17:00:00,"{'w': 0.0174865979843557, 'd': 0.0857787666678506, 'l': 0.8967343526449392}",w
22573,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '2', 'a': '1'}","{'h': '1.7764', 'a': '2.0359'}",2024-03-03 19:45:00,"{'w': 0.3434778633594021, 'd': 0.2109204626121113, 'l': 0.4456016683340515}",w
22584,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '1', 'a': '1'}","{'h': '1.61516', 'a': '1.12784'}",2024-03-08 19:45:00,"{'w': 0.4868391272146557, 'd': 0.24719030546571263, 'l': 0.2659705670935328}",d
22587,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '1', 'a': '1'}","{'h': '1.37916', 'a': '1.36148'}",2024-03-17 19:45:00,"{'w': 0.37607585691170453, 'd': 0.25594309106979696, 'l': 0.3679810519704181}",d
22598,True,h,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '3'}","{'h': '1.83498', 'a': '1.55904'}",2024-03-30 11:30:00,"{'w': 0.44496922288607527, 'd': 0.22453755989158403, 'l': 0.3304932158428574}",l
22610,True,a,"{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'h': '2', 'a': '4'}","{'h': '0.414034', 'a': '2.70294'}",2024-04-07 13:00:00,"{'w': 0.03688915198786134, 'd': 0.10957555364478595, 'l': 0.8535351096392476}",w
