id,isResult,side,h,a,goals,xG,datetime,forecast,result
22310,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '2'}","{'h': '0.381264', 'a': '1.50058'}",2023-08-20 16:30:00,"{'w': 0.09146311950625105, 'd': 0.252732206916393, 'l': 0.6558046734945246}",l
22322,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '2', 'a': '0'}","{'h': '3.53489', 'a': '0.145568'}",2023-08-27 18:45:00,"{'w': 0.9550134276138152, 'd': 0.03995180241325285, 'l': 0.00502997858417067}",l
22325,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '3', 'a': '1'}","{'h': '2.62139', 'a': '0.555465'}",2023-09-01 16:30:00,"{'w': 0.814708012110767, 'd': 0.12849451529237682, 'l': 0.05679734676448172}",w
22339,True,a,"{'id': '112', 'title': 'Frosinone', 'short_title': 'FRO'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '4', 'a': '2'}","{'h': '2.97022', 'a': '1.93433'}",2023-09-17 13:00:00,"{'w': 0.5923728850029174, 'd': 0.16805226025944675, 'l': 0.23957425890158635}",l
22353,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '4', 'a': '2'}","{'h': '1.74238', 'a': '1.36816'}",2023-09-23 16:00:00,"{'w': 0.46369030923922666, 'd': 0.23370012637498963, 'l': 0.30260956374055903}",w
22358,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '2'}","{'h': '1.02458', 'a': '1.02404'}",2023-09-27 18:45:00,"{'w': 0.34810682858255987, 'd': 0.30406639522555157, 'l': 0.3478267761910476}",w
22374,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'h': '0', 'a': '1'}","{'h': '1.49022', 'a': '1.84951'}",2023-10-02 16:30:00,"{'w': 0.31254525375161046, 'd': 0.22505081563840504, 'l': 0.4624039291572561}",l
22380,True,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'h': '1', 'a': '1'}","{'h': '1.51817', 'a': '1.74518'}",2023-10-06 18:45:00,"{'w': 0.33693148174630694, 'd': 0.23018627516117748, 'l': 0.43288224236018147}",d
22392,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '96', 'title': 'Lazio', 'short_title': 'LAZ'}","{'h': '0', 'a': '2'}","{'h': '0.319165', 'a': '2.93562'}",2023-10-21 18:45:00,"{'w': 0.022001083425319482, 'd': 0.08414942562205689, 'l': 0.8938489770474766}",l
22401,True,h,"{'id': '104', 'title': 'Sassuolo', 'short_title': 'SAS'}","{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'h': '1', 'a': '1'}","{'h': '0.864789', 'a': '0.829724'}",2023-10-28 13:00:00,"{'w': 0.3392599473277944, 'd': 0.34110733972007307, 'l': 0.3196327129520727}",d
