match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
22314,2023-08-21 18:45:00,Serie_A,2023,AC_Milan,Bologna,Away,2,0,1.1479,1.17349,10,17,w
22317,2023-08-26 18:45:00,Serie_A,2023,AC_Milan,Torino,Home,4,1,3.25277,0.563184,17,8,w
22326,2023-09-01 18:45:00,Serie_A,2023,AC_Milan,Roma,Away,2,1,1.62873,0.412392,9,13,w
22336,2023-09-16 16:00:00,Serie_A,2023,AC_Milan,Inter,Away,1,5,0.989611,2.95417,9,14,l
22352,2023-09-23 13:00:00,Serie_A,2023,AC_Milan,Verona,Home,1,0,0.916672,0.845815,9,10,w
22355,2023-09-27 16:30:00,Serie_A,2023,AC_Milan,Cagliari,Away,3,1,2.10838,0.67613,17,16,w
22373,2023-09-30 16:00:00,Serie_A,2023,AC_Milan,Lazio,Home,2,0,2.69178,0.502537,14,13,w
22378,2023-10-07 18:45:00,Serie_A,2023,AC_Milan,Genoa,Away,1,0,0.898603,0.353901,12,6,w
22391,2023-10-22 18:45:00,Serie_A,2023,AC_Milan,Juventus,Home,0,1,0.238518,1.80571,7,14,l
22404,2023-10-29 19:45:00,Serie_A,2023,AC_Milan,Napoli,Away,2,2,2.37489,1.50253,20,17,d
22410,2023-11-04 19:45:00,Serie_A,2023,AC_Milan,Udinese,Home,0,1,1.28493,2.1049,14,12,l
22417,2023-11-11 14:00:00,Serie_A,2023,AC_Milan,Lecce,Away,2,2,2.22404,1.99035,10,14,d
22433,2023-11-25 19:45:00,Serie_A,2023,AC_Milan,Fiorentina,Home,1,0,1.78395,1.69486,9,20,w
22440,2023-12-02 19:45:00,Serie_A,2023,AC_Milan,Frosinone,Home,3,1,1.01016,0.728766,10,15,w
22445,2023-12-09 17:00:00,Serie_A,2023,AC_Milan,Atalanta,Away,2,3,1.00625,3.10106,14,19,l
22459,2023-12-17 11:30:00,Serie_A,2023,AC_Milan,Monza,Home,3,0,2.26584,1.42821,17,21,w
22473,2023-12-22 19:45:00,Serie_A,2023,AC_Milan,Salernitana,Away,2,2,2.9432,1.14336,21,19,d
22481,2023-12-30 17:00:00,Serie_A,2023,AC_Milan,Sassuolo,Home,1,0,1.49842,0.40374,20,12,w
22486,2024-01-07 11:30:00,Serie_A,2023,AC_Milan,Empoli,Away,3,0,1.51431,0.945682,13,17,w
22500,2024-01-14 19:45:00,Serie_A,2023,AC_Milan,Roma,Home,3,1,1.57355,1.23713,17,12,w
22513,2024-01-20 19:45:00,Serie_A,2023,AC_Milan,Udinese,Away,3,2,2.43121,0.813024,15,11,w
22518,2024-01-27 19:45:00,Serie_A,2023,AC_Milan,Bologna,Home,2,2,3.60116,2.07278,14,15,d
22531,2024-02-03 17:00:00,Serie_A,2023,AC_Milan,Frosinone,Away,3,2,2.01173,1.0672,13,7,w
22539,2024-02-11 19:45:00,Serie_A,2023,AC_Milan,Napoli,Home,1,0,1.37304,0.502118,10,12,w
22548,2024-02-18 19:45:00,Serie_A,2023,AC_Milan,Monza,Away,2,4,1.33102,1.6186,16,12,l
22560,2024-02-25 19:45:00,Serie_A,2023,AC_Milan,Atalanta,Home,1,1,1.38915,1.06552,20,8,d
22568,2024-03-01 19:45:00,Serie_A,2023,AC_Milan,Lazio,Away,1,0,0.849675,1.59899,14,11,w
22579,2024-03-10 14:00:00,Serie_A,2023,AC_Milan,Empoli,Home,1,0,0.988992,0.419598,15,5,w
22588,2024-03-17 14:00:00,Serie_A,2023,AC_Milan,Verona,Away,3,1,2.75283,0.565727,18,15,w
22601,2024-03-30 19:45:00,Serie_A,2023,AC_Milan,Fiorentina,Away,2,1,3.17431,1.69969,14,17,w
22612,2024-04-06 13:00:00,Serie_A,2023,AC_Milan,Lecce,Home,3,0,2.41313,0.841362,16,12,w
22620,2024-04-14 13:00:00,Serie_A,2023,AC_Milan,Sassuolo,Away,3,3,3.05285,1.37198,23,10,d
22633,2024-04-22 18:45:00,Serie_A,2023,AC_Milan,Inter,Home,1,2,2.51108,1.62976,15,11,l
22638,2024-04-27 16:00:00,Serie_A,2023,AC_Milan,Juventus,Away,0,0,0.277994,1.76562,9,18,d
22650,2024-05-05 16:00:00,Serie_A,2023,AC_Milan,Genoa,Home,3,3,2.31497,0.91116,27,6,d
22663,2024-05-11 18:45:00,Serie_A,2023,AC_Milan,Cagliari,Home,5,1,3.56305,1.33911,17,13,w
22674,2024-05-18 18:45:00,Serie_A,2023,AC_Milan,Torino,Away,1,3,1.64179,1.08012,16,11,l
22682,2024-05-25 18:45:00,Serie_A,2023,AC_Milan,Salernitana,Home,3,3,2.82527,1.80163,23,14,d
