match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
22308,2023-08-19 18:45:00,Serie_A,2023,Genoa,Fiorentina,Home,1,4,0.79732,1.1197,4,9,l
22321,2023-08-27 18:45:00,Serie_A,2023,Genoa,Lazio,Away,1,0,0.69511,0.937895,5,16,w
22331,2023-09-03 16:30:00,Serie_A,2023,Genoa,Torino,Away,0,1,0.102008,0.481429,7,10,l
22337,2023-09-16 18:45:00,Serie_A,2023,Genoa,Napoli,Home,2,2,1.33007,0.984291,8,12,d
22351,2023-09-22 18:45:00,Serie_A,2023,Genoa,Lecce,Away,0,1,0.532474,1.00903,8,18,l
22357,2023-09-28 18:45:00,Serie_A,2023,Genoa,Roma,Home,4,1,1.59801,1.29625,8,13,w
22370,2023-10-01 13:00:00,Serie_A,2023,Genoa,Udinese,Away,2,2,0.83333,1.53115,9,11,d
22378,2023-10-07 18:45:00,Serie_A,2023,Genoa,AC Milan,Home,0,1,0.353901,0.898603,6,12,l
22385,2023-10-22 16:00:00,Serie_A,2023,Genoa,Atalanta,Away,0,2,1.04166,1.97081,15,13,l
22396,2023-10-27 18:45:00,Serie_A,2023,Genoa,Salernitana,Home,1,0,0.40726,0.778619,8,7,w
22407,2023-11-05 14:00:00,Serie_A,2023,Genoa,Cagliari,Away,1,2,0.669834,1.26944,8,12,l
22415,2023-11-10 19:45:00,Serie_A,2023,Genoa,Verona,Home,1,0,2.04226,0.2458,16,7,w
22428,2023-11-26 14:00:00,Serie_A,2023,Genoa,Frosinone,Away,1,2,1.82552,0.990501,13,9,l
22439,2023-12-02 14:00:00,Serie_A,2023,Genoa,Empoli,Home,1,1,0.832928,0.753276,21,9,d
22454,2023-12-10 14:00:00,Serie_A,2023,Genoa,Monza,Away,0,1,1.74997,0.67177,16,6,l
22458,2023-12-15 19:45:00,Serie_A,2023,Genoa,Juventus,Home,1,1,0.844502,2.10424,11,11,d
22472,2023-12-22 17:30:00,Serie_A,2023,Genoa,Sassuolo,Away,2,1,1.3709,2.17129,14,12,w
22478,2023-12-29 19:45:00,Serie_A,2023,Genoa,Inter,Home,1,1,0.410279,1.8593,13,16,d
22485,2024-01-05 19:45:00,Serie_A,2023,Genoa,Bologna,Away,1,1,0.153342,1.35919,3,21,d
22497,2024-01-13 14:00:00,Serie_A,2023,Genoa,Torino,Home,0,0,0.575708,0.30855,11,6,d
22509,2024-01-21 17:00:00,Serie_A,2023,Genoa,Salernitana,Away,2,1,1.11078,1.1539,5,11,w
22521,2024-01-28 11:30:00,Serie_A,2023,Genoa,Lecce,Home,2,1,2.08542,2.29888,19,19,w
22530,2024-02-03 14:00:00,Serie_A,2023,Genoa,Empoli,Away,0,0,0.577479,0.58479,10,15,d
22542,2024-02-11 17:00:00,Serie_A,2023,Genoa,Atalanta,Home,1,4,0.906299,2.84643,15,14,l
22546,2024-02-17 14:00:00,Serie_A,2023,Genoa,Napoli,Away,1,1,0.285006,1.18788,6,25,d
22558,2024-02-24 19:45:00,Serie_A,2023,Genoa,Udinese,Home,2,0,1.62322,0.322829,19,5,w
22572,2024-03-04 19:45:00,Serie_A,2023,Genoa,Inter,Away,1,2,1.17046,2.90423,10,16,l
22582,2024-03-09 19:45:00,Serie_A,2023,Genoa,Monza,Home,2,3,1.81546,1.66208,22,9,l
22589,2024-03-17 11:30:00,Serie_A,2023,Genoa,Juventus,Away,0,0,0.175513,1.38709,5,17,d
22602,2024-03-30 14:00:00,Serie_A,2023,Genoa,Frosinone,Home,1,1,1.65796,1.00689,9,15,d
22606,2024-04-07 16:00:00,Serie_A,2023,Genoa,Verona,Away,2,1,2.01327,0.961468,11,12,w
22623,2024-04-15 16:30:00,Serie_A,2023,Genoa,Fiorentina,Away,1,1,1.59509,1.78763,7,20,d
22627,2024-04-19 16:30:00,Serie_A,2023,Genoa,Lazio,Home,0,1,0.608539,0.952136,8,13,l
22637,2024-04-29 18:45:00,Serie_A,2023,Genoa,Cagliari,Home,3,0,1.09421,0.781529,12,12,w
22650,2024-05-05 16:00:00,Serie_A,2023,Genoa,AC Milan,Away,3,3,0.91116,2.31497,6,27,d
22658,2024-05-12 13:00:00,Serie_A,2023,Genoa,Sassuolo,Home,2,1,0.81296,1.69037,8,13,w
22672,2024-05-19 18:45:00,Serie_A,2023,Genoa,Roma,Away,0,1,0.508028,0.736827,12,21,l
22683,2024-05-24 18:45:00,Serie_A,2023,Genoa,Bologna,Home,2,0,1.5757,0.450804,14,11,w
