id,isResult,side,h,a,goals,xG,datetime,forecast,result
27370,True,a,"{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '4'}","{'h': '1.88414', 'a': '2.45909'}",2024-08-19 16:30:00,"{'w': 0.2986076311549857, 'd': 0.1914388281584037, 'l': 0.5099534828444783}",w
27377,True,a,"{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '2', 'a': '1'}","{'h': '2.49919', 'a': '3.08667'}",2024-08-25 16:30:00,"{'w': 0.319824378768587, 'd': 0.16827490278798043, 'l': 0.5118997010835535}",l
27383,True,a,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '4', 'a': '0'}","{'h': '2.28876', 'a': '1.17772'}",2024-08-30 18:45:00,"{'w': 0.6230135046932046, 'd': 0.19230444092772908, 'l': 0.18468203199574706}",l
27393,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '110', 'title': 'Fiorentina', 'short_title': 'FIO'}","{'h': '3', 'a': '2'}","{'h': '2.4507', 'a': '1.96392'}",2024-09-15 13:00:00,"{'w': 0.4932293864168271, 'd': 0.1916340812955208, 'l': 0.31513647554651536}",w
27402,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '286', 'title': 'Como', 'short_title': 'COM'}","{'h': '2', 'a': '3'}","{'h': '1.31694', 'a': '0.579703'}",2024-09-24 18:45:00,"{'w': 0.5477580896267774, 'd': 0.28845404393367036, 'l': 0.1637878664256794}",l
27412,True,a,"{'id': '97', 'title': 'Bologna', 'short_title': 'BOL'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '1'}","{'h': '0.176428', 'a': '2.47751'}",2024-09-28 18:45:00,"{'w': 0.016673185965993428, 'd': 0.10466310962274801, 'l': 0.8786636427510843}",d
27422,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'h': '5', 'a': '1'}","{'h': '4.0137', 'a': '0.543171'}",2024-10-05 16:00:00,"{'w': 0.932468945813956, 'd': 0.04931583248413539, 'l': 0.018194503977734314}",w
27433,True,a,"{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '2'}","{'h': '0.881872', 'a': '1.83371'}",2024-10-20 13:00:00,"{'w': 0.17672153129394758, 'd': 0.2250312772437931, 'l': 0.5982471902332461}",w
27443,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '94', 'title': 'Verona', 'short_title': 'VER'}","{'h': '6', 'a': '1'}","{'h': '3.84122', 'a': '0.22446'}",2024-10-26 18:45:00,"{'w': 0.9581599032554937, 'd': 0.035449125835968244, 'l': 0.006378405206851919}",w
27452,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'h': '2', 'a': '0'}","{'h': '1.65221', 'a': '0.0805941'}",2024-10-30 19:45:00,"{'w': 0.7830415420747256, 'd': 0.2011241394998879, 'l': 0.015834318120640168}",w
27464,True,a,"{'id': '105', 'title': 'Napoli', 'short_title': 'NAP'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '3'}","{'h': '0.611112', 'a': '1.50982'}",2024-11-03 11:30:00,"{'w': 0.14949706053255696, 'd': 0.25886173580382993, 'l': 0.5916412035735706}",w
27481,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'h': '2', 'a': '1'}","{'h': '1.60488', 'a': '0.90914'}",2024-11-10 11:30:00,"{'w': 0.53708465370563, 'd': 0.2497797695601862, 'l': 0.21313557652816423}",w
27491,True,a,"{'id': '230', 'title': 'Parma Calcio 1913', 'short_title': 'PAR'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '1', 'a': '3'}","{'h': '0.622186', 'a': '3.54363'}",2024-11-23 19:45:00,"{'w': 0.032149228103418866, 'd': 0.07390260154148677, 'l': 0.8939432381000442}",w
27493,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '2'}","{'h': '0.667881', 'a': '1.76696'}",2024-12-02 19:45:00,"{'w': 0.135838257575114, 'd': 0.22581685281454716, 'l': 0.6383448888605124}",w
27502,True,h,"{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '2', 'a': '1'}","{'h': '2.62823', 'a': '0.899516'}",2024-12-06 19:45:00,"{'w': 0.7426851830814036, 'd': 0.1523821089640099, 'l': 0.10493257793332561}",w
27517,True,a,"{'id': '116', 'title': 'Cagliari', 'short_title': 'CAG'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '0', 'a': '1'}","{'h': '1.90937', 'a': '2.37449'}",2024-12-14 14:00:00,"{'w': 0.31613929014794423, 'd': 0.1950670916425491, 'l': 0.4887935802290208}",w
