id,isResult,side,h,a,goals,xG,datetime,forecast,result
27362,True,a,"{'id': '101', 'title': 'Genoa', 'short_title': 'GEN'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '2'}","{'h': '2.31286', 'a': '2.00656'}",2024-08-17 16:30:00,"{'w': 0.4585134831118195, 'd': 0.1966594154443486, 'l': 0.34482707179391214}",d
27375,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '243', 'title': 'Lecce', 'short_title': 'LEC'}","{'h': '2', 'a': '0'}","{'h': '2.48059', 'a': '0.335346'}",2024-08-24 18:45:00,"{'w': 0.844443228165188, 'd': 0.12099614832177226, 'l': 0.03456056087224238}",w
27383,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '107', 'title': 'Atalanta', 'short_title': 'ATA'}","{'h': '4', 'a': '0'}","{'h': '2.28876', 'a': '1.17772'}",2024-08-30 18:45:00,"{'w': 0.6230135046932046, 'd': 0.19230444092772908, 'l': 0.18468203199574706}",w
27399,True,a,"{'id': '271', 'title': 'Monza', 'short_title': 'MON'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '1', 'a': '1'}","{'h': '0.217777', 'a': '1.8081'}",2024-09-15 18:45:00,"{'w': 0.03858068112311837, 'd': 0.1891479487780074, 'l': 0.7722713690796587}",d
27406,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '111', 'title': 'AC Milan', 'short_title': 'MIL'}","{'h': '1', 'a': '2'}","{'h': '0.941382', 'a': '2.75751'}",2024-09-22 18:45:00,"{'w': 0.10194045425612971, 'd': 0.14489314181112284, 'l': 0.7531661669145264}",l
27413,True,a,"{'id': '99', 'title': 'Udinese', 'short_title': 'UDI'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '2', 'a': '3'}","{'h': '0.984798', 'a': '2.30465'}",2024-09-28 13:00:00,"{'w': 0.14666505491912024, 'd': 0.18386282104480567, 'l': 0.6694720995717038}",w
27428,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '113', 'title': 'Torino', 'short_title': 'TOR'}","{'h': '3', 'a': '2'}","{'h': '3.44641', 'a': '1.29026'}",2024-10-05 18:45:00,"{'w': 0.7786229423925701, 'd': 0.1196680968182423, 'l': 0.10170540612118263}",w
27441,True,a,"{'id': '95', 'title': 'Roma', 'short_title': 'ROM'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '1'}","{'h': '0.78742', 'a': '0.796917'}",2024-10-20 18:45:00,"{'w': 0.31955779994568567, 'd': 0.35542850210400234, 'l': 0.3250136979502897}",w
27444,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '98', 'title': 'Juventus', 'short_title': 'JUV'}","{'h': '4', 'a': '4'}","{'h': '2.82542', 'a': '2.36179'}",2024-10-27 17:00:00,"{'w': 0.49039490390021934, 'd': 0.17666287563905544, 'l': 0.33294186637303463}",d
27455,True,a,"{'id': '108', 'title': 'Empoli', 'short_title': 'EMP'}","{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'h': '0', 'a': '3'}","{'h': '0.319674', 'a': '1.68832'}",2024-10-30 17:30:00,"{'w': 0.06467542257729555, 'd': 0.2171016986741023, 'l': 0.718222878341056}",w
27463,True,h,"{'id': '106', 'title': 'Inter', 'short_title': 'INT'}","{'id': '265', 'title': 'Venezia', 'short_title': 'VEN'}","{'h': '1', 'a': '0'}","{'h': '3.34539', 'a': '1.14021'}",2024-11-03 19:45:00,"{'w': 0.792407976998715, 'd': 0.11747608270946926, 'l': 0.09011344274521468}",w
