match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
27369,2024-08-18 18:45:00,Serie_A,2024,Lazio,Venezia,Home,3,1,2.33223,0.789649,13,12,w
27373,2024-08-24 16:30:00,Serie_A,2024,Lazio,Udinese,Away,1,2,1.68277,1.11581,17,8,l
27387,2024-08-31 18:45:00,Serie_A,2024,Lazio,AC Milan,Home,2,2,2.32967,1.34242,7,10,d
27396,2024-09-16 18:45:00,Serie_A,2024,Lazio,Verona,Home,2,1,1.79243,0.533276,14,7,w
27404,2024-09-22 10:30:00,Serie_A,2024,Lazio,Fiorentina,Away,1,2,1.14467,2.85634,20,14,l
27421,2024-09-29 10:30:00,Serie_A,2024,Lazio,Torino,Away,3,2,2.24735,0.494815,13,12,w
27423,2024-10-06 13:00:00,Serie_A,2024,Lazio,Empoli,Home,2,1,2.0459,0.912844,16,7,w
27438,2024-10-19 18:45:00,Serie_A,2024,Lazio,Juventus,Away,0,1,0.0648311,1.49305,3,16,l
27447,2024-10-27 14:00:00,Serie_A,2024,Lazio,Genoa,Home,3,0,2.9799,0.261739,18,6,w
27454,2024-10-31 19:45:00,Serie_A,2024,Lazio,Como,Away,5,1,2.96686,1.16312,14,14,w
27471,2024-11-04 19:45:00,Serie_A,2024,Lazio,Cagliari,Home,2,1,3.39964,0.274214,20,6,w
27475,2024-11-10 17:00:00,Serie_A,2024,Lazio,Monza,Away,1,0,1.17083,0.747377,14,12,w
27486,2024-11-24 19:45:00,Serie_A,2024,Lazio,Bologna,Home,3,0,2.59912,0.0932634,13,3,w
27499,2024-12-01 14:00:00,Serie_A,2024,Lazio,Parma Calcio 1913,Away,1,3,2.4176,1.27449,23,12,l
27509,2024-12-08 19:45:00,Serie_A,2024,Lazio,Napoli,Away,1,0,0.243674,1.14465,7,12,w
27515,2024-12-16 19:45:00,Serie_A,2024,Lazio,Inter,Home,0,6,0.634641,2.33306,9,12,l
27530,2024-12-21 19:45:00,Serie_A,2024,Lazio,Lecce,Away,2,1,1.95023,1.09129,13,11,w
27535,2024-12-28 19:45:00,Serie_A,2024,Lazio,Atalanta,Home,1,1,0.564499,2.98315,11,14,d
27549,2025-01-05 19:45:00,Serie_A,2024,Lazio,Roma,Away,0,2,1.31957,1.23422,17,7,l
27559,2025-01-10 19:45:00,Serie_A,2024,Lazio,Como,Home,1,1,1.03936,1.9019,11,17,d
27566,2025-01-19 17:00:00,Serie_A,2024,Lazio,Verona,Away,3,0,1.99415,1.48598,14,16,w
27574,2025-01-26 19:45:00,Serie_A,2024,Lazio,Fiorentina,Home,1,2,2.01121,1.20023,22,7,l
27586,2025-02-03 19:45:00,Serie_A,2024,Lazio,Cagliari,Away,2,1,1.9337,1.82889,11,15,w
27601,2025-02-09 17:00:00,Serie_A,2024,Lazio,Monza,Home,5,1,4.42993,0.87219,26,3,w
27609,2025-02-15 17:00:00,Serie_A,2024,Lazio,Napoli,Home,2,2,0.883377,0.558588,13,5,d
27619,2025-02-22 14:00:00,Serie_A,2024,Lazio,Venezia,Away,0,0,0.790887,0.995737,9,9,d
27627,2025-03-02 19:45:00,Serie_A,2024,Lazio,AC Milan,Away,2,1,2.53115,1.28991,21,15,w
27638,2025-03-10 19:45:00,Serie_A,2024,Lazio,Udinese,Home,1,1,1.01458,1.23859,10,15,d
27645,2025-03-16 14:00:00,Serie_A,2024,Lazio,Bologna,Away,0,5,0.600718,2.85431,7,13,l
27656,2025-03-31 19:45:00,Serie_A,2024,Lazio,Torino,Home,1,1,1.93778,0.632735,16,7,d
27664,2025-04-06 16:00:00,Serie_A,2024,Lazio,Atalanta,Away,1,0,0.523108,1.04022,8,10,w
27679,2025-04-13 18:45:00,Serie_A,2024,Lazio,Roma,Home,1,1,1.92122,0.221733,12,9,d
27685,2025-04-23 16:30:00,Serie_A,2024,Lazio,Genoa,Away,2,0,1.33679,0.470637,15,8,w
27698,2025-04-28 18:45:00,Serie_A,2024,Lazio,Parma Calcio 1913,Home,2,2,1.7767,1.09001,14,7,d
27704,2025-05-04 10:30:00,Serie_A,2024,Lazio,Empoli,Away,1,0,1.12653,0.18325,9,7,w
27716,2025-05-10 16:00:00,Serie_A,2024,Lazio,Juventus,Home,1,1,1.51119,1.17931,19,8,d
27726,2025-05-18 18:45:00,Serie_A,2024,Lazio,Inter,Away,2,2,2.33497,1.59363,12,10,d
27737,2025-05-25 18:45:00,Serie_A,2024,Lazio,Lecce,Home,0,1,1.73521,0.708667,26,9,l
