match_id,date,league,season,team,opponent,venue,goals_for,goals_against,xg_for,xg_against,shots_for,shots_against,result
27370,2024-08-19 16:30:00,Serie_A,2024,Lecce,Atalanta,Home,0,4,1.88414,2.45909,21,11,l
27375,2024-08-24 18:45:00,Serie_A,2024,Lecce,Inter,Away,0,2,0.335346,2.48059,10,11,l
27384,2024-08-31 16:30:00,Serie_A,2024,Lecce,Cagliari,Home,1,0,2.34113,2.09263,17,21,w
27401,2024-09-15 13:00:00,Serie_A,2024,Lecce,Torino,Away,0,0,1.6617,0.447368,20,5,d
27408,2024-09-21 18:45:00,Serie_A,2024,Lecce,Parma Calcio 1913,Home,2,2,1.25857,2.054,14,24,d
27417,2024-09-27 18:45:00,Serie_A,2024,Lecce,AC Milan,Away,0,3,0.462274,2.43265,16,15,l
27431,2024-10-05 13:00:00,Serie_A,2024,Lecce,Udinese,Away,0,1,0.645952,1.56312,9,12,l
27439,2024-10-20 13:00:00,Serie_A,2024,Lecce,Fiorentina,Home,0,6,0.223823,2.21676,5,19,l
27448,2024-10-26 13:00:00,Serie_A,2024,Lecce,Napoli,Away,0,1,0.57038,2.53236,11,24,l
27458,2024-10-29 17:30:00,Serie_A,2024,Lecce,Verona,Home,1,0,1.35273,0.211464,14,7,w
27467,2024-11-02 14:00:00,Serie_A,2024,Lecce,Bologna,Away,0,1,0.771878,2.06051,6,20,l
27474,2024-11-08 19:45:00,Serie_A,2024,Lecce,Empoli,Home,1,1,1.41905,0.610497,18,11,d
27489,2024-11-25 19:45:00,Serie_A,2024,Lecce,Venezia,Away,1,0,0.624722,2.88235,7,16,w
27492,2024-12-01 19:45:00,Serie_A,2024,Lecce,Juventus,Home,1,1,1.10419,1.03998,10,14,d
27510,2024-12-07 19:45:00,Serie_A,2024,Lecce,Roma,Away,1,4,0.826928,2.38077,3,23,l
27516,2024-12-15 11:30:00,Serie_A,2024,Lecce,Monza,Home,2,1,1.57794,0.790408,12,9,w
27530,2024-12-21 19:45:00,Serie_A,2024,Lecce,Lazio,Home,1,2,1.09129,1.95023,11,13,l
27533,2024-12-30 17:30:00,Serie_A,2024,Lecce,Como,Away,0,2,0.436266,2.25936,11,15,l
27547,2025-01-05 14:00:00,Serie_A,2024,Lecce,Genoa,Home,0,0,0.545634,1.06752,10,4,d
27556,2025-01-11 14:00:00,Serie_A,2024,Lecce,Empoli,Away,3,1,1.57649,2.31529,14,15,w
27563,2025-01-19 14:00:00,Serie_A,2024,Lecce,Cagliari,Away,1,4,0.388374,3.36227,7,19,l
27575,2025-01-26 17:00:00,Serie_A,2024,Lecce,Inter,Home,0,4,0.719003,2.58246,17,9,l
27590,2025-01-31 19:45:00,Serie_A,2024,Lecce,Parma Calcio 1913,Away,3,1,0.756887,2.00006,6,19,w
27597,2025-02-09 17:00:00,Serie_A,2024,Lecce,Bologna,Home,0,0,0.844895,0.8506,6,8,d
27607,2025-02-16 14:00:00,Serie_A,2024,Lecce,Monza,Away,0,0,1.10949,0.278072,19,8,d
27615,2025-02-21 19:45:00,Serie_A,2024,Lecce,Udinese,Home,0,1,0.484479,1.52436,10,12,l
27624,2025-02-28 19:45:00,Serie_A,2024,Lecce,Fiorentina,Away,0,1,1.11638,1.43821,8,10,l
27639,2025-03-08 17:00:00,Serie_A,2024,Lecce,AC Milan,Home,2,3,1.1897,3.27991,12,16,l
27646,2025-03-14 19:45:00,Serie_A,2024,Lecce,Genoa,Away,1,2,1.20452,1.06034,15,8,l
27657,2025-03-29 19:45:00,Serie_A,2024,Lecce,Roma,Home,0,1,0.694403,1.90759,17,16,l
27668,2025-04-06 10:30:00,Serie_A,2024,Lecce,Venezia,Home,1,1,1.50136,0.898847,24,13,d
27673,2025-04-12 18:45:00,Serie_A,2024,Lecce,Juventus,Away,1,2,0.940466,1.95569,14,22,l
27688,2025-04-19 13:00:00,Serie_A,2024,Lecce,Como,Home,0,3,0.666737,1.65387,14,10,l
27693,2025-04-27 18:45:00,Serie_A,2024,Lecce,Atalanta,Away,1,1,1.45404,2.45836,10,21,d
27707,2025-05-03 16:00:00,Serie_A,2024,Lecce,Napoli,Home,0,1,0.276702,0.845058,9,8,l
27715,2025-05-11 13:00:00,Serie_A,2024,Lecce,Verona,Away,1,1,1.24972,0.480962,11,6,d
27727,2025-05-18 18:45:00,Serie_A,2024,Lecce,Torino,Home,1,0,0.970765,0.476384,10,10,w
27737,2025-05-25 18:45:00,Serie_A,2024,Lecce,Lazio,Away,1,0,0.708667,1.73521,9,26,w
