id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
2019,Federico Bonazzoli,5,334,2,0.8693707208149135,0,0.11704312264919281,8,1,0,0,F S,Cremonese,2,0.8693707208149135,1.0077433506958187,0.02132951281964779
8512,Filippo Terracciano,6,540,2,0.9658401869237423,0,0.04560094699263573,3,2,1,0,D,Cremonese,2,0.9658401869237423,0.6987700648605824,0.6663698181509972
10902,Federico Baschirotto,7,630,2,0.690932109951973,0,0,5,0,1,0,D,Cremonese,2,0.690932109951973,0.24462110828608274,0.1876126741990447
1598,Manuel De Luca,2,10,1,0.835056483745575,0,0,2,0,0,0,S,Cremonese,0,0.07375766336917877,0.07375766336917877,0
1836,Franco Vázquez,6,284,1,1.0819955840706825,0,0.5769986789673567,4,2,0,0,F M S,Cremonese,1,1.0819955840706825,1.5620648264884949,0.5513437390327454
755,Jamie Vardy,3,150,0,0.21452875435352325,0,0,2,0,1,0,F S,Cremonese,0,0.21452875435352325,0.7174524813890457,0.5029237270355225
1281,Giuseppe Pezzella,7,630,0,0.08439666591584682,1,0.19820326194167137,3,3,2,0,D,Cremonese,0,0.08439666591584682,0.8653756976127625,0.5827757716178894
1302,Emil Audero,4,360,0,0,0,0,0,0,0,0,GK,Cremonese,0,0,0.08755156397819519,0.08755156397819519
1370,Federico Ceccherini,3,103,0,0,0,0,0,0,0,0,D S,Cremonese,0,0,0.013200700283050537,0.013200700283050537
1504,Alberto Grassi,6,364,0,0.05625421553850174,0,0,1,0,2,0,M S,Cremonese,0,0.05625421553850174,0.16543747205287218,0.10918326023966074
1843,Matteo Bianchetti,7,586,0,0.08680449984967709,0,0,2,0,0,0,D,Cremonese,0,0.08680449984967709,0.14138619787991047,0.14138619787991047
2217,Antonio Sanabria,6,337,0,1.261915322393179,1,0.9792890548706055,3,1,2,0,F S,Cremonese,0,1.261915322393179,2.3257194720208645,0.08451496809720993
4911,Alessio Zerbin,6,451,0,0.20127084106206894,1,0.8498495221138,4,2,1,0,D,Cremonese,0,0.20127084106206894,0.8917184062302113,0.13146885111927986
6132,Marco Silvestri,3,270,0,0,0,0,0,0,0,0,GK,Cremonese,0,0,0.03316120430827141,0.03316120430827141
9882,Dennis Johnsen,3,123,0,0,0,0.06700298935174942,0,1,0,0,F S,Cremonese,0,0,0.013200700283050537,0.013200700283050537
9905,David Okereke,2,82,0,0,0,0,0,0,0,0,F S,Cremonese,0,0,0.02132951281964779,0.02132951281964779
10036,Jeremy Sarmiento,3,46,0,0.013831453397870064,0,0.1608402132987976,1,3,0,0,S,Cremonese,0,0.013831453397870064,0.12554871290922165,0.014231621287763119
10075,Romano Floriani,5,154,0,0.04570582136511803,0,0.10691886767745018,1,2,1,0,D S,Cremonese,0,0.04570582136511803,0.16582538932561874,0.013200700283050537
10898,Warren Bondo,7,521,0,0.018340861424803734,0,0,1,0,1,0,M S,Cremonese,0,0.018340861424803734,1.2596047632396221,1.2412639036774635
11139,Tommaso Barbieri,2,43,0,0,0,0.060421425849199295,0,1,0,0,S,Cremonese,0,0,0.060421425849199295,0
12084,Martín Payero,4,175,0,0.047915538772940636,0,0.05700843408703804,3,1,3,0,M S,Cremonese,0,0.047915538772940636,0.3095865547657013,0.28097042441368103
12425,Faris Moumbagna,1,10,0,0.06700298935174942,0,0,1,0,0,0,S,Cremonese,0,0.06700298935174942,0,0
12530,Mikayil Faye,1,31,0,0,0,0,0,0,0,0,S,Cremonese,0,0,0,0
13898,Jari Vandeputte,7,385,0,0.09333323687314987,3,1.7169444989413023,2,11,1,0,M S,Cremonese,0,0.09333323687314987,0.864619305357337,0.257677648216486
13899,Michele Collocolo,4,285,0,0.014231621287763119,0,0.1351211853325367,1,2,1,0,M,Cremonese,0,0.014231621287763119,0.18902317807078362,0.03967037424445152
13900,Dachi Lordkipanidze,1,27,0,0,0,0,0,0,0,0,S,Cremonese,0,0,0,0
