match_id,date,home_team,away_team,home_goals,away_goals,dr_pre,p_home,p_draw,p_away,k_eff,home_elo_post,away_elo_post
18582,2022-08-13 16:30:00,AC Milan,Udinese,4,2,60.0,0.4133,0.326,-0.1525,1.043,1500.44,1499.56
18583,2022-08-13 16:30:00,Sampdoria,Atalanta,0,2,60.0,0.4133,0.326,-0.1525,1.043,1499.4,1500.6
18584,2022-08-13 18:45:00,Monza,Torino,1,2,60.0,0.4133,0.326,-0.1525,0.658,1499.62,1500.38
18585,2022-08-13 18:45:00,Lecce,Inter,1,2,60.0,0.4133,0.326,-0.1525,0.658,1499.62,1500.38
18586,2022-08-14 16:30:00,Lazio,Bologna,2,1,60.0,0.4133,0.326,-0.1525,0.66,1500.28,1499.72
18587,2022-08-14 16:30:00,Fiorentina,Cremonese,3,2,60.0,0.4133,0.326,-0.1525,0.66,1500.28,1499.72
18588,2022-08-14 18:45:00,Spezia,Empoli,1,0,60.0,0.4133,0.326,-0.1525,0.66,1500.28,1499.72
18589,2022-08-14 18:45:00,Salernitana,Roma,0,1,60.0,0.4133,0.326,-0.1525,0.66,1499.62,1500.38
18590,2022-08-15 16:30:00,Verona,Napoli,2,5,60.0,0.4133,0.326,-0.1525,1.323,1499.24,1500.76
18591,2022-08-15 18:45:00,Juventus,Sassuolo,3,0,60.0,0.4133,0.326,-0.1525,1.323,1500.56,1499.44
18592,2022-08-20 16:30:00,Torino,Lazio,0,0,60.1,0.4135,0.3259,-0.1528,0.994,1500.3,1500.36
18593,2022-08-20 16:30:00,Udinese,Salernitana,0,0,59.94,0.4132,0.326,-0.1524,0.994,1499.48,1499.7
18594,2022-08-20 18:45:00,Inter,Spezia,3,0,60.1,0.4135,0.3259,-0.1528,1.342,1500.95,1499.71
18595,2022-08-20 18:45:00,Sassuolo,Lecce,1,0,59.82,0.4129,0.3261,-0.152,0.671,1499.72,1499.34
18596,2022-08-21 16:30:00,Napoli,Monza,4,0,61.14,0.4154,0.3248,-0.1556,1.561,1501.42,1498.96
18597,2022-08-21 16:30:00,Empoli,Fiorentina,0,0,59.44,0.4122,0.3265,-0.151,0.997,1499.65,1500.35
18598,2022-08-21 18:45:00,Bologna,Verona,1,1,60.48,0.4142,0.3255,-0.1538,0.997,1499.64,1499.31
18599,2022-08-21 18:45:00,Atalanta,AC Milan,1,1,60.16,0.4136,0.3258,-0.1529,0.997,1500.52,1500.52
18600,2022-08-22 16:30:00,Roma,Cremonese,1,0,60.66,0.4145,0.3253,-0.1543,0.674,1500.67,1499.44
18601,2022-08-22 18:45:00,Sampdoria,Juventus,0,0,58.84,0.4111,0.3272,-0.1494,1.0,1499.32,1500.64
18602,2022-08-26 16:30:00,Monza,Udinese,1,2,59.48,0.4123,0.3265,-0.1511,0.682,1498.57,1499.87
18603,2022-08-26 18:45:00,Lazio,Inter,3,1,59.41,0.4122,0.3266,-0.1509,1.081,1500.81,1500.49
18604,2022-08-27 16:30:00,Juventus,Roma,1,1,59.97,0.4132,0.326,-0.1524,1.013,1500.56,1500.74
18605,2022-08-27 16:30:00,Cremonese,Torino,1,2,59.13,0.4117,0.3269,-0.1502,0.684,1499.04,1500.7
18606,2022-08-27 18:45:00,AC Milan,Bologna,2,0,60.87,0.4149,0.325,-0.1549,1.083,1500.98,1499.19
18607,2022-08-27 18:45:00,Spezia,Sassuolo,2,2,59.99,0.4133,0.326,-0.1525,1.013,1499.63,1499.8
18608,2022-08-28 16:30:00,Salernitana,Sampdoria,4,0,60.37,0.414,0.3256,-0.1535,1.592,1500.37,1498.65
18609,2022-08-28 16:30:00,Verona,Atalanta,0,1,58.79,0.411,0.3272,-0.1493,0.686,1498.92,1500.92
18610,2022-08-28 18:45:00,Lecce,Empoli,1,1,59.69,0.4127,0.3263,-0.1517,1.016,1499.26,1499.72
18611,2022-08-28 18:45:00,Fiorentina,Napoli,0,0,58.93,0.4113,0.3271,-0.1497,1.016,1500.28,1501.5
18612,2022-08-30 16:30:00,Sassuolo,AC Milan,0,0,58.82,0.4111,0.3272,-0.1494,1.022,1499.72,1501.05
18613,2022-08-30 18:45:00,Roma,Monza,3,0,62.17,0.4173,0.3237,-0.1584,1.378,1501.32,1497.99
18614,2022-08-30 18:45:00,Inter,Cremonese,3,1,61.45,0.416,0.3245,-0.1564,1.092,1500.95,1498.58
18615,2022-08-31 16:30:00,Empoli,Verona,1,1,60.8,0.4148,0.3251,-0.1547,1.025,1499.64,1499.0
18616,2022-08-31 16:30:00,Sampdoria,Lazio,1,1,57.84,0.4093,0.3282,-0.1467,1.025,1498.58,1500.89
18617,2022-08-31 16:30:00,Udinese,Fiorentina,1,0,59.6,0.4125,0.3264,-0.1514,0.692,1500.17,1499.99
18618,2022-08-31 18:45:00,Napoli,Lecce,1,1,62.24,0.4175,0.3236,-0.1585,1.025,1501.42,1499.34
18619,2022-08-31 18:45:00,Juventus,Spezia,2,0,60.92,0.415,0.325,-0.155,1.095,1501.02,1499.17
18620,2022-09-01 18:45:00,Atalanta,Torino,3,1,60.22,0.4137,0.3257,-0.1531,1.099,1501.38,1500.23
18621,2022-09-01 18:45:00,Bologna,Salernitana,1,1,58.82,0.4111,0.3272,-0.1493,1.027,1499.11,1500.45
18622,2022-09-03 13:00:00,Fiorentina,Juventus,1,1,58.96,0.4114,0.327,-0.1497,1.033,1499.91,1501.1
18623,2022-09-03 16:00:00,AC Milan,Inter,3,2,60.1,0.4135,0.3258,-0.1528,0.697,1501.35,1500.65
18624,2022-09-03 18:45:00,Lazio,Napoli,1,2,59.47,0.4123,0.3265,-0.1511,0.697,1500.49,1501.82
18625,2022-09-04 10:30:00,Cremonese,Sassuolo,0,0,58.86,0.4112,0.3271,-0.1494,1.036,1498.5,1499.8
18626,2022-09-04 13:00:00,Spezia,Bologna,2,2,60.06,0.4134,0.3259,-0.1527,1.036,1499.09,1499.19
18627,2022-09-04 16:00:00,Verona,Sampdoria,2,1,60.42,0.4141,0.3255,-0.1537,0.699,1499.29,1498.28
18628,2022-09-04 18:45:00,Udinese,Roma,4,0,58.85,0.4111,0.3271,-0.1494,1.624,1500.86,1500.63
18629,2022-09-05 16:30:00,Monza,Atalanta,0,2,56.6,0.407,0.3295,-0.1434,1.113,1497.35,1502.02
18630,2022-09-05 16:30:00,Salernitana,Empoli,2,2,60.8,0.4148,0.3251,-0.1547,1.039,1500.37,1499.72
18631,2022-09-05 18:45:00,Torino,Lecce,1,0,60.89,0.4149,0.325,-0.1549,0.701,1500.53,1499.04
18639,2022-09-10 13:00:00,Napoli,Spezia,1,0,62.73,0.4184,0.3231,-0.1599,0.71,1502.12,1498.79
18635,2022-09-10 16:00:00,Inter,Torino,1,0,60.13,0.4135,0.3258,-0.1529,0.711,1500.95,1500.23
18640,2022-09-10 18:45:00,Sampdoria,AC Milan,1,2,56.93,0.4076,0.3291,-0.1443,0.712,1497.87,1501.75
18632,2022-09-11 10:30:00,Atalanta,Cremonese,1,1,63.52,0.4198,0.3223,-0.162,1.056,1501.93,1498.59
18633,2022-09-11 13:00:00,Bologna,Fiorentina,2,1,59.28,0.4119,0.3267,-0.1506,0.713,1499.49,1499.61
18638,2022-09-11 13:00:00,Lecce,Monza,1,1,61.69,0.4164,0.3242,-0.1571,1.056,1498.96,1497.44
