team,final_elo,played,wins,draws,losses
Inter,1751.65,121,81,19,21
AC Milan,1726.5,121,65,29,27
Roma,1701.67,121,61,27,33
Atalanta,1692.83,121,64,26,31
Como,1680.83,45,16,13,16
Napoli,1679.9,121,70,30,21
Juventus,1648.92,121,62,39,20
Bologna,1623.74,121,52,41,28
Lazio,1559.21,121,60,28,33
Torino,1552.49,121,39,41,41
Fiorentina,1524.6,121,51,31,39
Cremonese,1486.37,45,7,16,22
Sassuolo,1484.48,83,22,19,42
Cagliari,1475.76,83,19,23,41
Lecce,1470.94,121,25,39,57
Parma Calcio 1913,1452.68,45,8,18,19
Udinese,1436.13,121,31,43,47
Genoa,1433.88,83,22,29,32
Pisa,1425.33,7,0,3,4
Verona,1407.47,121,26,32,63
Venezia,1396.56,38,5,14,19
Frosinone,1384.8,38,8,11,19
Empoli,1382.65,114,25,35,54
Spezia,1380.94,38,6,13,19
Monza,1272.83,114,28,31,55
Sampdoria,1254.03,38,3,10,25
Salernitana,1212.81,76,11,26,39
